Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelby Bertrand,Carol Clemenhagen,Richard "Rich" Joyal,Angela Keller-Herzog,Angella MacEwen,Alex McDonald,Yasir Naqvi,Regina Watteel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 88","Ottawa",2,27,0,7,62,0,111,3,0,212,471
35075,"Ottawa Centre/Ottawa-Centre"," 89","Ottawa",0,24,0,9,59,0,77,4,1,174,422
35075,"Ottawa Centre/Ottawa-Centre"," 90A","Ottawa",0,18,0,5,28,0,46,1,1,99,279
35075,"Ottawa Centre/Ottawa-Centre"," 90B","Ottawa",0,11,0,1,10,0,25,2,0,49,112
35075,"Ottawa Centre/Ottawa-Centre"," 91","Ottawa",1,28,0,5,63,0,42,5,0,144,490
35075,"Ottawa Centre/Ottawa-Centre"," 92","Ottawa",2,23,3,6,33,4,96,6,16,189,343
35075,"Ottawa Centre/Ottawa-Centre"," 93","Ottawa",0,19,1,3,54,1,29,6,0,113,334
35075,"Ottawa Centre/Ottawa-Centre"," 94","Ottawa",2,15,0,4,78,1,64,3,0,167,501
35075,"Ottawa Centre/Ottawa-Centre"," 95","Ottawa",0,24,0,4,66,0,37,6,2,139,399
35075,"Ottawa Centre/Ottawa-Centre"," 96","Ottawa",0,27,1,13,83,2,81,6,1,214,391
35075,"Ottawa Centre/Ottawa-Centre"," 97","Ottawa",0,24,2,3,54,0,84,3,1,171,352
35075,"Ottawa Centre/Ottawa-Centre"," 98","Ottawa",0,13,1,2,80,0,37,3,1,137,409
35075,"Ottawa Centre/Ottawa-Centre"," 99","Ottawa",1,16,1,6,79,0,60,7,0,170,413
35075,"Ottawa Centre/Ottawa-Centre"," 100","Ottawa",0,33,0,10,46,0,59,4,1,153,424
35075,"Ottawa Centre/Ottawa-Centre"," 101","Ottawa",1,18,0,5,78,2,34,2,0,140,361
35075,"Ottawa Centre/Ottawa-Centre"," 102","Ottawa",1,8,0,4,57,0,81,3,0,154,352
35075,"Ottawa Centre/Ottawa-Centre"," 103","Ottawa",2,27,0,12,84,2,84,7,1,219,553
35075,"Ottawa Centre/Ottawa-Centre"," 104","Ottawa",0,17,0,7,37,0,82,1,1,145,401
35075,"Ottawa Centre/Ottawa-Centre"," 105","Ottawa",0,29,1,5,74,1,88,2,1,201,370
35075,"Ottawa Centre/Ottawa-Centre"," 106","Ottawa",1,11,0,2,37,0,73,1,1,126,394
35075,"Ottawa Centre/Ottawa-Centre"," 107","Ottawa",0,14,2,5,54,0,63,4,0,142,417
35075,"Ottawa Centre/Ottawa-Centre"," 108","Ottawa",0,16,0,5,29,0,41,2,0,93,378
35075,"Ottawa Centre/Ottawa-Centre"," 109","Ottawa",0,50,0,6,40,0,98,5,0,199,436
35075,"Ottawa Centre/Ottawa-Centre"," 110","Ottawa",0,30,1,10,47,1,117,5,1,212,442
35075,"Ottawa Centre/Ottawa-Centre"," 111","Ottawa",1,19,0,4,65,3,65,5,1,163,370
35075,"Ottawa Centre/Ottawa-Centre"," 112","Ottawa",1,17,0,8,67,0,61,4,0,158,474
35075,"Ottawa Centre/Ottawa-Centre"," 113","Ottawa",0,15,0,5,122,0,81,2,1,226,490
35075,"Ottawa Centre/Ottawa-Centre"," 114","Ottawa",1,13,1,4,82,1,74,5,2,183,533
35075,"Ottawa Centre/Ottawa-Centre"," 115","Ottawa",0,26,0,10,97,1,75,3,2,214,456
35075,"Ottawa Centre/Ottawa-Centre"," 116","Ottawa",1,20,0,7,77,0,63,2,2,172,405
35075,"Ottawa Centre/Ottawa-Centre"," 117","Ottawa",0,25,0,4,64,0,50,1,0,144,381
35075,"Ottawa Centre/Ottawa-Centre"," 118A","Ottawa",0,30,0,11,62,1,80,3,0,187,410
35075,"Ottawa Centre/Ottawa-Centre"," 118B","Mobile poll/Bureau itinérant",1,12,0,1,5,0,20,0,0,39,27
35075,"Ottawa Centre/Ottawa-Centre"," 119","Ottawa",3,29,0,7,55,0,94,3,1,192,395
35075,"Ottawa Centre/Ottawa-Centre"," 120","Ottawa",0,16,0,3,70,0,93,5,1,188,427
35075,"Ottawa Centre/Ottawa-Centre"," 121","Ottawa",0,44,0,5,45,1,91,2,0,188,423
35075,"Ottawa Centre/Ottawa-Centre"," 122","Ottawa",0,20,1,7,71,1,40,1,0,141,356
35075,"Ottawa Centre/Ottawa-Centre"," 123","Ottawa",2,27,0,8,78,1,92,4,1,213,423
35075,"Ottawa Centre/Ottawa-Centre"," 124","Ottawa",0,20,0,3,28,0,53,1,0,105,273
35075,"Ottawa Centre/Ottawa-Centre"," 125","Ottawa",0,16,0,2,37,0,38,4,1,98,348
35075,"Ottawa Centre/Ottawa-Centre"," 126A","Ottawa",1,11,1,6,82,0,75,0,0,176,566
35075,"Ottawa Centre/Ottawa-Centre"," 126B","Mobile poll/Bureau itinérant",0,16,0,2,4,1,9,1,0,33,51
35075,"Ottawa Centre/Ottawa-Centre"," 127","Ottawa",0,33,0,9,73,0,92,5,3,215,501
35075,"Ottawa Centre/Ottawa-Centre"," 128","Ottawa",4,23,0,3,67,0,97,5,2,201,518
35075,"Ottawa Centre/Ottawa-Centre"," 129","Ottawa",0,31,0,1,57,1,50,6,1,147,414
35075,"Ottawa Centre/Ottawa-Centre"," 130","Ottawa",1,50,2,4,98,0,95,12,1,263,665
35075,"Ottawa Centre/Ottawa-Centre"," 131","Ottawa",1,36,0,3,52,0,78,3,0,173,393
35075,"Ottawa Centre/Ottawa-Centre"," 132","Ottawa",1,17,0,8,32,0,69,1,0,128,434
35075,"Ottawa Centre/Ottawa-Centre"," 133","Ottawa",0,21,0,2,26,1,61,2,1,114,454
35075,"Ottawa Centre/Ottawa-Centre"," 134","Ottawa",0,27,0,6,64,0,48,2,0,147,454
35075,"Ottawa Centre/Ottawa-Centre"," 135","Ottawa",2,33,1,6,56,0,73,3,0,174,454
35075,"Ottawa Centre/Ottawa-Centre"," 136","Ottawa",0,21,0,6,63,1,70,4,0,165,433
35075,"Ottawa Centre/Ottawa-Centre"," 137","Ottawa",3,16,0,7,67,1,78,3,0,175,470
35075,"Ottawa Centre/Ottawa-Centre"," 138","Ottawa",0,24,0,4,60,0,66,2,3,159,424
35075,"Ottawa Centre/Ottawa-Centre"," 139","Ottawa",1,28,0,3,77,0,87,2,0,198,422
35075,"Ottawa Centre/Ottawa-Centre"," 140","Ottawa",1,21,0,5,50,0,70,9,0,156,412
35075,"Ottawa Centre/Ottawa-Centre"," 141","Ottawa",1,23,0,7,63,0,91,3,0,188,378
35075,"Ottawa Centre/Ottawa-Centre"," 142","Ottawa",0,37,0,6,37,0,87,2,0,169,398
35075,"Ottawa Centre/Ottawa-Centre"," 143","Ottawa",1,35,0,9,88,0,135,4,0,272,550
35075,"Ottawa Centre/Ottawa-Centre"," 144","Ottawa",2,31,0,2,64,0,104,5,2,210,419
35075,"Ottawa Centre/Ottawa-Centre"," 145","Ottawa",0,57,2,6,59,0,88,7,0,219,376
35075,"Ottawa Centre/Ottawa-Centre"," 146","Ottawa",1,42,1,5,54,0,61,5,0,169,500
35075,"Ottawa Centre/Ottawa-Centre"," 147","Ottawa",1,33,0,5,94,2,78,6,0,219,509
35075,"Ottawa Centre/Ottawa-Centre"," 148","Ottawa",0,16,0,4,46,0,68,6,1,141,407
35075,"Ottawa Centre/Ottawa-Centre"," 149","Ottawa",0,39,0,4,44,0,119,3,3,212,535
35075,"Ottawa Centre/Ottawa-Centre"," 150","Ottawa",0,36,0,11,41,0,114,5,0,207,512
35075,"Ottawa Centre/Ottawa-Centre"," 151","Ottawa",0,44,0,10,42,2,119,9,2,228,547
35075,"Ottawa Centre/Ottawa-Centre"," 152","Ottawa",0,27,0,5,55,0,93,2,0,182,446
35075,"Ottawa Centre/Ottawa-Centre"," 153","Ottawa",1,36,1,15,57,0,99,2,0,211,459
35075,"Ottawa Centre/Ottawa-Centre"," 154","Ottawa",0,28,0,13,64,0,128,2,1,236,461
35075,"Ottawa Centre/Ottawa-Centre"," 155","Ottawa",0,48,0,4,41,0,100,4,0,197,443
35075,"Ottawa Centre/Ottawa-Centre"," 156","Ottawa",0,44,0,8,68,0,107,6,0,233,621
35075,"Ottawa Centre/Ottawa-Centre"," 157","Ottawa",0,18,0,5,56,0,79,5,0,163,358
35075,"Ottawa Centre/Ottawa-Centre"," 158A","Ottawa",0,64,0,11,171,1,80,2,0,329,545
35075,"Ottawa Centre/Ottawa-Centre"," 158B","Ottawa",1,84,0,16,238,1,66,7,1,414,470
35075,"Ottawa Centre/Ottawa-Centre"," 159","Ottawa",1,39,0,17,63,0,102,2,1,225,572
35075,"Ottawa Centre/Ottawa-Centre"," 160","Ottawa",0,34,0,7,88,0,110,7,2,248,556
35075,"Ottawa Centre/Ottawa-Centre"," 161","Ottawa",0,33,0,13,49,1,80,5,0,181,465
35075,"Ottawa Centre/Ottawa-Centre"," 162","Ottawa",0,34,0,5,35,0,92,6,0,172,480
35075,"Ottawa Centre/Ottawa-Centre"," 163","Ottawa",0,34,0,2,40,0,83,1,0,160,538
35075,"Ottawa Centre/Ottawa-Centre"," 164","Ottawa",0,37,0,7,53,0,81,3,0,181,411
35075,"Ottawa Centre/Ottawa-Centre"," 165","Ottawa",2,25,0,3,27,0,60,0,0,117,367
35075,"Ottawa Centre/Ottawa-Centre"," 166","Ottawa",1,29,0,3,58,0,64,0,0,155,414
35075,"Ottawa Centre/Ottawa-Centre"," 167","Ottawa",1,20,3,1,21,0,55,3,0,104,416
35075,"Ottawa Centre/Ottawa-Centre"," 168","Ottawa",1,31,0,2,63,0,103,2,1,203,541
35075,"Ottawa Centre/Ottawa-Centre"," 169","Ottawa",0,41,1,10,57,1,90,5,2,207,584
35075,"Ottawa Centre/Ottawa-Centre"," 170","Ottawa",0,43,1,9,62,2,134,7,3,261,574
35075,"Ottawa Centre/Ottawa-Centre"," 171","Ottawa",2,63,0,9,74,0,104,10,2,264,525
35075,"Ottawa Centre/Ottawa-Centre"," 172","Ottawa",0,58,2,4,86,0,84,3,1,238,479
35075,"Ottawa Centre/Ottawa-Centre"," 173","Ottawa",2,46,0,1,69,0,75,12,0,205,483
35075,"Ottawa Centre/Ottawa-Centre"," 174","Ottawa",1,40,1,11,107,2,92,6,4,264,682
35075,"Ottawa Centre/Ottawa-Centre"," 175","Ottawa",1,41,0,5,67,0,81,5,2,202,507
35075,"Ottawa Centre/Ottawa-Centre"," 176","Ottawa",1,21,0,8,63,1,48,7,0,149,377
