Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tariq Chaudary,Shawn Gray,Melanie Hoffman,Matt Jeneroux,Jennifer Peace,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48018,"Edmonton Riverbend/Edmonton Riverbend"," 20","Edmonton",42,33,4,83,5,1,168,383
48018,"Edmonton Riverbend/Edmonton Riverbend"," 21","Edmonton",Merged with No./Fusionné avec le n°24,,,,,,,352
48018,"Edmonton Riverbend/Edmonton Riverbend"," 22","Edmonton",Merged with No./Fusionné avec le n°23,,,,,,,359
48018,"Edmonton Riverbend/Edmonton Riverbend"," 23","Edmonton",94,86,11,178,11,0,380,445
48018,"Edmonton Riverbend/Edmonton Riverbend"," 24","Edmonton",87,77,12,162,7,1,346,502
48018,"Edmonton Riverbend/Edmonton Riverbend"," 25","Edmonton",74,80,6,91,7,0,258,599
48018,"Edmonton Riverbend/Edmonton Riverbend"," 26","Edmonton",37,44,4,132,4,0,221,558
48018,"Edmonton Riverbend/Edmonton Riverbend"," 27","Edmonton",28,42,4,96,4,1,175,463
48018,"Edmonton Riverbend/Edmonton Riverbend"," 28","Edmonton",Merged with No./Fusionné avec le n°31,,,,,,,356
48018,"Edmonton Riverbend/Edmonton Riverbend"," 29","Edmonton",41,42,4,74,5,3,169,486
48018,"Edmonton Riverbend/Edmonton Riverbend"," 30","Edmonton",Merged with No./Fusionné avec le n°32,,,,,,,408
48018,"Edmonton Riverbend/Edmonton Riverbend"," 31","Edmonton",88,85,5,165,8,1,352,403
48018,"Edmonton Riverbend/Edmonton Riverbend"," 32","Edmonton",79,72,5,131,7,3,297,416
48018,"Edmonton Riverbend/Edmonton Riverbend"," 33","Edmonton",32,54,1,76,6,1,170,451
48018,"Edmonton Riverbend/Edmonton Riverbend"," 34","Edmonton",36,55,1,83,2,0,177,433
48018,"Edmonton Riverbend/Edmonton Riverbend"," 35","Edmonton",28,79,2,66,6,1,182,526
48018,"Edmonton Riverbend/Edmonton Riverbend"," 36","Edmonton",38,47,2,48,8,0,143,379
48018,"Edmonton Riverbend/Edmonton Riverbend"," 37","Edmonton",16,48,0,47,6,0,117,411
48018,"Edmonton Riverbend/Edmonton Riverbend"," 38","Edmonton",Merged with No./Fusionné avec le n°47,,,,,,,348
48018,"Edmonton Riverbend/Edmonton Riverbend"," 39","Edmonton",37,64,6,41,6,1,155,392
48018,"Edmonton Riverbend/Edmonton Riverbend"," 40","Edmonton",23,45,0,55,4,1,128,355
48018,"Edmonton Riverbend/Edmonton Riverbend"," 41","Edmonton",52,110,2,98,15,0,277,507
48018,"Edmonton Riverbend/Edmonton Riverbend"," 42","Edmonton",54,71,8,70,1,0,204,373
48018,"Edmonton Riverbend/Edmonton Riverbend"," 43","Edmonton",52,49,3,81,11,0,196,374
48018,"Edmonton Riverbend/Edmonton Riverbend"," 44","Edmonton",41,40,4,117,3,1,206,458
48018,"Edmonton Riverbend/Edmonton Riverbend"," 45","Edmonton",44,40,1,79,1,0,165,365
48018,"Edmonton Riverbend/Edmonton Riverbend"," 46","Edmonton",27,74,4,63,3,0,171,451
