Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel Boudrias,Frédérick Desjardins,Eric Forget,Nathan Fortin-Dubé,David Hamelin-Schuilenburg,Luke Mayba,Nathalie Sinclair-Desgagné,Louis Stinziani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Terrebonne/Terrebonne"," 117","Terrebonne",9,23,72,0,8,22,136,9,7,286,547
24075,"Terrebonne/Terrebonne"," 118","Terrebonne",6,33,78,1,5,14,68,3,0,208,460
24075,"Terrebonne/Terrebonne"," 119","Terrebonne",10,34,75,5,1,12,97,3,4,241,513
24075,"Terrebonne/Terrebonne"," 120","Terrebonne",9,24,72,1,2,25,120,1,1,255,507
24075,"Terrebonne/Terrebonne"," 121A","Terrebonne",8,27,61,2,0,18,67,5,4,192,400
24075,"Terrebonne/Terrebonne"," 121B","Terrebonne",7,10,69,2,1,4,63,3,5,164,383
24075,"Terrebonne/Terrebonne"," 122","Terrebonne",22,23,41,1,6,18,87,4,7,209,452
24075,"Terrebonne/Terrebonne"," 123","Terrebonne",15,18,72,7,2,20,95,6,7,242,541
24075,"Terrebonne/Terrebonne"," 124","Terrebonne",20,11,69,4,2,25,92,0,4,227,503
24075,"Terrebonne/Terrebonne"," 125","Terrebonne",18,24,65,3,4,17,109,8,10,258,508
24075,"Terrebonne/Terrebonne"," 126","Terrebonne",14,13,62,0,0,25,101,3,1,219,461
24075,"Terrebonne/Terrebonne"," 127","Terrebonne",15,12,61,3,4,20,84,5,4,208,497
24075,"Terrebonne/Terrebonne"," 128","Terrebonne",12,24,74,4,3,13,102,2,1,235,522
24075,"Terrebonne/Terrebonne"," 129","Terrebonne",24,27,102,1,4,32,91,4,12,297,535
24075,"Terrebonne/Terrebonne"," 130","Terrebonne",8,31,75,5,0,11,111,2,3,246,467
24075,"Terrebonne/Terrebonne"," 131","Terrebonne",19,19,68,1,1,21,137,4,4,274,512
24075,"Terrebonne/Terrebonne"," 132","Terrebonne",25,23,65,4,2,18,113,4,5,259,508
24075,"Terrebonne/Terrebonne"," 133","Terrebonne",21,19,58,3,3,18,91,4,5,222,494
24075,"Terrebonne/Terrebonne"," 134","Terrebonne",13,11,59,1,5,12,64,5,6,176,484
24075,"Terrebonne/Terrebonne"," 135","Terrebonne",15,18,57,3,8,26,73,11,2,213,527
24075,"Terrebonne/Terrebonne"," 136","Terrebonne",16,26,58,3,3,11,86,2,3,208,501
24075,"Terrebonne/Terrebonne"," 137","Terrebonne",34,20,31,3,6,23,75,3,5,200,556
24075,"Terrebonne/Terrebonne"," 138","Terrebonne",41,17,51,4,5,15,82,4,5,224,531
24075,"Terrebonne/Terrebonne"," 139","Terrebonne",58,16,32,3,5,28,75,7,4,228,584
24075,"Terrebonne/Terrebonne"," 140","Terrebonne",56,16,54,3,4,25,74,6,7,245,638
24075,"Terrebonne/Terrebonne"," 141","Terrebonne",18,21,62,1,6,18,83,4,8,221,523
24075,"Terrebonne/Terrebonne"," 142","Terrebonne",24,25,54,1,4,18,91,6,13,236,545
24075,"Terrebonne/Terrebonne"," 143","Terrebonne",21,14,71,7,5,23,121,8,5,275,537
24075,"Terrebonne/Terrebonne"," 144","Terrebonne",18,32,50,2,4,23,123,12,4,268,546
24075,"Terrebonne/Terrebonne"," 145","Terrebonne",8,46,100,3,4,17,103,2,5,288,486
24075,"Terrebonne/Terrebonne"," 146","Terrebonne",22,36,73,3,5,12,91,8,1,251,419
24075,"Terrebonne/Terrebonne"," 147","Terrebonne",15,5,78,5,0,16,69,2,7,197,408
24075,"Terrebonne/Terrebonne"," 148","Terrebonne",13,46,88,1,1,22,91,6,8,276,497
24075,"Terrebonne/Terrebonne"," 149","Terrebonne",11,24,66,2,10,13,81,10,5,222,487
24075,"Terrebonne/Terrebonne"," 150","Terrebonne",11,22,54,3,3,15,124,11,9,252,546
24075,"Terrebonne/Terrebonne"," 151","Terrebonne",7,22,49,1,2,19,97,9,6,212,497
24075,"Terrebonne/Terrebonne"," 152","Terrebonne",17,17,57,6,6,24,85,13,5,230,476
24075,"Terrebonne/Terrebonne"," 153","Terrebonne",12,40,46,6,5,16,92,9,6,232,530
24075,"Terrebonne/Terrebonne"," 154","Terrebonne",11,31,85,1,6,24,84,15,7,264,604
24075,"Terrebonne/Terrebonne"," 155","Terrebonne",12,37,112,6,7,19,102,8,8,311,579
24075,"Terrebonne/Terrebonne"," 156","Terrebonne",4,26,121,5,1,13,100,3,9,282,547
