Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Epp,Dan Gelinas,Greg Hetherington,Liz Vallee,Mark Vercouteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 197","Leamington",29,22,42,15,0,0,108,420
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 198","Leamington",52,42,32,22,2,3,153,465
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 199","Leamington",85,16,67,28,2,5,203,512
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 200","Leamington",34,37,9,19,2,0,101,431
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 201","Leamington",81,19,50,38,4,3,195,601
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 202","Leamington",72,29,43,33,2,2,181,463
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 203","Leamington",48,18,25,24,2,1,118,365
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 204","Leamington",63,16,29,12,1,4,125,428
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 205","Leamington",62,23,42,22,5,1,155,504
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 206","Leamington",58,27,25,26,3,3,142,486
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 207","Leamington",49,25,35,24,3,2,138,414
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 208","Leamington",29,12,22,46,2,0,111,402
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 209","Leamington",75,20,38,9,1,1,144,420
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 210","Leamington",60,18,52,24,2,2,158,440
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 211","Leamington",77,19,44,37,2,0,179,448
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 212","Leamington",29,21,20,11,0,1,82,362
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 213","Leamington",89,7,23,13,2,0,134,400
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 214","Leamington",89,7,61,7,2,0,166,447
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 215","Leamington",47,24,38,20,2,0,131,404
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 216","Leamington",74,19,24,36,1,0,154,387
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 217","Leamington",78,19,13,27,2,1,140,440
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 218","Leamington",105,51,59,33,6,2,256,659
