Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tylor Baer,Linda Branconnier,Whitney Hodgins,Larry Maguire,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46001,"Brandon--Souris/Brandon--Souris"," 110","Elgin--Minto",19,28,35,184,1,267,446
46001,"Brandon--Souris/Brandon--Souris"," 111","Greenway",8,24,33,146,1,212,405
46001,"Brandon--Souris/Brandon--Souris"," 112","Dunrea",21,12,20,97,0,150,260
46001,"Brandon--Souris/Brandon--Souris"," 113","Belmont",17,18,28,181,0,244,406
46001,"Brandon--Souris/Brandon--Souris"," 114","Ninette",38,15,44,225,1,323,485
46001,"Brandon--Souris/Brandon--Souris"," 115","Melita",17,14,18,155,2,206,407
46001,"Brandon--Souris/Brandon--Souris"," 116","Melita",10,7,19,109,0,145,353
46001,"Brandon--Souris/Brandon--Souris"," 117","Medora",15,10,13,119,0,157,342
46001,"Brandon--Souris/Brandon--Souris"," 118","Deloraine-Winchester",16,28,23,159,0,226,354
46001,"Brandon--Souris/Brandon--Souris"," 119","Deloraine",21,13,53,215,5,307,483
46001,"Brandon--Souris/Brandon--Souris"," 120","Pierson",15,10,17,212,0,254,446
46001,"Brandon--Souris/Brandon--Souris"," 121","Glenora",20,14,17,137,1,189,338
46001,"Brandon--Souris/Brandon--Souris"," 122","Whitewater",20,7,9,120,0,156,277
46001,"Brandon--Souris/Brandon--Souris"," 123","Boissevain",20,15,30,165,0,230,442
46001,"Brandon--Souris/Brandon--Souris"," 124","Boissevain",12,14,23,100,1,150,335
46001,"Brandon--Souris/Brandon--Souris"," 125","Boissevain",17,10,37,110,1,175,402
46001,"Brandon--Souris/Brandon--Souris"," 126","Mountainside",13,9,16,94,0,132,224
46001,"Brandon--Souris/Brandon--Souris"," 127","Coulter--Wascada",16,9,10,133,2,170,284
46001,"Brandon--Souris/Brandon--Souris"," 128","Pilot Mound",33,12,10,113,1,169,255
46001,"Brandon--Souris/Brandon--Souris"," 129","Pilot Mound",23,41,48,146,1,259,453
46001,"Brandon--Souris/Brandon--Souris"," 130","Goodlands",28,11,20,137,0,196,329
46001,"Brandon--Souris/Brandon--Souris"," 131","Killarney",23,15,36,101,1,176,407
46001,"Brandon--Souris/Brandon--Souris"," 132","Killarney",8,11,19,111,0,149,378
