Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Farina Hassan,Chris Hill,Jasveen Rattan,Natalie Spizzirri,Rechie Valdez,Gurdeep Wolosz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 120","Mississauga",19,1,26,0,50,4,0,100,279
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 121","Mississauga",15,5,55,0,64,3,2,144,489
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 122","Mississauga",6,3,25,0,26,10,0,70,276
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 123","Mississauga",34,8,61,2,71,5,0,181,503
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 124","Mississauga",21,5,50,0,77,3,0,156,466
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 125","Mississauga",38,4,67,1,85,8,1,204,527
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 126","Mississauga",23,5,47,3,65,7,2,152,483
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 127","Mississauga",32,3,36,1,68,6,1,147,357
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 128","Mississauga",37,12,58,1,68,15,2,193,520
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 129","Mississauga",24,8,50,1,64,10,0,157,350
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 130","Mississauga",8,2,50,2,52,0,0,114,483
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 131","Mississauga",5,1,50,0,40,2,1,99,435
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 132","Mississauga",3,2,43,1,61,0,0,110,444
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 133","Mississauga",8,0,62,0,83,3,1,157,463
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 134","Mississauga",4,2,49,0,39,3,1,98,383
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 135","Mississauga",8,2,46,1,61,0,0,118,464
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 136","Mississauga",18,0,49,0,89,10,1,167,315
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 137","Mississauga",21,0,73,1,102,6,0,203,419
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 138","Mississauga",26,2,76,1,98,2,0,205,408
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 139","Mississauga",26,7,46,2,132,12,2,227,513
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 140","Mississauga",16,3,66,3,110,6,2,206,503
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 141","Mississauga",35,5,61,1,123,6,6,237,557
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 142","Mississauga",38,11,58,0,101,10,2,220,527
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 143","Mississauga",32,1,84,1,91,10,1,220,616
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 144","Mississauga",22,3,40,0,51,6,0,122,396
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 145","Mississauga",9,1,43,2,54,5,1,115,406
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 146","Mississauga",15,4,46,0,48,4,2,119,389
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 147","Mississauga",40,3,61,2,66,5,0,177,490
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 148","Mississauga",11,3,55,0,62,1,1,133,470
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 149","Mississauga",12,0,42,1,49,3,0,107,394
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 150","Mississauga",28,1,50,1,64,15,3,162,539
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 151","Mississauga",11,4,46,0,63,14,0,138,473
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 152","Mississauga",18,3,37,0,48,9,1,116,452
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 153","Mississauga",21,4,38,0,76,6,0,145,391
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 154","Mississauga",20,2,26,0,55,4,0,107,294
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 155","Mississauga",14,2,43,0,68,4,0,131,354
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 156","Mississauga",19,4,44,0,72,4,1,144,430
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 157","Mississauga",23,3,48,1,59,4,1,139,341
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 158","Mississauga",15,0,78,0,53,5,0,151,446
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 159","Mississauga",11,1,29,1,42,2,2,88,328
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 160","Mississauga",19,1,44,0,70,5,0,139,393
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 161","Mississauga",26,1,63,2,99,10,0,201,513
