Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Bennett,Robin Goldsbury,Rob Morrison,Rana Nelson,Wayne Stetski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kootenay--Columbia/Kootenay--Columbia"," 228","Baynes Lake",5,14,133,3,39,2,196,370
59015,"Kootenay--Columbia/Kootenay--Columbia"," 229","Grasmere",1,13,75,0,45,1,135,233
59015,"Kootenay--Columbia/Kootenay--Columbia"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°19,,,,,,,6
59015,"Kootenay--Columbia/Kootenay--Columbia"," 501","Revelstoke",Merged with No./Fusionné avec le n°20,,,,,,,30
59015,"Kootenay--Columbia/Kootenay--Columbia"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°23,,,,,,,43
59015,"Kootenay--Columbia/Kootenay--Columbia"," 503","Mobile poll/Bureau itinérant",1,10,0,4,10,0,25,29
59015,"Kootenay--Columbia/Kootenay--Columbia"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°6,,,,,,,16
59015,"Kootenay--Columbia/Kootenay--Columbia"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°6,,,,,,,0
59015,"Kootenay--Columbia/Kootenay--Columbia"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°6,,,,,,,10
59015,"Kootenay--Columbia/Kootenay--Columbia"," 507","Mobile poll/Bureau itinérant",0,15,24,0,13,0,52,64
59015,"Kootenay--Columbia/Kootenay--Columbia"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°39,,,,,,,4
59015,"Kootenay--Columbia/Kootenay--Columbia"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°56,,,,,,,11
59015,"Kootenay--Columbia/Kootenay--Columbia"," 510","Mobile poll/Bureau itinérant",0,12,9,2,18,0,41,86
59015,"Kootenay--Columbia/Kootenay--Columbia"," 511","Mobile poll/Bureau itinérant",0,8,15,5,8,2,38,64
59015,"Kootenay--Columbia/Kootenay--Columbia"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°98,,,,,,,12
59015,"Kootenay--Columbia/Kootenay--Columbia"," 513","Mobile poll/Bureau itinérant",2,3,9,1,10,3,28,70
59015,"Kootenay--Columbia/Kootenay--Columbia"," 514","Mobile poll/Bureau itinérant",0,5,3,0,5,0,13,26
59015,"Kootenay--Columbia/Kootenay--Columbia"," 515","Kimberley",Merged with No./Fusionné avec le n°93,,,,,,,22
