Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gene Balfour,Alison Davidson,Judi Forbes,Angel Godsoe,Zac Miller,Jamie Schmale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 143","Kawartha Lakes",0,14,29,3,24,64,1,135,405
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 144","Kawartha Lakes",1,22,23,13,58,66,3,186,607
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 145","Kawartha Lakes",1,22,29,2,36,81,2,173,439
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 146","Kawartha Lakes",2,14,49,4,41,99,1,210,545
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 147","Kawartha Lakes",3,2,63,2,22,60,1,153,520
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 148","Kawartha Lakes",1,11,24,3,31,68,0,138,466
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 149","Kawartha Lakes",1,11,31,6,44,137,0,230,406
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 150","Kawartha Lakes",0,16,55,16,41,144,0,272,422
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 151","Kawartha Lakes",1,9,65,1,35,81,0,192,599
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 152","Kawartha Lakes",1,15,60,1,23,129,1,230,720
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 153","Kawartha Lakes",6,8,28,7,21,87,0,157,521
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 154","Kawartha Lakes",0,14,34,6,35,97,0,186,491
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 155","Kawartha Lakes",1,16,21,0,29,56,0,123,297
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 156","Kawartha Lakes",1,19,40,5,24,90,2,181,519
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 157","Kawartha Lakes",1,29,9,1,18,92,1,151,423
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 158","Kawartha Lakes",0,9,24,4,26,68,0,131,350
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 159","Kawartha Lakes",1,16,15,0,24,94,0,150,377
