Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jordan Ames-Sinclair,Valerie Brooks,Denise Loucks,Braden Robertson,Halsten David Rust,Cathay Wagantall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville/Yorkton--Melville"," 503","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
47014,"Yorkton--Melville/Yorkton--Melville"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
47014,"Yorkton--Melville/Yorkton--Melville"," 600","Hudson Bay",29,28,12,57,70,455,4,655,
47014,"Yorkton--Melville/Yorkton--Melville"," 601","Carragana",26,4,11,18,34,336,2,431,
47014,"Yorkton--Melville/Yorkton--Melville"," 602","Naicam",11,2,8,37,42,346,3,449,
47014,"Yorkton--Melville/Yorkton--Melville"," 603","Wadena",29,5,15,38,78,463,1,629,
47014,"Yorkton--Melville/Yorkton--Melville"," 604","Preeceville",31,11,8,73,55,492,2,672,
47014,"Yorkton--Melville/Yorkton--Melville"," 605","Norquay",14,2,4,22,18,230,1,291,
47014,"Yorkton--Melville/Yorkton--Melville"," 606","Kamsack",36,17,9,64,53,341,0,520,
47014,"Yorkton--Melville/Yorkton--Melville"," 607","Canora",32,7,24,85,70,444,2,664,
47014,"Yorkton--Melville/Yorkton--Melville"," 608","Foam Lake",16,4,14,31,22,369,0,456,
47014,"Yorkton--Melville/Yorkton--Melville"," 609","Yorkton--Springside",15,4,9,64,42,347,0,481,
47014,"Yorkton--Melville/Yorkton--Melville"," 610","Yorkton",62,18,7,61,82,415,1,646,
47014,"Yorkton--Melville/Yorkton--Melville"," 611","Yorkton",66,13,15,80,113,602,6,895,
47014,"Yorkton--Melville/Yorkton--Melville"," 612","Yorkton",114,28,22,83,115,913,8,1283,
47014,"Yorkton--Melville/Yorkton--Melville"," 613","Bredenbury",6,9,6,59,29,218,4,331,
47014,"Yorkton--Melville/Yorkton--Melville"," 614","Langenburg",17,4,9,32,37,280,3,382,
47014,"Yorkton--Melville/Yorkton--Melville"," 615","Esterhazy",45,11,17,97,94,594,1,859,
47014,"Yorkton--Melville/Yorkton--Melville"," 616","Melville--Neudorf",14,2,1,28,36,274,2,357,
47014,"Yorkton--Melville/Yorkton--Melville"," 617","Melville",103,16,10,57,148,775,5,1114,
47014,"Yorkton--Melville/Yorkton--Melville",,Group 1/Groupe 1, 42,13,4,19,60,116,9,263,105
47014,"Yorkton--Melville/Yorkton--Melville",,Group 2/Groupe 2, 200,47,18,88,244,923,48,1568,
