Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Gabrielle Baron,Chris Cameron,Patricia Conlin,Jonathan Giancroce,Erin O'Toole,Kurdil-Telt Patch,Adam Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35023,"Durham/Durham"," 238","Clarington",1,46,9,62,101,0,0,3,222,363
35023,"Durham/Durham"," 239","Clarington",Merged with No./Fusionné avec le n°238,,,,,,,,,271
35023,"Durham/Durham"," 240","Clarington",0,67,14,61,99,0,0,0,241,388
35023,"Durham/Durham"," 241","Clarington",Merged with No./Fusionné avec le n°240,,,,,,,,,239
35023,"Durham/Durham"," 242","Clarington",0,63,17,100,143,0,1,2,326,433
35023,"Durham/Durham"," 243","Clarington",Merged with No./Fusionné avec le n°242,,,,,,,,,410
35023,"Durham/Durham"," 244","Clarington",0,62,29,94,130,0,3,4,322,495
35023,"Durham/Durham"," 245","Clarington",Merged with No./Fusionné avec le n°244,,,,,,,,,408
35023,"Durham/Durham"," 246","Clarington",0,52,8,73,138,0,0,0,271,438
35023,"Durham/Durham"," 247","Clarington",Merged with No./Fusionné avec le n°246,,,,,,,,,339
35023,"Durham/Durham"," 248","Clarington",3,60,18,78,125,0,1,0,285,419
35023,"Durham/Durham"," 249","Clarington",Merged with No./Fusionné avec le n°248,,,,,,,,,392
35023,"Durham/Durham"," 250","Clarington",Merged with No./Fusionné avec le n°251,,,,,,,,,259
35023,"Durham/Durham"," 251","Clarington",1,43,13,58,114,0,0,0,229,345
35023,"Durham/Durham"," 252","Clarington",Merged with No./Fusionné avec le n°253,,,,,,,,,446
35023,"Durham/Durham"," 253","Clarington",1,60,21,116,116,0,0,0,314,490
35023,"Durham/Durham"," 254","Clarington",Merged with No./Fusionné avec le n°255,,,,,,,,,352
35023,"Durham/Durham"," 255","Clarington",1,72,17,127,125,0,2,0,344,559
35023,"Durham/Durham"," 256","Clarington",Merged with No./Fusionné avec le n°257,,,,,,,,,321
35023,"Durham/Durham"," 257","Clarington",1,66,22,70,96,0,0,2,257,436
35023,"Durham/Durham"," 258","Clarington",0,53,19,90,113,0,0,0,275,388
35023,"Durham/Durham"," 259","Clarington",Merged with No./Fusionné avec le n°258,,,,,,,,,385
35023,"Durham/Durham"," 260","Clarington",1,34,5,59,67,0,0,2,168,455
35023,"Durham/Durham"," 500","Mobile poll/Bureau itinérant",0,3,3,5,11,0,0,1,23,50
35023,"Durham/Durham"," 501","Mobile poll/Bureau itinérant",0,4,0,15,29,0,0,0,48,80
35023,"Durham/Durham"," 502","Mobile poll/Bureau itinérant",0,1,0,23,9,0,0,1,34,74
35023,"Durham/Durham"," 503","Mobile poll/Bureau itinérant",1,7,1,14,15,1,0,0,39,82
35023,"Durham/Durham"," 504","Mobile poll/Bureau itinérant",0,1,0,10,16,0,0,2,29,58
35023,"Durham/Durham"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
35023,"Durham/Durham"," 506","Mobile poll/Bureau itinérant",0,0,1,6,21,0,0,1,29,65
35023,"Durham/Durham"," 507","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
35023,"Durham/Durham"," 508","Mobile poll/Bureau itinérant",0,3,1,8,9,0,0,1,22,48
35023,"Durham/Durham"," 509","Mobile poll/Bureau itinérant",0,8,0,31,47,0,0,3,89,132
35023,"Durham/Durham"," 510","Mobile poll/Bureau itinérant",1,5,0,7,4,2,2,0,21,3
35023,"Durham/Durham"," 511","Mobile poll/Bureau itinérant",0,2,0,5,8,0,0,0,15,88
35023,"Durham/Durham"," 512","Mobile poll/Bureau itinérant",0,1,0,5,3,0,0,0,9,9
35023,"Durham/Durham"," 513","Mobile poll/Bureau itinérant",1,3,0,23,23,1,0,2,53,74
35023,"Durham/Durham"," 600","Scugog",3,79,35,224,632,0,1,3,977,
35023,"Durham/Durham"," 601","Scugog",0,107,64,293,561,1,3,1,1030,
35023,"Durham/Durham"," 602","Scugog",3,83,43,349,527,1,1,11,1018,
35023,"Durham/Durham"," 603","Lakeside Beach",0,60,54,166,457,0,0,6,743,
35023,"Durham/Durham"," 604","Blackstock",2,70,52,99,362,1,4,3,593,
35023,"Durham/Durham"," 605","Clarington",8,79,39,177,495,0,2,1,801,
35023,"Durham/Durham"," 606","Clarington",0,67,55,143,421,0,1,2,689,
35023,"Durham/Durham"," 607","Oshawa",1,118,46,310,417,0,2,1,895,
35023,"Durham/Durham"," 608","Oshawa",2,171,50,411,386,0,4,3,1027,
