Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,Robert Eppich,Susan Farlinger,Gord Johns,Susanne Lawson,Mary Lee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59009,"Courtenay--Alberni/Courtenay--Alberni"," 167","French Creek",0,9,27,71,7,72,1,187,434
59009,"Courtenay--Alberni/Courtenay--Alberni"," 168","French Creek",0,16,63,125,9,96,0,309,754
59009,"Courtenay--Alberni/Courtenay--Alberni"," 169","Nanaimo G",1,14,38,65,7,74,1,200,485
59009,"Courtenay--Alberni/Courtenay--Alberni"," 170","Whisky Creek",0,4,13,66,10,42,0,135,389
59009,"Courtenay--Alberni/Courtenay--Alberni"," 171","Coombs",0,23,25,56,5,77,1,187,421
59009,"Courtenay--Alberni/Courtenay--Alberni"," 172","Nanaimo F",0,11,20,99,13,69,1,213,504
59009,"Courtenay--Alberni/Courtenay--Alberni"," 173","Hilliers",0,6,37,66,8,46,0,163,355
59009,"Courtenay--Alberni/Courtenay--Alberni"," 174","Coombs",0,17,15,61,24,32,0,149,376
59009,"Courtenay--Alberni/Courtenay--Alberni"," 175","Nanaimo F",0,5,29,82,19,82,0,217,452
59009,"Courtenay--Alberni/Courtenay--Alberni"," 176","Errington",0,7,14,49,6,36,0,112,335
59009,"Courtenay--Alberni/Courtenay--Alberni"," 177","Errington",0,10,13,38,10,26,0,97,264
59009,"Courtenay--Alberni/Courtenay--Alberni"," 178","Coombs",1,14,22,80,13,58,0,188,433
59009,"Courtenay--Alberni/Courtenay--Alberni"," 179","Nanaimo F",1,28,18,62,20,58,0,187,472
59009,"Courtenay--Alberni/Courtenay--Alberni"," 180","Parksville",0,12,33,97,10,69,0,221,523
59009,"Courtenay--Alberni/Courtenay--Alberni"," 181","Parksville",1,5,39,65,4,79,1,194,452
59009,"Courtenay--Alberni/Courtenay--Alberni"," 182","Parksville",1,4,46,82,5,67,0,205,507
59009,"Courtenay--Alberni/Courtenay--Alberni"," 183","Parksville",2,3,34,71,8,78,1,197,497
59009,"Courtenay--Alberni/Courtenay--Alberni"," 184","Parksville",0,6,65,103,11,105,0,290,700
59009,"Courtenay--Alberni/Courtenay--Alberni"," 185","Parksville",2,9,33,95,17,63,0,219,626
