Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenni Michelle Le Forestier,Stephen McKendrick,Lisa Post,Samantha Sanchez,Kyle Seeback,Anthony Zambito,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35022,"Dufferin--Caledon/Dufferin--Caledon"," 26","Amaranth",8,0,52,22,131,15,2,230,640
35022,"Dufferin--Caledon/Dufferin--Caledon"," 27","Amaranth",3,1,52,24,96,20,0,196,536
35022,"Dufferin--Caledon/Dufferin--Caledon"," 28","Caledon",9,1,62,25,111,14,1,223,647
35022,"Dufferin--Caledon/Dufferin--Caledon"," 29","Caledon",10,0,55,9,116,10,1,201,551
35022,"Dufferin--Caledon/Dufferin--Caledon"," 30","Caledon",19,2,64,16,109,18,1,229,612
35022,"Dufferin--Caledon/Dufferin--Caledon"," 31","Caledon",4,1,64,15,105,6,2,197,534
35022,"Dufferin--Caledon/Dufferin--Caledon"," 32","Caledon",6,0,51,19,71,5,0,152,510
35022,"Dufferin--Caledon/Dufferin--Caledon"," 33","Caledon",8,0,47,28,132,14,0,229,617
35022,"Dufferin--Caledon/Dufferin--Caledon"," 34","Caledon",2,2,61,17,84,15,4,185,559
35022,"Dufferin--Caledon/Dufferin--Caledon"," 35","Mono",17,3,72,19,149,13,2,275,642
35022,"Dufferin--Caledon/Dufferin--Caledon"," 36","Caledon",15,3,66,36,139,21,1,281,524
35022,"Dufferin--Caledon/Dufferin--Caledon"," 37","Caledon",21,0,61,28,137,18,0,265,576
35022,"Dufferin--Caledon/Dufferin--Caledon"," 38","Mono",20,0,43,12,118,15,1,209,579
35022,"Dufferin--Caledon/Dufferin--Caledon"," 39","Mono",3,0,64,25,107,3,1,203,575
35022,"Dufferin--Caledon/Dufferin--Caledon"," 40","Mono",17,0,73,24,101,7,0,222,564
35022,"Dufferin--Caledon/Dufferin--Caledon"," 41","Mono",11,1,41,12,62,12,0,139,521
35022,"Dufferin--Caledon/Dufferin--Caledon"," 42","Caledon",3,1,43,11,78,9,1,146,520
35022,"Dufferin--Caledon/Dufferin--Caledon"," 43","Caledon",9,3,44,23,121,13,1,214,582
35022,"Dufferin--Caledon/Dufferin--Caledon"," 44","Caledon",1,0,70,36,94,22,1,224,613
35022,"Dufferin--Caledon/Dufferin--Caledon"," 45","Caledon",4,1,69,26,86,23,1,210,477
35022,"Dufferin--Caledon/Dufferin--Caledon"," 46","Caledon",5,0,56,14,94,12,0,181,523
35022,"Dufferin--Caledon/Dufferin--Caledon"," 47","Caledon",3,0,74,16,98,7,0,198,598
35022,"Dufferin--Caledon/Dufferin--Caledon"," 48","East Luther Grand Valley",13,0,40,17,143,15,0,228,453
35022,"Dufferin--Caledon/Dufferin--Caledon"," 49","Caledon",9,1,41,20,112,14,0,197,476
35022,"Dufferin--Caledon/Dufferin--Caledon"," 50","Mono",6,3,128,33,158,20,2,350,841
35022,"Dufferin--Caledon/Dufferin--Caledon"," 51","Mono",9,1,84,16,130,12,0,252,638
35022,"Dufferin--Caledon/Dufferin--Caledon"," 52","Caledon",11,0,68,24,88,9,1,201,616
35022,"Dufferin--Caledon/Dufferin--Caledon"," 53","Caledon",13,3,96,23,112,9,0,256,615
35022,"Dufferin--Caledon/Dufferin--Caledon"," 54","Caledon",6,0,64,19,144,8,0,241,603
35022,"Dufferin--Caledon/Dufferin--Caledon"," 55","Caledon",8,1,48,12,104,16,2,191,497
35022,"Dufferin--Caledon/Dufferin--Caledon"," 56","Caledon",11,1,80,37,113,17,0,259,599
35022,"Dufferin--Caledon/Dufferin--Caledon"," 57","Caledon",17,0,77,32,96,24,0,246,598
35022,"Dufferin--Caledon/Dufferin--Caledon"," 58","Caledon",5,2,76,20,114,16,0,233,621
35022,"Dufferin--Caledon/Dufferin--Caledon"," 59","Caledon",3,0,51,22,106,9,1,192,610
35022,"Dufferin--Caledon/Dufferin--Caledon"," 60","Caledon",5,1,46,13,45,11,1,122,477
35022,"Dufferin--Caledon/Dufferin--Caledon"," 61","Caledon",4,0,49,29,93,5,0,180,445
35022,"Dufferin--Caledon/Dufferin--Caledon"," 62","Caledon",6,2,65,27,74,24,1,199,556
35022,"Dufferin--Caledon/Dufferin--Caledon"," 63","Caledon",11,1,65,30,86,14,1,208,600
