Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chey Craik,Isaiah Hunter,Talon Regent,Fraser Tolmie,David Craig Townsend,Katelyn Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 76","Craven",23,5,56,191,4,18,1,298,620
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 77","Craven",11,2,29,95,0,6,0,143,295
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 78","Disley",32,3,32,88,2,4,0,161,424
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 79","Lumsden",9,4,44,98,1,22,1,179,466
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 80","Lumsden",11,2,25,71,1,15,0,125,255
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 81","Lumsden",9,3,37,91,2,14,1,157,397
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 82","Lumsden",12,3,26,85,1,9,0,136,284
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 83","Lumsden",10,1,37,132,0,15,1,196,494
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 84","Mount Pleasant",19,3,16,165,1,4,1,209,506
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 85","Moose Jaw",22,3,26,75,1,7,1,135,384
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 86","Moose Jaw",21,0,29,71,1,11,2,135,365
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 87","Moose Jaw",18,0,42,87,2,15,0,164,387
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 88","Moose Jaw",22,0,45,65,1,9,0,142,368
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 89","Moose Jaw",13,0,37,75,1,11,1,138,490
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 90","Moose Jaw",28,1,44,116,0,16,1,206,562
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 91","Moose Jaw",17,1,46,112,4,11,2,193,533
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 92","Moose Jaw",7,2,48,83,0,14,0,154,417
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 93","Moose Jaw",21,3,21,103,2,8,0,158,487
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 94","Moose Jaw",19,0,26,70,0,6,0,121,370
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 95A","Moose Jaw",18,1,37,132,0,6,1,195,421
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 95B","Mobile poll/Bureau itinérant",0,1,11,14,0,7,0,33,72
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 96","Moose Jaw",20,1,36,82,3,5,0,147,500
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 97","Moose Jaw",13,1,23,71,0,7,0,115,382
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 98","Moose Jaw",10,3,31,71,6,5,0,126,347
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 99","Moose Jaw",18,3,23,55,1,2,0,102,316
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 100","Moose Jaw",16,0,37,53,0,0,0,106,350
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 101","Moose Jaw",16,0,40,53,1,6,0,116,363
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 102","Moose Jaw",19,3,73,78,4,3,1,181,369
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 103","Moose Jaw",19,0,27,52,0,6,0,104,368
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 104","Moose Jaw",22,3,46,61,3,6,0,141,377
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 105","Moose Jaw",21,7,46,73,1,9,0,157,401
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 106","Moose Jaw",36,0,66,61,3,10,1,177,470
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 107","Moose Jaw",28,1,72,60,2,18,0,181,494
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 108","Moose Jaw",35,4,57,72,3,4,1,176,470
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 109","Moose Jaw",19,0,52,69,2,11,0,153,390
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 110","Moose Jaw",28,6,34,74,4,15,2,163,559
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 111","Moose Jaw",31,1,51,73,0,17,0,173,442
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 112","Moose Jaw",23,2,42,71,7,8,0,153,389
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 113","Moose Jaw",31,1,36,47,0,10,0,125,410
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 114","Moose Jaw",20,1,31,56,3,0,0,111,394
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 115","Moose Jaw",8,0,22,33,0,13,0,76,322
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 116","Moose Jaw",27,0,33,49,1,13,1,124,335
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 117","Moose Jaw",36,0,41,64,2,8,1,152,510
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 118","Moose Jaw",19,1,35,46,2,7,0,110,356
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 119","Moose Jaw",23,4,44,69,0,11,0,151,369
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 120","Moose Jaw",22,0,37,86,0,11,0,156,436
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 121","Moose Jaw",25,3,36,63,3,9,1,140,455
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 122","Moose Jaw",19,1,33,84,0,4,0,141,437
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 123A","Moose Jaw",23,6,43,40,1,9,0,122,385
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 123B","Mobile poll/Bureau itinérant",0,1,1,1,0,3,1,7,12
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 123C","Mobile poll/Bureau itinérant",0,0,7,3,0,4,0,14,26
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 124","Moose Jaw",22,2,43,45,1,10,0,123,466
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 125","Moose Jaw",29,0,36,52,3,10,0,130,433
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 126A","Moose Jaw",14,0,26,39,0,7,1,87,153
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 126B","Mobile poll/Bureau itinérant",3,0,14,20,0,2,0,39,80
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 127A","Moose Jaw",Merged with No./Fusionné avec le n°116,,,,,,,,195
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 127B","Moose Jaw",4,4,38,33,3,13,1,96,151
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 128A","Moose Jaw",Merged with No./Fusionné avec le n°126A,,,,,,,,196
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 128B","Moose Jaw",1,2,18,11,1,7,0,40,116
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 129","Moose Jaw",25,1,34,63,2,11,1,137,431
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 130","Moose Jaw",29,4,38,69,2,13,0,155,398
