Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claire Card,Dawn Dumont Walker,Jeremy Fisher,North-Marie Hunter,Guto Penteado,Corey Tochor,Carl A Wesolowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--University/Saskatoon--University"," 137","Saskatoon",58,12,0,2,10,46,1,0,129,389
47011,"Saskatoon--University/Saskatoon--University"," 138","Saskatoon",53,25,1,0,4,48,1,0,132,353
47011,"Saskatoon--University/Saskatoon--University"," 139","Saskatoon",63,23,0,3,11,54,3,0,157,366
47011,"Saskatoon--University/Saskatoon--University"," 140","Saskatoon",61,16,1,2,4,71,0,0,155,370
47011,"Saskatoon--University/Saskatoon--University"," 141","Saskatoon",43,22,0,6,4,36,0,1,112,399
47011,"Saskatoon--University/Saskatoon--University"," 142","Saskatoon",95,19,0,0,4,81,0,0,199,445
47011,"Saskatoon--University/Saskatoon--University"," 143","Saskatoon",62,18,0,2,6,51,0,0,139,366
47011,"Saskatoon--University/Saskatoon--University"," 144","Saskatoon",98,25,0,1,9,55,0,0,188,430
47011,"Saskatoon--University/Saskatoon--University"," 145","Saskatoon",67,37,0,3,11,47,0,0,165,470
47011,"Saskatoon--University/Saskatoon--University"," 400","Saskatoon",33,24,0,7,2,50,1,0,117,151
47011,"Saskatoon--University/Saskatoon--University"," 401","Saskatoon",24,9,2,8,2,15,2,1,63,128
47011,"Saskatoon--University/Saskatoon--University"," 500","Mobile poll/Bureau itinérant",13,10,1,1,3,41,0,1,70,108
47011,"Saskatoon--University/Saskatoon--University"," 501","Mobile poll/Bureau itinérant",17,7,1,1,1,27,1,0,55,76
47011,"Saskatoon--University/Saskatoon--University"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
47011,"Saskatoon--University/Saskatoon--University"," 600","Saskatoon",372,100,2,10,64,807,14,2,1371,
47011,"Saskatoon--University/Saskatoon--University"," 601","Saskatoon",308,140,1,11,59,970,4,8,1501,
47011,"Saskatoon--University/Saskatoon--University"," 602","Saskatoon",385,155,4,5,75,939,7,8,1578,
47011,"Saskatoon--University/Saskatoon--University"," 603","Saskatoon",304,133,2,9,78,703,5,1,1235,
47011,"Saskatoon--University/Saskatoon--University"," 604","Saskatoon",405,94,2,16,47,526,3,7,1100,
47011,"Saskatoon--University/Saskatoon--University"," 605","Saskatoon",363,83,3,7,56,701,4,2,1219,
47011,"Saskatoon--University/Saskatoon--University"," 606","Saskatoon",362,178,2,10,73,978,3,1,1607,
47011,"Saskatoon--University/Saskatoon--University"," 607","Saskatoon",317,145,5,8,46,1092,7,4,1624,
47011,"Saskatoon--University/Saskatoon--University"," 608","Saskatoon",350,141,1,7,65,816,11,2,1393,
47011,"Saskatoon--University/Saskatoon--University"," 609","Saskatoon",398,106,6,10,60,651,3,5,1239,
47011,"Saskatoon--University/Saskatoon--University"," 610","Saskatoon",361,125,0,9,46,425,7,6,979,
47011,"Saskatoon--University/Saskatoon--University"," 611","Saskatoon",571,141,4,10,24,357,3,5,1115,
47011,"Saskatoon--University/Saskatoon--University"," 612","Saskatoon",582,112,3,12,22,252,2,1,986,
47011,"Saskatoon--University/Saskatoon--University",,Group 1/Groupe 1, 190,66,4,8,17,184,2,35,506,240
47011,"Saskatoon--University/Saskatoon--University",,Group 2/Groupe 2, 1582,503,4,25,73,1276,16,136,3615,
