Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leona Alleslev,Janice Hagan,Serge Korovitsyn,Anthony Siskos,Leah Taylor Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 51A","Richmond Hill",68,15,2,4,90,6,185,234
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 51B","Richmond Hill",Merged with No./Fusionné avec le n°54B,,,,,,,206
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 52A","Richmond Hill",Merged with No./Fusionné avec le n°51A,,,,,,,198
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 52B","Richmond Hill",Merged with No./Fusionné avec le n°54B,,,,,,,152
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 53A","Richmond Hill",Merged with No./Fusionné avec le n°98A,,,,,,,257
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 53B","Richmond Hill",Merged with No./Fusionné avec le n°98B,,,,,,,204
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 54A","Richmond Hill",Merged with No./Fusionné avec le n°51A,,,,,,,194
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 54B","Richmond Hill",67,19,1,7,79,1,174,228
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 55A","Richmond Hill",Merged with No./Fusionné avec le n°60A,,,,,,,235
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 55B","Richmond Hill",Merged with No./Fusionné avec le n°60B,,,,,,,214
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 56A","Richmond Hill",55,19,8,10,101,2,195,190
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 56B","Richmond Hill",88,17,5,8,80,1,199,222
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 57A","Richmond Hill",Merged with No./Fusionné avec le n°60A,,,,,,,202
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 57B","Richmond Hill",Merged with No./Fusionné avec le n°60B,,,,,,,163
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 58A","Richmond Hill",Merged with No./Fusionné avec le n°56A,,,,,,,170
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 58B","Richmond Hill",Merged with No./Fusionné avec le n°56B,,,,,,,226
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 59A","Richmond Hill",Merged with No./Fusionné avec le n°56A,,,,,,,161
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 59B","Richmond Hill",Merged with No./Fusionné avec le n°56B,,,,,,,211
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 60A","Richmond Hill",68,31,1,2,85,1,188,259
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 60B","Richmond Hill",122,12,1,8,77,2,222,233
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 61","Richmond Hill",81,20,1,3,49,1,155,524
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 62A","Richmond Hill",Merged with No./Fusionné avec le n°63A,,,,,,,223
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 62B","Richmond Hill",Merged with No./Fusionné avec le n°64B,,,,,,,235
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 63A","Richmond Hill",105,13,1,13,75,0,207,257
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 63B","Richmond Hill",Merged with No./Fusionné avec le n°64B,,,,,,,236
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 64A","Richmond Hill",Merged with No./Fusionné avec le n°63A,,,,,,,249
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 64B","Richmond Hill",86,21,0,21,103,1,232,242
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 65A","Richmond Hill",Merged with No./Fusionné avec le n°66A,,,,,,,196
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 65B","Richmond Hill",Merged with No./Fusionné avec le n°66B,,,,,,,185
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 66A","Richmond Hill",85,21,2,7,120,0,235,322
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 66B","Richmond Hill",78,10,2,8,87,0,185,243
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 67A","Richmond Hill",Merged with No./Fusionné avec le n°66A,,,,,,,271
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 67B","Richmond Hill",Merged with No./Fusionné avec le n°66B,,,,,,,181
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 68A","Richmond Hill",Merged with No./Fusionné avec le n°70A,,,,,,,187
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 68B","Richmond Hill",Merged with No./Fusionné avec le n°70B,,,,,,,169
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 69A","Richmond Hill",Merged with No./Fusionné avec le n°70A,,,,,,,191
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 69B","Richmond Hill",Merged with No./Fusionné avec le n°70B,,,,,,,149
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 70A","Richmond Hill",73,12,0,15,79,1,180,222
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 70B","Richmond Hill",66,14,3,10,78,1,172,225
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 71A","Richmond Hill",Merged with No./Fusionné avec le n°80A,,,,,,,221
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 71B","Richmond Hill",85,11,2,12,76,0,186,233
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 72A","Richmond Hill",98,14,4,8,79,1,204,237
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 72B","Richmond Hill",Merged with No./Fusionné avec le n°74B,,,,,,,221
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 73A","Richmond Hill",Merged with No./Fusionné avec le n°72A,,,,,,,223
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 73B","Richmond Hill ",Merged with No./Fusionné avec le n°74B,,,,,,,172
