Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jamie Ruby,Scott Simms,Clifford Small,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 91","Gander",10,46,29,2,87,402
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 92","Benton",2,21,39,0,62,153
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 93","Westport",10,11,66,0,87,186
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 94","Point Leamington",10,69,57,6,142,316
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 95","Point Leamington",10,47,49,2,108,257
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 96A","Gander",3,27,27,1,58,195
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 96B","Gander",3,44,22,10,79,144
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 97","Gander",11,66,42,2,121,342
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 98","Gander",25,56,33,0,114,403
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 99","Gander",9,44,39,1,93,345
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 100","Gander",9,38,23,1,71,329
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 101","Gander",15,51,29,2,97,319
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 102","Gander",8,34,23,0,65,281
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 103","Gander",18,73,46,1,138,510
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 104","Gander",12,42,36,2,92,382
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 105","Gander",13,45,25,4,87,326
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 106","Gander",18,92,74,2,186,543
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 107","Springdale",10,19,55,1,85,306
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 108A","Springdale",10,21,51,1,83,341
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 108B","Springdale",0,7,12,4,23,23
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 109","Springdale",7,21,49,1,78,349
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 110","Robert's Arm",5,20,96,3,124,362
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 111","Robert's Arm",7,22,70,4,103,283
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 112","Laurenceton",6,27,45,0,78,151
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 113","Rattling Brook",Merged with No./Fusionné avec le n°115,,,,,73
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 114","King's Point",13,36,101,4,154,319
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 115","King's Point",20,45,118,5,188,294
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 116","Springdale",16,31,55,2,104,416
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 117","Springdale",13,51,113,0,177,685
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 118","Springdale",10,30,54,0,94,446
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 119","Norris Arm North",9,23,63,5,100,177
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 120","Glenwood",6,76,48,5,135,303
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 121","Glenwood",16,67,61,4,148,371
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 122","Botwood",6,38,24,2,70,274
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 123","Botwood",10,42,51,2,105,403
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 124","Botwood",13,51,48,1,113,382
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 125","Northern Arm",12,85,51,0,148,331
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 126","Appleton",9,49,42,0,100,205
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 127","Appleton",10,51,74,1,136,300
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 128","Botwood",9,67,39,0,115,425
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 129","Botwood",10,32,39,3,84,374
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 130","Botwood",11,40,31,0,82,268
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 131","Botwood",5,33,36,1,75,355
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 132","Peterview",10,22,66,0,98,349
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 133","Peterview",14,54,45,0,113,365
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 134","Norris Arm",23,81,70,3,177,365
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 135","Norris Arm",19,91,73,3,186,419
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 136","Grand Falls-Windsor",20,47,67,6,140,366
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 137","Grand Falls-Windsor",12,46,55,5,118,387
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 138","Grand Falls-Windsor",9,37,35,5,86,350
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 139","Grand Falls-Windsor",12,49,57,6,124,348
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 140","Grand Falls-Windsor",10,57,48,3,118,402
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 141","Grand Falls-Windsor",9,50,41,3,103,366
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 142","Grand Falls-Windsor",13,60,50,1,124,343
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 143","Sheppardville",3,10,21,1,35,59
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 144","Bishop's Falls",3,31,23,1,58,184
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 145","Bishop's Falls",8,51,34,1,94,383
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 146","Bishop's Falls",5,62,53,0,120,374
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 147","Bishop's Falls",7,31,50,1,89,322
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 148","Bishop's Falls",7,91,61,0,159,411
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 149","Bishop's Falls",7,58,26,0,91,382
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 150","Bishop's Falls",8,61,59,0,128,358
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 151","Bishop's Falls",12,59,64,1,136,357
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 152","South Brook",16,68,145,0,229,496
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 153","Grand Falls-Windsor",18,90,87,1,196,515
