Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Charity DiPaola,Majid Jowhari,Angelika Keller,Costas Menegakis,Igor Tvorogov,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Richmond Hill/Richmond Hill"," 155","Richmond Hill",19,2,58,0,58,3,1,141,491
35087,"Richmond Hill/Richmond Hill"," 156","Richmond Hill",8,2,71,2,76,4,0,163,496
35087,"Richmond Hill/Richmond Hill"," 157","Richmond Hill",2,3,24,0,37,4,0,70,354
35087,"Richmond Hill/Richmond Hill"," 158","Richmond Hill",13,5,63,0,57,3,1,142,421
35087,"Richmond Hill/Richmond Hill"," 159","Richmond Hill",11,1,92,1,40,4,2,151,467
35087,"Richmond Hill/Richmond Hill"," 160","Richmond Hill",9,3,42,0,55,4,1,114,366
35087,"Richmond Hill/Richmond Hill"," 400","Richmond Hill",10,2,65,2,49,8,7,143,247
35087,"Richmond Hill/Richmond Hill"," 401","Richmond Hill",14,10,80,0,52,8,3,167,276
35087,"Richmond Hill/Richmond Hill"," 402","Richmond Hill",19,1,65,0,39,6,1,131,235
35087,"Richmond Hill/Richmond Hill"," 403","Richmond Hill",26,2,97,4,45,9,5,188,335
35087,"Richmond Hill/Richmond Hill"," 404","Richmond Hill",7,1,33,1,36,9,4,91,154
35087,"Richmond Hill/Richmond Hill"," 405","Richmond Hill",17,0,72,0,36,3,2,130,213
35087,"Richmond Hill/Richmond Hill"," 406","Richmond Hill",3,3,38,0,41,3,1,89,167
35087,"Richmond Hill/Richmond Hill"," 407","Richmond Hill",16,0,53,2,47,8,2,128,403
35087,"Richmond Hill/Richmond Hill"," 408","Richmond Hill",14,1,134,0,64,7,9,229,438
35087,"Richmond Hill/Richmond Hill"," 409","Richmond Hill",12,6,81,1,42,7,5,154,288
35087,"Richmond Hill/Richmond Hill"," 410","Richmond Hill",8,2,86,1,60,4,3,164,262
35087,"Richmond Hill/Richmond Hill"," 411","Richmond Hill",10,0,86,2,48,6,3,155,292
35087,"Richmond Hill/Richmond Hill"," 412","Richmond Hill",12,6,78,1,52,8,5,162,276
35087,"Richmond Hill/Richmond Hill"," 413","Richmond Hill",17,4,110,2,48,4,5,190,316
35087,"Richmond Hill/Richmond Hill"," 414","Richmond Hill",18,2,97,0,65,6,5,193,281
35087,"Richmond Hill/Richmond Hill"," 415","Richmond Hill",7,1,62,1,40,6,3,120,385
35087,"Richmond Hill/Richmond Hill"," 416","Richmond Hill",6,3,79,1,61,5,0,155,268
35087,"Richmond Hill/Richmond Hill"," 417","Richmond Hill",10,3,39,1,37,7,2,99,188
35087,"Richmond Hill/Richmond Hill"," 418","Richmond Hill",17,3,53,1,39,7,0,120,264
35087,"Richmond Hill/Richmond Hill"," 419","Richmond Hill",9,1,48,1,42,0,3,104,168
35087,"Richmond Hill/Richmond Hill"," 420","Richmond Hill",8,9,77,0,58,1,2,155,257
