Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Hatch,Dan Muys,Lorne Newick,Bill Panchyshyn,Vito Sgro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 193","Hamilton",11,128,51,25,107,6,328,489
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 194","Hamilton",Merged with No./Fusionné avec le n°195,,,,,,,425
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 195","Hamilton",10,145,55,15,81,0,306,430
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 500","Mobile poll/Bureau itinérant",0,3,5,3,7,0,18,30
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 501","Mobile poll/Bureau itinérant",0,8,3,0,10,1,22,39
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 502","Mobile poll/Bureau itinérant",2,12,6,0,22,1,43,79
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 503","Mobile poll/Bureau itinérant",3,9,4,0,7,2,25,41
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 504","Mobile poll/Bureau itinérant",1,12,2,0,11,3,29,42
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 505","Hamilton",Merged with No./Fusionné avec le n°40,,,,,,,38
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 506","Mobile poll/Bureau itinérant",3,5,1,1,5,1,16,18
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 507","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 508","Mobile poll/Bureau itinérant",1,7,5,0,7,1,21,28
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 509","Mobile poll/Bureau itinérant",1,4,2,0,14,1,22,43
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 510","Mobile poll/Bureau itinérant",1,3,2,1,6,0,13,64
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 511","Mobile poll/Bureau itinérant",6,28,14,4,38,2,92,137
