Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Marie Anonsen,Linda Hogan,Churence Rogers,Sharon Vokey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 125","Norman's Cove",10,10,80,37,9,146,399
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 126","Chapel Arm",11,7,67,70,5,160,397
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 127A","Whitbourne",Merged with No./Fusionné avec le n°128A,,,,,,96
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 127B","Whitbourne",Merged with No./Fusionné avec le n°128B,,,,,,91
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 128A","Whitbourne",17,16,88,55,3,179,345
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 128B","Whitbourne",28,4,115,54,1,202,326
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 129","Blaketown",30,8,103,77,0,218,486
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 130","South Dildo",3,2,30,28,2,65,125
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 131","Old Shop",15,1,47,43,4,110,280
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 132","Harnum Point",13,6,53,44,0,116,295
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 133","Dildo",18,6,60,54,0,138,391
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 134","New Harbour",11,5,35,61,3,115,312
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 135","New Harbour",21,8,46,62,3,140,384
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 136","Hopeall",15,6,33,41,0,95,164
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 137","Green's Harbour",16,15,75,60,3,169,370
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 138","Green's Harbour",10,5,38,23,0,76,175
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 139","Whiteway",18,4,56,44,4,126,274
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 140","Cavendish",15,2,36,30,1,84,218
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 141","Heart's Delight-Islington",29,4,87,67,7,194,376
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 142","Heart's Delight",7,3,43,44,8,105,214
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 143","Heart's Desire",6,10,46,29,1,92,185
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 144","Heart's Content",15,7,73,71,5,171,313
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 145","New Perlican",12,2,51,22,0,87,162
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 146","Winterton--Turks Cove",13,8,103,54,0,178,397
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 147","Hant's Harbour",19,5,87,54,4,169,335
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 148","Brownsdale--New Melbourne",11,7,46,19,1,84,252
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 149","Sibleys Cove--Lead Cove",3,3,22,14,2,44,98
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 150","Old Perlican",4,2,31,19,0,56,146
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 151","Old Perlican",10,2,61,17,0,90,356
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 152","Grates Cove",10,1,24,8,2,45,111
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 153","Bay de Verde",12,2,71,20,2,107,279
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 154","Bay de Verde",9,3,39,11,3,65,109
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 155","Low Point--Lower Island Cove--Caplin Cove",7,2,68,24,1,102,304
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 156","Burnt Point--Job's Cove",7,1,42,16,4,70,191
