Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Aitchison,James Fawcett,Heather Hay,Marc Mantha,Jovanie Nicoyishakiye,Daniel Predie Jr,James Tole,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 27","Parry Sound",20,1,17,1,15,2,6,0,62,246
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 28","Parry Sound",42,1,47,9,23,3,14,0,139,469
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 29","Parry Sound",42,0,31,10,42,0,13,0,138,520
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 30","Parry Sound",52,0,42,13,29,1,14,2,153,424
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 31","Parry Sound",31,1,29,6,35,2,7,0,111,387
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 32","Parry Sound",51,0,31,19,28,2,8,0,139,526
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 33","Sans Souci",36,0,11,2,9,1,4,0,63,286
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 34","Seguin",71,0,27,5,34,0,6,2,145,336
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 35","Seguin",59,0,21,7,26,1,14,1,129,290
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 36","Seguin",96,0,25,13,33,2,13,0,182,323
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 37","Seguin",107,0,25,13,41,0,15,0,201,416
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 38","Orrville",95,0,36,10,43,2,12,3,201,367
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 39","Orrville",81,0,49,6,42,0,14,0,192,337
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 40","Seguin",105,0,35,11,63,0,15,1,230,509
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 41","Seguin",137,0,33,12,56,1,17,0,256,521
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 42","Rosseau",133,0,37,12,31,1,26,1,241,476
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 43","Rosseau",83,0,36,7,45,0,11,2,184,328
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 44","Minett",105,1,16,10,42,0,11,0,185,398
