Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Anstey,Gudie Hutchings,Kaila Mintz,Darrell Shelley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 168","St. George's",63,87,28,23,0,201,503
10005,"Long Range Mountains/Long Range Mountains"," 169","West Bay Centre",26,20,9,4,0,59,106
10005,"Long Range Mountains/Long Range Mountains"," 170","Piccadilly",49,49,9,31,3,141,336
10005,"Long Range Mountains/Long Range Mountains"," 171","St. Teresa--Flat Bay",24,45,13,10,2,94,194
10005,"Long Range Mountains/Long Range Mountains"," 172","Campbells Creek",18,13,3,3,0,37,58
10005,"Long Range Mountains/Long Range Mountains"," 173","Mainland",46,48,4,11,1,110,231
10005,"Long Range Mountains/Long Range Mountains"," 174","Sheaves Cove",11,13,4,0,0,28,36
10005,"Long Range Mountains/Long Range Mountains"," 175","Cape St. George--Red Brook--Marches Point",92,74,18,28,13,225,547
10005,"Long Range Mountains/Long Range Mountains"," 176","Cape St. George--Red Brook--Marches Point",31,26,7,8,5,77,168
10005,"Long Range Mountains/Long Range Mountains"," 177","Heatherton",60,46,10,15,1,132,337
10005,"Long Range Mountains/Long Range Mountains"," 178","François",12,17,8,1,0,38,60
10005,"Long Range Mountains/Long Range Mountains"," 179","Burgeo",17,30,1,3,0,51,142
10005,"Long Range Mountains/Long Range Mountains"," 180","Burgeo",29,59,3,8,0,99,325
10005,"Long Range Mountains/Long Range Mountains"," 181","Burgeo",38,63,7,8,0,116,393
10005,"Long Range Mountains/Long Range Mountains"," 182","Burgeo",19,43,3,15,0,80,264
10005,"Long Range Mountains/Long Range Mountains"," 183","Jeffrey's--Cartyville",47,54,12,5,7,125,318
10005,"Long Range Mountains/Long Range Mountains"," 184","Grey River",3,20,0,0,2,25,72
10005,"Long Range Mountains/Long Range Mountains"," 185","St. David's--St. Fintan's",41,47,9,8,0,105,334
10005,"Long Range Mountains/Long Range Mountains"," 186","La Poile",5,19,2,0,0,26,63
10005,"Long Range Mountains/Long Range Mountains"," 187","Highlands",4,15,4,1,0,24,46
10005,"Long Range Mountains/Long Range Mountains"," 188","Ramea",46,68,9,0,0,123,381
10005,"Long Range Mountains/Long Range Mountains"," 189","Coal Brook--South Branch",57,39,11,9,0,116,185
10005,"Long Range Mountains/Long Range Mountains"," 190","Codroy",102,111,25,10,0,248,431
10005,"Long Range Mountains/Long Range Mountains"," 191","Upper Ferry--Searston",93,59,31,11,0,194,383
10005,"Long Range Mountains/Long Range Mountains"," 192","Rose Blanche-Harbour le Cou",38,89,6,2,0,135,370
10005,"Long Range Mountains/Long Range Mountains"," 193","Burnt Islands",14,17,1,1,0,33,119
10005,"Long Range Mountains/Long Range Mountains"," 194","Burnt Islands",86,48,7,4,6,151,370
10005,"Long Range Mountains/Long Range Mountains"," 195","St. Andrew's",50,51,20,11,1,133,188
10005,"Long Range Mountains/Long Range Mountains"," 196","Isle aux Morts",75,24,6,3,3,111,235
10005,"Long Range Mountains/Long Range Mountains"," 197","Isle aux Morts",68,44,9,3,8,132,305
10005,"Long Range Mountains/Long Range Mountains"," 198","Cape Ray",70,42,18,7,5,142,258
10005,"Long Range Mountains/Long Range Mountains"," 199","Channel-Port aux Basques",33,33,17,2,1,86,243
10005,"Long Range Mountains/Long Range Mountains"," 200","Channel-Port aux Basques",61,62,11,12,0,146,433
