Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randy Boissonnault,Brock Crocker,James Cumming,Merryn Edwards,Valerie Keefe,Heather MacKenzie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48014,"Edmonton Centre/Edmonton-Centre"," 110","Edmonton",Merged with No./Fusionné avec le n°111,,,,,,,,88
48014,"Edmonton Centre/Edmonton-Centre"," 111","Edmonton",66,18,44,0,0,73,0,201,434
48014,"Edmonton Centre/Edmonton-Centre"," 112","Edmonton",Merged with No./Fusionné avec le n°108,,,,,,,,245
48014,"Edmonton Centre/Edmonton-Centre"," 113","Edmonton",60,4,47,1,1,52,0,165,436
48014,"Edmonton Centre/Edmonton-Centre"," 114","Edmonton",54,7,32,0,2,61,1,157,447
48014,"Edmonton Centre/Edmonton-Centre"," 115","Edmonton",108,3,75,0,1,64,0,251,565
48014,"Edmonton Centre/Edmonton-Centre"," 116","Edmonton",82,6,50,0,0,38,0,176,480
48014,"Edmonton Centre/Edmonton-Centre"," 117","Edmonton",92,8,60,1,0,94,1,256,389
48014,"Edmonton Centre/Edmonton-Centre"," 118","Edmonton",Merged with No./Fusionné avec le n°117,,,,,,,,265
48014,"Edmonton Centre/Edmonton-Centre"," 119","Edmonton",45,8,54,1,0,72,0,180,541
48014,"Edmonton Centre/Edmonton-Centre"," 120","Edmonton",84,10,55,2,0,65,1,217,467
48014,"Edmonton Centre/Edmonton-Centre"," 121","Edmonton",59,3,27,0,1,65,1,156,403
48014,"Edmonton Centre/Edmonton-Centre"," 122","Edmonton",77,5,64,1,1,52,0,200,498
48014,"Edmonton Centre/Edmonton-Centre"," 123","Edmonton",61,11,45,0,0,61,2,180,435
48014,"Edmonton Centre/Edmonton-Centre"," 124","Edmonton",64,4,60,2,1,38,0,169,500
48014,"Edmonton Centre/Edmonton-Centre"," 125","Edmonton",48,5,39,0,0,68,1,161,466
48014,"Edmonton Centre/Edmonton-Centre"," 126","Edmonton",52,4,61,0,1,23,0,141,500
48014,"Edmonton Centre/Edmonton-Centre"," 127","Edmonton",32,4,65,0,0,49,0,150,358
48014,"Edmonton Centre/Edmonton-Centre"," 128","Edmonton",19,9,52,1,1,64,0,146,399
48014,"Edmonton Centre/Edmonton-Centre"," 129","Edmonton",22,12,77,1,1,47,1,161,372
48014,"Edmonton Centre/Edmonton-Centre"," 130","Edmonton",33,8,46,1,1,44,0,133,430
48014,"Edmonton Centre/Edmonton-Centre"," 131","Edmonton",36,7,68,0,0,20,0,131,426
48014,"Edmonton Centre/Edmonton-Centre"," 132","Edmonton",41,13,62,0,6,49,1,172,401
48014,"Edmonton Centre/Edmonton-Centre"," 133","Edmonton",103,6,91,0,1,30,2,233,625
48014,"Edmonton Centre/Edmonton-Centre"," 134","Edmonton",67,8,22,0,0,59,1,157,361
48014,"Edmonton Centre/Edmonton-Centre"," 135","Edmonton",76,4,57,0,1,32,2,172,423
48014,"Edmonton Centre/Edmonton-Centre"," 136","Edmonton",57,7,67,0,0,35,1,167,440
48014,"Edmonton Centre/Edmonton-Centre"," 137","Edmonton",39,2,91,0,0,25,0,157,394
48014,"Edmonton Centre/Edmonton-Centre"," 138","Edmonton",48,4,37,0,1,43,1,134,425
48014,"Edmonton Centre/Edmonton-Centre"," 139","Edmonton",70,7,46,0,1,50,1,175,399
48014,"Edmonton Centre/Edmonton-Centre"," 140","Edmonton",Merged with No./Fusionné avec le n°141,,,,,,,,297
48014,"Edmonton Centre/Edmonton-Centre"," 141","Edmonton",119,11,80,1,1,101,2,315,319
48014,"Edmonton Centre/Edmonton-Centre"," 142","Edmonton",94,9,47,0,1,90,3,244,640
48014,"Edmonton Centre/Edmonton-Centre"," 143","Edmonton",50,5,30,1,1,54,0,141,362
48014,"Edmonton Centre/Edmonton-Centre"," 144","Edmonton",61,9,46,2,0,57,0,175,386
48014,"Edmonton Centre/Edmonton-Centre"," 145","Edmonton",58,6,35,1,2,64,0,166,376
48014,"Edmonton Centre/Edmonton-Centre"," 146","Edmonton",93,11,40,2,1,67,1,215,533
48014,"Edmonton Centre/Edmonton-Centre"," 147","Edmonton",86,9,70,1,0,61,0,227,542
48014,"Edmonton Centre/Edmonton-Centre"," 148","Edmonton",107,14,76,1,1,90,1,290,670
48014,"Edmonton Centre/Edmonton-Centre"," 149","Edmonton",49,11,46,1,2,84,0,193,497
48014,"Edmonton Centre/Edmonton-Centre"," 150","Edmonton",60,11,34,1,2,68,1,177,430
48014,"Edmonton Centre/Edmonton-Centre"," 151","Edmonton",79,4,28,1,1,55,1,169,299
48014,"Edmonton Centre/Edmonton-Centre"," 152","Edmonton",125,2,80,0,2,74,1,284,558
48014,"Edmonton Centre/Edmonton-Centre"," 153","Edmonton",84,3,61,0,1,66,0,215,445
48014,"Edmonton Centre/Edmonton-Centre"," 154","Edmonton",36,9,36,0,1,41,0,123,496
48014,"Edmonton Centre/Edmonton-Centre"," 155","Edmonton",30,10,65,0,1,54,2,162,372
48014,"Edmonton Centre/Edmonton-Centre"," 156","Edmonton",40,7,55,0,2,50,0,154,420
48014,"Edmonton Centre/Edmonton-Centre"," 157","Edmonton",40,4,43,0,0,36,0,123,356
48014,"Edmonton Centre/Edmonton-Centre"," 158","Edmonton",38,11,59,0,0,48,0,156,377
48014,"Edmonton Centre/Edmonton-Centre"," 159","Edmonton",27,4,55,2,2,42,0,132,403
48014,"Edmonton Centre/Edmonton-Centre"," 160","Edmonton",71,5,46,1,0,31,0,154,446
48014,"Edmonton Centre/Edmonton-Centre"," 161","Edmonton",34,5,70,0,0,34,0,143,404
48014,"Edmonton Centre/Edmonton-Centre"," 162","Edmonton",59,8,90,0,0,30,1,188,438
48014,"Edmonton Centre/Edmonton-Centre"," 163","Edmonton",114,7,63,2,0,77,1,264,498
48014,"Edmonton Centre/Edmonton-Centre"," 164","Edmonton",27,13,51,0,1,61,2,155,486
48014,"Edmonton Centre/Edmonton-Centre"," 165","Edmonton",52,6,94,0,0,44,1,197,415
