Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Reuben Anthony DeBoer,Nathaniel Erskine-Smith,Philip Fernandez,Jennifer Moxon,Radu Rautescu,Lisa Robinson,Alejandra Ruiz Vargas,Karen Lee Wilde,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35007,"Beaches--East York/Beaches--East York"," 409","Toronto",4,74,0,3,2,14,23,2,2,124,198
35007,"Beaches--East York/Beaches--East York"," 500","Mobile poll/Bureau itinérant",3,38,1,0,5,21,2,0,0,70,113
35007,"Beaches--East York/Beaches--East York"," 501","Mobile poll/Bureau itinérant",0,47,0,0,0,16,10,1,5,79,27
35007,"Beaches--East York/Beaches--East York"," 502","Mobile poll/Bureau itinérant",1,26,0,0,0,5,2,0,2,36,111
35007,"Beaches--East York/Beaches--East York"," 503","Mobile poll/Bureau itinérant",1,13,2,0,0,8,4,0,0,28,58
35007,"Beaches--East York/Beaches--East York"," 504","Mobile poll/Bureau itinérant",0,5,0,0,0,1,3,0,0,9,22
35007,"Beaches--East York/Beaches--East York"," 505","Mobile poll/Bureau itinérant",1,10,0,0,0,7,5,1,2,26,43
35007,"Beaches--East York/Beaches--East York"," 600","Toronto",19,501,0,0,50,238,131,0,6,945,
35007,"Beaches--East York/Beaches--East York"," 601","Toronto",15,558,1,2,46,182,163,2,8,977,
35007,"Beaches--East York/Beaches--East York"," 602","Toronto",15,509,2,1,59,148,168,4,4,910,
35007,"Beaches--East York/Beaches--East York"," 603","Toronto",29,740,2,5,56,225,330,6,4,1397,
35007,"Beaches--East York/Beaches--East York"," 604","Toronto",33,930,1,4,19,219,310,5,10,1531,
35007,"Beaches--East York/Beaches--East York"," 605","Toronto",36,678,0,1,35,122,301,3,5,1181,
35007,"Beaches--East York/Beaches--East York"," 606","Toronto",13,928,0,1,17,108,119,3,3,1192,
35007,"Beaches--East York/Beaches--East York"," 607","Toronto",32,835,1,3,35,181,390,9,13,1499,
35007,"Beaches--East York/Beaches--East York"," 608","Toronto",33,864,3,7,28,113,382,4,5,1439,
35007,"Beaches--East York/Beaches--East York"," 609","Toronto",40,963,0,2,31,136,373,5,5,1555,
35007,"Beaches--East York/Beaches--East York"," 610","Toronto",23,558,1,2,17,114,215,4,1,935,
35007,"Beaches--East York/Beaches--East York"," 611","Toronto",35,931,4,2,36,167,290,3,8,1476,
35007,"Beaches--East York/Beaches--East York"," 612","Toronto",29,668,0,2,23,155,204,3,7,1091,
35007,"Beaches--East York/Beaches--East York"," 613","Toronto",52,993,0,1,34,223,258,4,9,1574,
35007,"Beaches--East York/Beaches--East York"," 614","Toronto",45,702,1,9,29,167,251,2,1,1207,
35007,"Beaches--East York/Beaches--East York",,Group 1/Groupe 1, 18,369,1,2,17,66,203,1,22,699,364
35007,"Beaches--East York/Beaches--East York",,Group 2/Groupe 2, 75,2212,0,6,48,345,806,7,71,3570,
