Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivia Dorey,Bernadette Jordan,Rick Perkins,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 132","Bridgewater",43,56,76,3,0,178,484
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 133","Conquerall Bank",30,38,41,1,1,111,264
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 134","Conquerall Bank",23,28,43,4,2,100,250
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 135","Bridgewater",39,79,58,3,0,179,464
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 136","Bridgewater",38,57,64,1,2,162,403
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 137","Bridgewater",35,75,68,2,0,180,477
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 138","Bridgewater",43,69,28,5,1,146,406
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 139","Bridgewater",37,41,32,7,3,120,377
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 140","Bridgewater",36,38,37,4,2,117,418
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 141","Bakers Settlement",43,44,73,5,0,165,406
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 142","Upper Kingsburg",35,75,42,5,1,158,315
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 143","Riverport",29,36,30,3,0,98,208
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 144","Wileville",27,44,54,5,0,130,313
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 145","Wileville",30,52,56,8,1,147,419
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 146","Hebbville",42,100,76,7,1,226,465
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 147","Pleasantville",31,56,54,2,0,143,355
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 148","Pleasantville--West LaHave",31,58,44,3,2,138,383
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 149","LaHave--Dublin Shore--Pentz",32,90,33,7,0,162,356
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 150","West Dublin",32,63,39,3,1,138,319
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 151","Conquerall Mills",46,84,83,3,0,216,427
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 152","Conquerall Mills",46,41,53,13,3,156,342
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 153","Chelsea",41,60,112,5,2,220,442
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 154","Newcombville",15,40,72,5,2,134,291
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 155","Waterloo",18,28,36,1,1,84,202
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 156","North Brookfield--Westfield",28,31,56,4,0,119,291
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 157","Wildcat 12--North Brookfield",18,32,84,2,0,136,317
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 158","Hebbs Cross",31,43,33,3,0,110,268
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 159","Hebbs Cross",20,25,29,5,0,79,236
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 160","Crousetown--LaHave Islands",76,95,59,6,0,236,435
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 161","Camperdown",18,31,53,0,0,102,292
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 162","Italy Cross",20,32,54,4,2,112,285
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 163","Middlewood",26,42,49,7,1,125,327
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 164","Voglers Cove--Broad Cove--Cherry Hill",44,89,78,8,0,219,392
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 165","Kempt",7,38,31,3,2,81,204
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 166","Greenfield--LaBelle",37,73,79,5,4,198,365
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 167","Greenfield--Middlefield",29,35,50,3,3,120,269
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 168","Port Medway",32,36,59,5,0,132,230
