Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Han Dong,Bruce Griffin,Jay Sobel,Natalie Telfer,Sabrina Zuniga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Don Valley North/Don Valley-Nord"," 61","Toronto",Merged with No./Fusionné avec le n°55,,,,,,,397
35020,"Don Valley North/Don Valley-Nord"," 62","Toronto",Merged with No./Fusionné avec le n°9,,,,,,,391
35020,"Don Valley North/Don Valley-Nord"," 63","Toronto",Merged with No./Fusionné avec le n°80,,,,,,,332
35020,"Don Valley North/Don Valley-Nord"," 64","Toronto",178,36,21,6,105,3,349,619
35020,"Don Valley North/Don Valley-Nord"," 65","Toronto",106,37,8,3,53,2,209,503
35020,"Don Valley North/Don Valley-Nord"," 66","Toronto",101,12,12,6,59,0,190,388
35020,"Don Valley North/Don Valley-Nord"," 67","Toronto",Merged with No./Fusionné avec le n°89,,,,,,,436
35020,"Don Valley North/Don Valley-Nord"," 68","Toronto",Merged with No./Fusionné avec le n°69,,,,,,,308
35020,"Don Valley North/Don Valley-Nord"," 69","Toronto",143,34,13,8,86,0,284,351
35020,"Don Valley North/Don Valley-Nord"," 70","Toronto",179,44,15,4,45,8,295,637
35020,"Don Valley North/Don Valley-Nord"," 71","Toronto",136,22,4,3,68,1,234,483
35020,"Don Valley North/Don Valley-Nord"," 72","Toronto",118,34,3,1,33,7,196,853
35020,"Don Valley North/Don Valley-Nord"," 73","Toronto",Merged with No./Fusionné avec le n°109,,,,,,,352
35020,"Don Valley North/Don Valley-Nord"," 74","Toronto",Merged with No./Fusionné avec le n°443,,,,,,,407
35020,"Don Valley North/Don Valley-Nord"," 75","Toronto",Merged with No./Fusionné avec le n°95,,,,,,,382
35020,"Don Valley North/Don Valley-Nord"," 76","Toronto",Merged with No./Fusionné avec le n°96,,,,,,,384
35020,"Don Valley North/Don Valley-Nord"," 77","Toronto",Merged with No./Fusionné avec le n°97,,,,,,,364
35020,"Don Valley North/Don Valley-Nord"," 78","Toronto",122,35,11,5,88,2,263,540
35020,"Don Valley North/Don Valley-Nord"," 79","Toronto",168,53,6,7,63,9,306,569
35020,"Don Valley North/Don Valley-Nord"," 80","Toronto",137,29,11,5,71,1,254,521
35020,"Don Valley North/Don Valley-Nord"," 81","Toronto",122,22,4,6,46,0,200,683
35020,"Don Valley North/Don Valley-Nord"," 82A","Toronto",Merged with No./Fusionné avec le n°83,,,,,,,207
35020,"Don Valley North/Don Valley-Nord"," 82B","Toronto",Merged with No./Fusionné avec le n°79,,,,,,,250
35020,"Don Valley North/Don Valley-Nord"," 83","Toronto",105,40,9,2,52,2,210,651
35020,"Don Valley North/Don Valley-Nord"," 84A","Toronto",Merged with No./Fusionné avec le n°86,,,,,,,226
35020,"Don Valley North/Don Valley-Nord"," 84B","Toronto",Merged with No./Fusionné avec le n°85,,,,,,,242
35020,"Don Valley North/Don Valley-Nord"," 85","Toronto",134,27,11,5,38,6,221,484
35020,"Don Valley North/Don Valley-Nord"," 86","Toronto",117,25,8,12,63,3,228,508
35020,"Don Valley North/Don Valley-Nord"," 87","Toronto",112,38,8,8,57,5,228,509
35020,"Don Valley North/Don Valley-Nord"," 88","Toronto",126,41,21,7,74,1,270,545
35020,"Don Valley North/Don Valley-Nord"," 89","Toronto",178,23,16,6,85,0,308,454
35020,"Don Valley North/Don Valley-Nord"," 90","Toronto",Merged with No./Fusionné avec le n°91,,,,,,,404
35020,"Don Valley North/Don Valley-Nord"," 91","Toronto",169,35,21,7,119,0,351,512
35020,"Don Valley North/Don Valley-Nord"," 92","Toronto",116,22,10,7,65,2,222,461
35020,"Don Valley North/Don Valley-Nord"," 93","Toronto",106,27,6,10,76,1,226,429
35020,"Don Valley North/Don Valley-Nord"," 94","Toronto",124,23,14,4,93,5,263,465
35020,"Don Valley North/Don Valley-Nord"," 95","Toronto",152,34,10,2,80,4,282,464
35020,"Don Valley North/Don Valley-Nord"," 96","Toronto",221,49,17,2,116,5,410,429
35020,"Don Valley North/Don Valley-Nord"," 97","Toronto",170,29,12,10,94,1,316,488
35020,"Don Valley North/Don Valley-Nord"," 98A","Toronto",98,29,3,5,48,2,185,815
35020,"Don Valley North/Don Valley-Nord"," 98B","Toronto",Merged with No./Fusionné avec le n°420,,,,,,,437
35020,"Don Valley North/Don Valley-Nord"," 99","Toronto",Merged with No./Fusionné avec le n°87,,,,,,,363
35020,"Don Valley North/Don Valley-Nord"," 100","Toronto",Merged with No./Fusionné avec le n°111,,,,,,,335
35020,"Don Valley North/Don Valley-Nord"," 101","Toronto",Merged with No./Fusionné avec le n°102,,,,,,,287
35020,"Don Valley North/Don Valley-Nord"," 102","Toronto",118,39,7,8,71,1,244,494
35020,"Don Valley North/Don Valley-Nord"," 103","Toronto",242,33,11,15,127,1,429,426
35020,"Don Valley North/Don Valley-Nord"," 104A","Toronto",108,44,11,3,54,0,220,799
35020,"Don Valley North/Don Valley-Nord"," 104B","Toronto",Merged with No./Fusionné avec le n°433,,,,,,,132
35020,"Don Valley North/Don Valley-Nord"," 105","Toronto",131,38,14,2,40,1,226,673
