Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jude Bazelais,Anju Dhillon,Cloé Rose Jenneau,Laura Mariani,Fabiola Ngamaleu Teumeni,Michael Patterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 195","Dorval",20,61,9,6,31,6,2,135,362
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 196","Dorval",39,105,15,5,34,2,2,202,538
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 197","Dorval",24,64,16,4,33,12,1,154,310
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 198","Dorval",37,132,14,12,39,13,2,249,461
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 199","Dorval",32,120,13,15,55,7,1,243,436
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 200","Dorval",15,90,9,11,21,7,3,156,379
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 201","Dorval",23,84,4,13,21,6,0,151,350
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 202","Dorval",32,120,8,11,28,5,0,204,370
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 203","Dorval",22,108,26,6,31,7,2,202,448
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 400","Montréal",8,61,29,5,1,2,5,111,158
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 401","Montréal",11,31,6,4,7,4,1,64,169
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 500","Dorval",Merged with No./Fusionné avec le n°200,,,,,,,,22
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°202,,,,,,,,5
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°126,,,,,,,,24
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 503","Mobile poll/Bureau itinérant",Results combined with no. 508/Résultats combinés au n° 508,,,,,,,,103
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 504","Dorval",Merged with No./Fusionné avec le n°193,,,,,,,,7
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 505","Mobile poll/Bureau itinérant",4,59,15,3,6,2,5,94,121
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 506","Mobile poll/Bureau itinérant",Results combined with no. 508/Résultats combinés au n° 508,,,,,,,,135
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°73,,,,,,,,16
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 508","Mobile poll/Bureau itinérant",19,131,19,5,3,2,10,189,16
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 509","Mobile poll/Bureau itinérant",9,60,16,3,3,3,6,100,74
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°75A,,,,,,,,7
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 511","Mobile poll/Bureau itinérant",Results combined with no. 505/Résultats combinés au n° 505,,,,,,,,53
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 512","Mobile poll/Bureau itinérant",Results combined with no. 508/Résultats combinés au n° 508,,,,,,,,113
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°197,,,,,,,,12
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 514","Montréal",Merged with No./Fusionné avec le n°13,,,,,,,,62
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 515","Montréal",Merged with No./Fusionné avec le n°13,,,,,,,,84
