Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Emery,Peter Fragiskatos,Stephen Gallant,Mary Ann Hodge,Dirka Prout,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"London North Centre/London-Centre-Nord"," 99B","London",10,46,52,1,38,0,147,200
35052,"London North Centre/London-Centre-Nord"," 100","London",Merged with No./Fusionné avec le n°98,,,,,,,533
35052,"London North Centre/London-Centre-Nord"," 101A","London",2,67,64,9,90,1,233,382
35052,"London North Centre/London-Centre-Nord"," 101B","London",Merged with No./Fusionné avec le n°102,,,,,,,37
35052,"London North Centre/London-Centre-Nord"," 102","London",2,83,86,6,113,1,291,267
35052,"London North Centre/London-Centre-Nord"," 103A","London",Merged with No./Fusionné avec le n°105A,,,,,,,199
35052,"London North Centre/London-Centre-Nord"," 103B","London",Merged with No./Fusionné avec le n°99B,,,,,,,153
35052,"London North Centre/London-Centre-Nord"," 104","London",Merged with No./Fusionné avec le n°102,,,,,,,647
35052,"London North Centre/London-Centre-Nord"," 105A","London",5,35,36,3,40,0,119,258
35052,"London North Centre/London-Centre-Nord"," 105B","London",Merged with No./Fusionné avec le n°99B,,,,,,,198
35052,"London North Centre/London-Centre-Nord"," 106","London",14,37,34,1,65,0,151,525
35052,"London North Centre/London-Centre-Nord"," 107","London",11,143,132,18,183,7,494,662
35052,"London North Centre/London-Centre-Nord"," 108A","London",10,99,69,5,26,0,209,248
35052,"London North Centre/London-Centre-Nord"," 108B","London",9,87,89,3,47,0,235,252
35052,"London North Centre/London-Centre-Nord"," 109A","London",Merged with No./Fusionné avec le n°108A,,,,,,,212
35052,"London North Centre/London-Centre-Nord"," 109B","London",Merged with No./Fusionné avec le n°108B,,,,,,,183
35052,"London North Centre/London-Centre-Nord"," 110A","London",Merged with No./Fusionné avec le n°108A,,,,,,,195
35052,"London North Centre/London-Centre-Nord"," 110B","London",Merged with No./Fusionné avec le n°108B,,,,,,,187
35052,"London North Centre/London-Centre-Nord"," 111A","London",Merged with No./Fusionné avec le n°112A,,,,,,,222
35052,"London North Centre/London-Centre-Nord"," 111B","London",Merged with No./Fusionné avec le n°113B,,,,,,,207
35052,"London North Centre/London-Centre-Nord"," 112A","London",24,60,57,11,102,5,259,241
35052,"London North Centre/London-Centre-Nord"," 112B","London",Merged with No./Fusionné avec le n°113B,,,,,,,189
35052,"London North Centre/London-Centre-Nord"," 113A","London",Merged with No./Fusionné avec le n°112A,,,,,,,231
35052,"London North Centre/London-Centre-Nord"," 113B","London",25,69,51,6,95,3,249,215
35052,"London North Centre/London-Centre-Nord"," 114A","London",Merged with No./Fusionné avec le n°126A,,,,,,,218
35052,"London North Centre/London-Centre-Nord"," 114B","London",18,65,55,5,60,0,203,210
35052,"London North Centre/London-Centre-Nord"," 115","London",17,78,39,12,98,4,248,477
35052,"London North Centre/London-Centre-Nord"," 116","London",13,74,34,6,74,1,202,440
35052,"London North Centre/London-Centre-Nord"," 117","London",13,67,31,2,59,1,173,481
35052,"London North Centre/London-Centre-Nord"," 118A","London",Merged with No./Fusionné avec le n°146,,,,,,,261
35052,"London North Centre/London-Centre-Nord"," 118B","London",Merged with No./Fusionné avec le n°102,,,,,,,31
35052,"London North Centre/London-Centre-Nord"," 118C","London",10,109,118,5,159,1,402,176
35052,"London North Centre/London-Centre-Nord"," 119","London",3,57,21,3,50,0,134,516
35052,"London North Centre/London-Centre-Nord"," 120","London",11,104,55,7,82,1,260,510
35052,"London North Centre/London-Centre-Nord"," 121","London",10,116,66,17,141,0,350,451
