Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kyle Free,Mohamed Hammoud,Lindsay Mathyssen,Mattias Vanderley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"London--Fanshawe/London--Fanshawe"," 605","London",99,172,429,221,3,924,
35051,"London--Fanshawe/London--Fanshawe"," 606","London",74,142,262,174,1,653,
35051,"London--Fanshawe/London--Fanshawe"," 607","London",78,153,379,221,3,834,
35051,"London--Fanshawe/London--Fanshawe"," 608","London",93,129,359,190,5,776,
35051,"London--Fanshawe/London--Fanshawe"," 609","London",101,173,455,210,7,946,
35051,"London--Fanshawe/London--Fanshawe"," 610","London",93,175,359,264,6,897,
35051,"London--Fanshawe/London--Fanshawe"," 611","London",96,290,428,320,9,1143,
35051,"London--Fanshawe/London--Fanshawe"," 612","London",57,218,290,232,6,803,
35051,"London--Fanshawe/London--Fanshawe"," 613","London",78,298,400,248,7,1031,
35051,"London--Fanshawe/London--Fanshawe"," 614","London",71,246,395,235,18,965,
35051,"London--Fanshawe/London--Fanshawe"," 615","London",70,206,347,267,1,891,
35051,"London--Fanshawe/London--Fanshawe"," 616","London",103,288,351,208,10,960,
35051,"London--Fanshawe/London--Fanshawe"," 617","London",55,150,236,164,5,610,
35051,"London--Fanshawe/London--Fanshawe",,Group 1/Groupe 1, 39,90,178,104,19,430,154
35051,"London--Fanshawe/London--Fanshawe",,Group 2/Groupe 2, 87,224,827,295,50,1483,
