Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Indira Bains,Sean Carson,Anna Di Carlo,Afam Elue,Sasha Kane,James Maloney,Bill McLachlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 416","Toronto",74,1,0,5,41,129,7,1,258,409
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 417","Toronto",64,0,0,5,30,118,3,1,221,421
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 418","Toronto",66,1,0,3,26,104,6,1,207,339
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 419","Toronto",65,0,0,5,23,87,9,1,190,348
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 420","Toronto",64,0,1,1,28,112,8,1,215,367
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 421","Toronto",57,0,1,8,49,107,8,2,232,376
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 422","Toronto",66,0,0,3,40,104,7,1,221,434
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 423","Toronto",61,0,0,6,26,82,4,1,180,370
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 424","Toronto",Void/Supprimé,,,,,,,,,
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 425","Toronto",22,0,0,0,10,38,2,0,72,165
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 426","Toronto",76,1,0,2,45,83,5,1,213,412
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 427","Toronto",53,1,0,1,37,83,13,1,189,373
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 428","Toronto",58,0,1,5,41,89,14,1,209,404
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 429","Toronto",47,0,0,3,20,92,7,1,170,369
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 430","Toronto",70,1,0,7,21,97,8,1,205,398
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 431","Toronto",59,1,0,7,31,72,14,0,184,405
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 432","Toronto",76,0,0,2,39,89,13,1,220,482
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 433","Toronto",56,0,0,4,49,66,4,0,179,375
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 434","Toronto",60,1,0,1,21,54,8,0,145,355
