Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ajay Copp,Keiran Corrigall,Nick Debrey,Shawn Duncan,Patrick King,Ron Liepert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Calgary Signal Hill/Calgary Signal Hill"," 128","Calgary",0,5,9,38,37,64,0,153,542
48012,"Calgary Signal Hill/Calgary Signal Hill"," 129","Calgary",0,5,10,30,18,68,1,132,435
48012,"Calgary Signal Hill/Calgary Signal Hill"," 130","Calgary",0,0,2,17,3,51,0,73,256
48012,"Calgary Signal Hill/Calgary Signal Hill"," 131","Calgary",0,2,3,22,10,74,1,112,483
48012,"Calgary Signal Hill/Calgary Signal Hill"," 132","Calgary",0,1,7,38,27,75,0,148,450
48012,"Calgary Signal Hill/Calgary Signal Hill"," 133","Calgary",1,0,7,26,12,72,0,118,418
48012,"Calgary Signal Hill/Calgary Signal Hill"," 134","Calgary",2,5,11,37,11,78,1,145,429
48012,"Calgary Signal Hill/Calgary Signal Hill"," 135","Calgary",2,0,12,36,25,92,1,168,507
48012,"Calgary Signal Hill/Calgary Signal Hill"," 136","Calgary",2,2,5,23,21,63,0,116,431
48012,"Calgary Signal Hill/Calgary Signal Hill"," 137","Calgary",0,0,10,32,12,75,0,129,423
48012,"Calgary Signal Hill/Calgary Signal Hill"," 138","Calgary",1,4,11,45,21,93,0,175,606
48012,"Calgary Signal Hill/Calgary Signal Hill"," 139","Calgary",3,4,12,20,17,102,1,159,511
48012,"Calgary Signal Hill/Calgary Signal Hill"," 140","Calgary",2,6,7,18,20,73,0,126,448
48012,"Calgary Signal Hill/Calgary Signal Hill"," 141","Calgary",1,1,3,30,17,65,1,118,462
48012,"Calgary Signal Hill/Calgary Signal Hill"," 142","Calgary",0,1,2,23,29,51,0,106,376
48012,"Calgary Signal Hill/Calgary Signal Hill"," 143","Calgary",0,1,10,45,28,80,0,164,494
48012,"Calgary Signal Hill/Calgary Signal Hill"," 144","Calgary",0,3,5,44,39,92,0,183,420
48012,"Calgary Signal Hill/Calgary Signal Hill"," 145","Calgary",0,2,10,28,13,80,0,133,358
48012,"Calgary Signal Hill/Calgary Signal Hill"," 146","Calgary",1,2,10,27,30,58,0,128,403
48012,"Calgary Signal Hill/Calgary Signal Hill"," 147","Calgary",2,2,12,29,30,114,1,190,428
48012,"Calgary Signal Hill/Calgary Signal Hill"," 148","Calgary",0,4,8,32,32,79,0,155,385
