Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Bertrand,Jean Collette,Claude Debellefeuille,Linda Gallant,Joan Gottman,Marcel Goyette,Nicolas Thivierge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 133","Salaberry-de-Valleyfield",0,17,73,21,12,0,4,0,127,385
24071,"Salaberry--Suroît/Salaberry--Suroît"," 134","Salaberry-de-Valleyfield",2,7,69,27,14,0,5,3,127,475
24071,"Salaberry--Suroît/Salaberry--Suroît"," 135","Salaberry-de-Valleyfield",2,12,69,41,10,2,11,3,150,425
24071,"Salaberry--Suroît/Salaberry--Suroît"," 136","Salaberry-de-Valleyfield",5,7,98,46,9,2,8,4,179,450
24071,"Salaberry--Suroît/Salaberry--Suroît"," 137","Salaberry-de-Valleyfield",0,7,64,30,7,2,3,5,118,350
24071,"Salaberry--Suroît/Salaberry--Suroît"," 138","Salaberry-de-Valleyfield",0,10,54,32,12,0,7,5,120,365
24071,"Salaberry--Suroît/Salaberry--Suroît"," 139","Salaberry-de-Valleyfield",1,4,60,46,7,1,8,4,131,459
24071,"Salaberry--Suroît/Salaberry--Suroît"," 140","Salaberry-de-Valleyfield",1,10,84,48,22,1,9,1,176,516
24071,"Salaberry--Suroît/Salaberry--Suroît"," 141","Salaberry-de-Valleyfield",1,8,53,23,8,2,7,5,107,358
24071,"Salaberry--Suroît/Salaberry--Suroît"," 142","Salaberry-de-Valleyfield",0,5,65,24,8,1,3,2,108,375
24071,"Salaberry--Suroît/Salaberry--Suroît"," 143","Salaberry-de-Valleyfield",0,12,43,28,15,1,8,2,109,374
24071,"Salaberry--Suroît/Salaberry--Suroît"," 144","Salaberry-de-Valleyfield",2,11,56,22,12,0,6,5,114,367
24071,"Salaberry--Suroît/Salaberry--Suroît"," 145","Salaberry-de-Valleyfield",1,12,66,23,7,2,2,2,115,419
24071,"Salaberry--Suroît/Salaberry--Suroît"," 146","Salaberry-de-Valleyfield",0,14,67,30,12,0,2,3,128,378
24071,"Salaberry--Suroît/Salaberry--Suroît"," 147","Salaberry-de-Valleyfield",0,14,67,33,11,4,4,4,137,404
24071,"Salaberry--Suroît/Salaberry--Suroît"," 148","Salaberry-de-Valleyfield",0,13,58,31,11,1,2,0,116,381
24071,"Salaberry--Suroît/Salaberry--Suroît"," 149","Salaberry-de-Valleyfield",1,5,62,28,3,1,1,3,104,360
24071,"Salaberry--Suroît/Salaberry--Suroît"," 150","Salaberry-de-Valleyfield",5,14,122,50,11,2,10,1,215,558
24071,"Salaberry--Suroît/Salaberry--Suroît"," 151","Salaberry-de-Valleyfield",1,24,99,41,18,0,2,2,187,428
24071,"Salaberry--Suroît/Salaberry--Suroît"," 152","Saint-Télesphore",0,27,75,49,14,2,8,3,178,308
24071,"Salaberry--Suroît/Salaberry--Suroît"," 153","Saint-Télesphore",2,14,64,50,9,4,11,5,159,281
24071,"Salaberry--Suroît/Salaberry--Suroît"," 154A","Saint-Zotique",2,21,76,55,14,3,7,0,178,425
24071,"Salaberry--Suroît/Salaberry--Suroît"," 154B","Saint-Zotique",0,16,74,35,21,2,9,3,160,381
24071,"Salaberry--Suroît/Salaberry--Suroît"," 154C","Saint-Zotique",1,24,67,71,2,0,2,7,174,187
24071,"Salaberry--Suroît/Salaberry--Suroît"," 155","Saint-Zotique",0,36,82,37,18,4,9,7,193,495
24071,"Salaberry--Suroît/Salaberry--Suroît"," 156","Saint-Zotique",0,19,92,25,7,1,10,4,158,422
24071,"Salaberry--Suroît/Salaberry--Suroît"," 157","Saint-Zotique",1,23,124,44,20,1,6,2,221,485
24071,"Salaberry--Suroît/Salaberry--Suroît"," 158","Saint-Zotique",0,20,55,23,10,1,2,4,115,310
24071,"Salaberry--Suroît/Salaberry--Suroît"," 159","Saint-Zotique",0,13,57,36,5,1,9,5,126,344
24071,"Salaberry--Suroît/Salaberry--Suroît"," 160","Saint-Zotique",1,12,52,27,4,1,4,3,104,269
24071,"Salaberry--Suroît/Salaberry--Suroît"," 161","Saint-Zotique",1,21,77,40,12,1,15,3,170,415
24071,"Salaberry--Suroît/Salaberry--Suroît"," 162A","Saint-Louis-de-Gonzague",1,19,83,25,16,1,4,5,154,371
