Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hugo Beaumont Tremblay,Valérie Bergeron,Jacques Bouchard,Jacynthe Bruneau,François-Philippe Champagne,Dji-Pé Frazer,Marie-Claude Gaudet,Alain Magnan,Marie Gabrielle Rouleau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 38","Lac-aux-Sables",0,7,39,71,37,0,4,2,2,1,163,331
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 39","Lac-aux-Sables",0,4,20,63,57,2,0,0,0,1,147,259
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 40","Lac-aux-Sables",0,9,39,54,55,1,2,2,2,2,166,321
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 41","Notre-Dame-de-Montauban",0,1,12,21,21,0,2,0,0,4,61,121
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 42","Sainte-Thècle",0,5,34,52,64,1,1,0,2,5,164,376
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 43","Sainte-Thècle",2,7,16,35,45,0,2,1,6,4,118,302
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 44","Sainte-Thècle",0,2,9,27,15,0,2,1,2,2,60,302
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 45","Sainte-Thècle",0,6,11,28,30,0,1,2,3,6,87,259
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 46","Sainte-Thècle",1,9,42,49,40,3,2,2,5,3,156,430
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 47","Sainte-Thècle",1,8,21,39,52,0,1,2,6,6,136,359
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 48","Saint-Roch-de-Mékinac",2,2,19,54,54,0,1,2,3,2,139,280
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 49","Saint-Adelphe",1,6,59,68,85,1,4,2,2,4,232,410
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 50","Saint-Adelphe",2,6,56,71,106,1,3,1,3,3,252,386
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 51","Saint-Tite",0,1,10,23,53,0,0,2,0,3,92,287
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 52","Saint-Tite",2,3,36,47,72,0,1,3,0,12,176,308
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 53","Saint-Tite",2,7,26,23,52,1,0,1,3,2,117,271
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 54","Saint-Tite",0,6,38,27,51,0,2,0,3,4,131,338
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 55","Saint-Tite",3,4,23,26,74,1,3,0,0,5,139,333
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 56","Saint-Tite",0,6,31,21,48,0,3,0,3,5,117,332
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 57","Saint-Tite",1,7,23,29,43,0,4,2,2,0,111,276
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 58","Saint-Tite",2,4,48,83,94,0,2,1,4,2,240,404
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 59","Saint-Tite",0,6,47,39,73,0,0,2,4,5,176,425
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 60","Grandes-Piles",1,9,16,49,54,0,4,0,1,2,136,394
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 61","Saint-Prosper-de-Champlain",1,5,17,17,25,0,1,0,1,1,68,194
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 62","Saint-Prosper-de-Champlain",0,12,31,49,39,0,1,1,3,2,138,229
