Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Ainsworth,Cheryl Gallant,Stefan Klietsch,Michael Lariviere,Cyndi Mills,Jodie Primeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 175","Eganville",11,34,0,3,14,17,1,80,289
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 176","Eganville",3,39,0,7,21,27,0,97,314
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 177","Donegal",15,69,0,0,13,23,1,121,356
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 178","Eganville--Bonnechere Valley",14,53,0,2,11,30,0,110,355
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 179","McGrath",2,54,0,0,14,24,1,95,299
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 180","Hyndford",9,51,0,3,20,17,2,102,270
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 181","Admaston--Bromley",15,115,2,2,22,31,2,189,358
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 182","Fremo Corners",19,140,0,6,37,34,1,237,421
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 183","Fremo Corners",18,138,5,6,28,45,0,240,457
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 184","McNab/Braeside",5,78,0,2,19,25,2,131,271
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 185","Waba",28,159,2,7,47,33,2,278,486
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 186","White Lake",19,145,3,7,56,35,1,266,402
