Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Xavier Barsalou-Duval,Alexandre Blais,Carole Boisvert,Louis-Gabriel Girard,Martin Leprohon,Jérôme Painchaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 146","Boucherville",110,12,5,47,21,7,5,207,407
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 147","Boucherville",85,6,4,55,22,11,5,188,451
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 148","Boucherville",94,10,2,151,17,11,15,300,391
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 149","Boucherville",68,4,2,43,26,12,2,157,360
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 150","Boucherville",67,0,1,56,17,11,2,154,364
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 151","Boucherville",46,2,1,41,10,9,3,112,310
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 152","Boucherville",65,1,3,46,12,6,1,134,317
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 153","Boucherville",64,2,1,45,16,13,1,142,373
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 154","Boucherville",70,4,2,40,15,11,0,142,371
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 155","Boucherville",66,8,2,37,11,15,1,140,359
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 156","Boucherville",83,2,2,46,8,9,2,152,414
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 157","Boucherville",67,4,2,46,19,15,3,156,385
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 158","Boucherville",92,1,0,44,21,11,4,173,405
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 159","Boucherville",57,7,3,39,16,7,4,133,397
