Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bruno Beaudry,Robert Bellerose,Gisèle Desroches,Oulai B. Goué,Mathieu Goyette,Javeria Qureshi,Luc Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Montcalm/Montcalm"," 188","Mascouche",3,1,15,14,3,40,104,3,183,418
24050,"Montcalm/Montcalm"," 189","Mascouche",6,2,22,17,1,49,82,3,182,540
24050,"Montcalm/Montcalm"," 190","Mascouche",5,4,23,14,4,28,97,1,176,513
24050,"Montcalm/Montcalm"," 191","Mascouche",4,5,17,17,5,38,76,5,167,495
24050,"Montcalm/Montcalm"," 192","Mascouche",0,2,25,20,3,66,103,3,222,584
24050,"Montcalm/Montcalm"," 193","Mascouche",13,3,20,22,6,51,84,8,207,461
24050,"Montcalm/Montcalm"," 194","Mascouche",3,1,19,16,2,48,82,5,176,498
24050,"Montcalm/Montcalm"," 195","Mascouche",7,4,17,25,6,45,107,4,215,515
24050,"Montcalm/Montcalm"," 196","Mascouche",5,10,23,17,4,98,142,6,305,600
24050,"Montcalm/Montcalm"," 197","Mascouche",13,3,43,24,5,87,131,0,306,696
24050,"Montcalm/Montcalm"," 198","Mascouche",3,2,11,9,3,33,67,1,129,303
24050,"Montcalm/Montcalm"," 199","Mascouche",4,3,10,9,2,18,79,5,130,277
24050,"Montcalm/Montcalm"," 200","Mascouche",1,3,16,10,1,40,85,3,159,438
24050,"Montcalm/Montcalm"," 201","Mascouche",3,2,10,15,2,37,66,5,140,445
24050,"Montcalm/Montcalm"," 202","Mascouche",8,7,26,12,6,103,157,7,326,603
24050,"Montcalm/Montcalm"," 203","Mascouche",5,5,22,15,10,64,69,3,193,348
24050,"Montcalm/Montcalm"," 204","Mascouche",7,4,24,23,3,50,95,4,210,517
24050,"Montcalm/Montcalm"," 205","Mascouche",6,4,20,11,6,39,100,6,192,491
24050,"Montcalm/Montcalm"," 206","Mascouche",14,1,15,14,6,32,64,4,150,422
24050,"Montcalm/Montcalm"," 207","Mascouche",11,3,20,19,13,19,56,5,146,357
24050,"Montcalm/Montcalm"," 208","Mascouche",9,2,23,9,5,32,60,1,141,300
24050,"Montcalm/Montcalm"," 209","Mascouche",12,5,18,5,4,29,55,3,131,334
24050,"Montcalm/Montcalm"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°4,,,,,,,,,36
24050,"Montcalm/Montcalm"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°28,,,,,,,,,34
24050,"Montcalm/Montcalm"," 502","Mobile poll/Bureau itinérant",0,3,5,1,1,24,12,6,52,121
24050,"Montcalm/Montcalm"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°89,,,,,,,,,40
24050,"Montcalm/Montcalm"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°99,,,,,,,,,144
24050,"Montcalm/Montcalm"," 505","Mobile poll/Bureau itinérant",0,2,1,0,0,9,2,3,17,60
24050,"Montcalm/Montcalm"," 506","Mobile poll/Bureau itinérant",1,0,1,0,0,2,2,0,6,93
24050,"Montcalm/Montcalm"," 600","Saint-Calixte",23,8,60,17,5,124,349,19,605,
24050,"Montcalm/Montcalm"," 601","Sainte-Julienne",27,16,103,17,32,135,434,13,777,
24050,"Montcalm/Montcalm"," 602","Sainte-Julienne",10,15,62,20,10,79,322,8,526,
24050,"Montcalm/Montcalm"," 603","Saint-Liguori",7,12,70,28,12,119,379,5,632,
24050,"Montcalm/Montcalm"," 604","Saint-Jacques",16,22,75,20,15,110,441,16,715,
24050,"Montcalm/Montcalm"," 605","L'Épiphanie",23,9,111,32,14,147,441,20,797,
24050,"Montcalm/Montcalm"," 606","L'Épiphanie",14,15,72,17,12,101,298,7,536,
24050,"Montcalm/Montcalm"," 607","Saint-Roch-de-l'Achigan--Saint-Esprit",14,10,45,16,9,59,237,4,394,
24050,"Montcalm/Montcalm"," 608","Sainte-Julienne",18,10,65,21,7,105,317,16,559,
24050,"Montcalm/Montcalm"," 609","Saint-Calixte",14,16,64,12,14,91,341,16,568,
24050,"Montcalm/Montcalm"," 610","Saint-Lin--Laurentides",37,39,160,27,16,209,558,43,1089,
24050,"Montcalm/Montcalm"," 611","Saint-Lin--Laurentides",27,26,100,24,11,162,400,25,775,
24050,"Montcalm/Montcalm"," 612","Saint-Lin--Laurentides",61,14,120,24,15,144,459,12,849,
24050,"Montcalm/Montcalm"," 613","Saint-Roch-de-l'Achigan",15,15,71,24,17,118,400,16,676,
24050,"Montcalm/Montcalm"," 614","Mascouche",29,12,123,34,20,167,558,24,967,
24050,"Montcalm/Montcalm"," 615","Mascouche",21,11,112,39,8,188,493,13,885,
24050,"Montcalm/Montcalm"," 616","Mascouche",22,17,137,49,22,285,701,36,1269,
24050,"Montcalm/Montcalm"," 617","Mascouche",25,17,152,45,23,298,776,18,1354,
24050,"Montcalm/Montcalm"," 618","Mascouche",19,11,87,27,22,129,414,12,721,
24050,"Montcalm/Montcalm"," 619","Mascouche",24,18,122,40,27,260,614,25,1130,
24050,"Montcalm/Montcalm"," 620","Mascouche",16,31,103,32,15,215,457,24,893,
24050,"Montcalm/Montcalm",,Group 1/Groupe 1, 4,1,26,26,9,47,71,21,205,59
24050,"Montcalm/Montcalm",,Group 2/Groupe 2, 19,8,94,32,8,182,394,42,779,
