Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Benoit,Jean-Charles Cléroux,Pierre Duteau,Jeremy Fournier,Christine Normandin,Jean Rioux,Leigh V. Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 54","Saint-Jean-sur-Richelieu",17,1,2,18,83,50,3,4,178,428
24067,"Saint-Jean/Saint-Jean"," 55","Saint-Jean-sur-Richelieu",28,3,2,10,72,28,3,4,150,424
24067,"Saint-Jean/Saint-Jean"," 56","Saint-Jean-sur-Richelieu",23,7,1,27,94,60,6,2,220,400
24067,"Saint-Jean/Saint-Jean"," 57","Saint-Jean-sur-Richelieu",10,9,0,21,80,45,2,3,170,385
24067,"Saint-Jean/Saint-Jean"," 58","Saint-Jean-sur-Richelieu",19,7,0,14,65,51,3,1,160,435
24067,"Saint-Jean/Saint-Jean"," 59","Saint-Jean-sur-Richelieu",13,3,0,11,68,43,1,3,142,416
24067,"Saint-Jean/Saint-Jean"," 60","Saint-Jean-sur-Richelieu",15,3,0,21,98,57,6,8,208,462
24067,"Saint-Jean/Saint-Jean"," 61","Saint-Jean-sur-Richelieu",5,4,3,7,21,19,2,3,64,360
24067,"Saint-Jean/Saint-Jean"," 62","Saint-Jean-sur-Richelieu",18,9,1,13,42,14,4,13,114,439
24067,"Saint-Jean/Saint-Jean"," 63","Saint-Jean-sur-Richelieu",8,6,1,11,36,32,1,5,100,334
24067,"Saint-Jean/Saint-Jean"," 64","Saint-Jean-sur-Richelieu",9,2,2,12,33,27,1,4,90,458
24067,"Saint-Jean/Saint-Jean"," 65","Saint-Jean-sur-Richelieu",15,11,0,11,49,33,3,2,124,364
24067,"Saint-Jean/Saint-Jean"," 66","Saint-Jean-sur-Richelieu",14,6,0,11,53,38,3,2,127,363
24067,"Saint-Jean/Saint-Jean"," 67","Saint-Jean-sur-Richelieu",8,4,0,14,72,46,5,1,150,384
24067,"Saint-Jean/Saint-Jean"," 68","Saint-Jean-sur-Richelieu",31,1,1,17,78,55,5,1,189,503
24067,"Saint-Jean/Saint-Jean"," 69","Saint-Jean-sur-Richelieu",11,1,3,7,42,36,2,0,102,391
24067,"Saint-Jean/Saint-Jean"," 70","Saint-Jean-sur-Richelieu",6,5,0,13,46,29,1,5,105,454
24067,"Saint-Jean/Saint-Jean"," 71","Saint-Jean-sur-Richelieu",6,2,1,10,47,20,2,3,91,268
24067,"Saint-Jean/Saint-Jean"," 72","Saint-Jean-sur-Richelieu",17,5,0,9,53,39,3,3,129,456
24067,"Saint-Jean/Saint-Jean"," 73","Saint-Jean-sur-Richelieu",8,3,2,6,46,14,2,2,83,209
24067,"Saint-Jean/Saint-Jean"," 74","Saint-Jean-sur-Richelieu",21,6,0,17,72,58,8,1,183,485
24067,"Saint-Jean/Saint-Jean"," 75","Saint-Jean-sur-Richelieu",Merged with No./Fusionné avec le n°77,,,,,,,,,134
24067,"Saint-Jean/Saint-Jean"," 76","Saint-Jean-sur-Richelieu",10,8,1,11,66,17,1,2,116,465
24067,"Saint-Jean/Saint-Jean"," 77","Saint-Jean-sur-Richelieu",23,16,3,10,96,39,5,5,197,360
24067,"Saint-Jean/Saint-Jean"," 78","Saint-Jean-sur-Richelieu",24,8,2,15,63,48,1,9,170,382
24067,"Saint-Jean/Saint-Jean"," 79","Saint-Jean-sur-Richelieu",18,5,0,18,65,46,7,4,163,451
24067,"Saint-Jean/Saint-Jean"," 80","Saint-Jean-sur-Richelieu",6,2,1,21,31,25,2,3,91,389
24067,"Saint-Jean/Saint-Jean"," 81","Saint-Jean-sur-Richelieu",12,5,2,13,33,30,5,8,108,423
24067,"Saint-Jean/Saint-Jean"," 82","Saint-Jean-sur-Richelieu",12,3,0,11,44,23,3,0,96,419
24067,"Saint-Jean/Saint-Jean"," 83","Saint-Jean-sur-Richelieu",12,6,0,11,21,20,1,3,74,302
24067,"Saint-Jean/Saint-Jean"," 84","Saint-Jean-sur-Richelieu",18,1,0,8,48,42,3,6,126,365
24067,"Saint-Jean/Saint-Jean"," 85","Saint-Jean-sur-Richelieu",13,4,0,15,44,37,2,1,116,396
