Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jan Johnstone,Ben Lobb,James Rice,Justin L Smith,Jack Stecho,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Huron--Bruce/Huron--Bruce"," 164","Clinton ",19,52,24,1,9,1,106,350
35040,"Huron--Bruce/Huron--Bruce"," 165","Clinton ",21,50,18,0,17,0,106,359
35040,"Huron--Bruce/Huron--Bruce"," 166","Clinton ",35,62,12,3,7,0,119,285
35040,"Huron--Bruce/Huron--Bruce"," 167","Clinton ",22,75,23,1,17,0,138,329
35040,"Huron--Bruce/Huron--Bruce"," 168","Clinton ",27,57,25,1,4,0,114,319
35040,"Huron--Bruce/Huron--Bruce"," 169","Clinton ",19,57,14,3,7,0,100,360
35040,"Huron--Bruce/Huron--Bruce"," 170","Huron East",14,89,26,1,16,1,147,387
35040,"Huron--Bruce/Huron--Bruce"," 171","Huron East",15,112,22,2,11,0,162,436
35040,"Huron--Bruce/Huron--Bruce"," 172","Huron East",18,74,32,0,11,0,135,364
35040,"Huron--Bruce/Huron--Bruce"," 173","Huron East",22,62,24,0,14,3,125,348
35040,"Huron--Bruce/Huron--Bruce"," 174","Huron East",30,74,14,1,10,0,129,377
35040,"Huron--Bruce/Huron--Bruce"," 175","Huron East",53,65,26,3,7,1,155,384
35040,"Huron--Bruce/Huron--Bruce"," 176","Huron East",22,85,18,7,16,0,148,402
35040,"Huron--Bruce/Huron--Bruce"," 177","Huron East",26,81,33,3,4,1,148,357
35040,"Huron--Bruce/Huron--Bruce"," 178","Huron East",18,99,17,1,12,0,147,423
35040,"Huron--Bruce/Huron--Bruce"," 179","Huron East",19,85,13,1,5,0,123,367
35040,"Huron--Bruce/Huron--Bruce"," 180","Huron East",47,80,26,0,20,0,173,357
35040,"Huron--Bruce/Huron--Bruce"," 181","Huron East",38,71,30,1,15,0,155,327
35040,"Huron--Bruce/Huron--Bruce"," 182","Bayfield",35,108,32,0,7,1,183,430
35040,"Huron--Bruce/Huron--Bruce"," 183","Bayfield",31,72,79,1,11,4,198,417
35040,"Huron--Bruce/Huron--Bruce"," 184","Bayfield",42,86,71,2,12,4,217,432
35040,"Huron--Bruce/Huron--Bruce"," 185","Bayfield",37,96,66,1,5,0,205,360
35040,"Huron--Bruce/Huron--Bruce"," 186","Bayfield",35,85,74,1,9,1,205,401
35040,"Huron--Bruce/Huron--Bruce"," 187","Bluewater",34,102,29,1,10,1,177,409
35040,"Huron--Bruce/Huron--Bruce"," 188","Bluewater",43,92,59,5,14,0,213,463
35040,"Huron--Bruce/Huron--Bruce"," 189","Bluewater",19,158,16,0,25,3,221,382
35040,"Huron--Bruce/Huron--Bruce"," 190","Bluewater",27,80,67,0,10,0,184,403
35040,"Huron--Bruce/Huron--Bruce"," 191","Huron East",30,99,20,2,21,0,172,333
35040,"Huron--Bruce/Huron--Bruce"," 192","Bluewater",31,100,16,2,18,0,167,357
35040,"Huron--Bruce/Huron--Bruce"," 193","Bluewater",25,98,15,2,14,0,154,342
35040,"Huron--Bruce/Huron--Bruce"," 194","Bluewater",23,98,26,0,3,0,150,343
35040,"Huron--Bruce/Huron--Bruce"," 195","Bluewater",47,128,33,2,20,0,230,388
35040,"Huron--Bruce/Huron--Bruce"," 196","Bluewater",40,122,34,0,20,0,216,400
35040,"Huron--Bruce/Huron--Bruce"," 197","Bluewater",44,122,47,3,7,1,224,402
35040,"Huron--Bruce/Huron--Bruce"," 198","Bluewater",17,105,44,0,9,0,175,373
35040,"Huron--Bruce/Huron--Bruce"," 199","South Huron",13,67,17,1,3,0,101,335
35040,"Huron--Bruce/Huron--Bruce"," 200","South Huron",9,114,17,0,11,0,151,344
35040,"Huron--Bruce/Huron--Bruce"," 201","South Huron",26,121,40,1,5,1,194,485
35040,"Huron--Bruce/Huron--Bruce"," 202","South Huron",38,77,26,1,12,4,158,376
35040,"Huron--Bruce/Huron--Bruce"," 203","South Huron",18,116,40,0,6,0,180,431
35040,"Huron--Bruce/Huron--Bruce"," 204","South Huron",30,68,30,2,6,0,136,342
35040,"Huron--Bruce/Huron--Bruce"," 205","South Huron",23,93,26,1,6,1,150,387
35040,"Huron--Bruce/Huron--Bruce"," 206","South Huron",30,68,25,0,2,0,125,333
35040,"Huron--Bruce/Huron--Bruce"," 207","South Huron",17,66,17,0,11,0,111,338
35040,"Huron--Bruce/Huron--Bruce"," 208","South Huron",15,42,18,0,5,0,80,255
35040,"Huron--Bruce/Huron--Bruce"," 209","South Huron",13,72,11,2,3,0,101,323
35040,"Huron--Bruce/Huron--Bruce"," 210","South Huron",28,65,26,2,9,0,130,359
35040,"Huron--Bruce/Huron--Bruce"," 211","South Huron",11,64,32,2,3,0,112,340
35040,"Huron--Bruce/Huron--Bruce"," 212","South Huron",19,123,30,1,24,1,198,342
35040,"Huron--Bruce/Huron--Bruce"," 213","Bluewater",39,167,42,25,11,4,288,482
35040,"Huron--Bruce/Huron--Bruce"," 214","Bluewater",43,118,52,4,15,1,233,437
35040,"Huron--Bruce/Huron--Bruce"," 215","South Huron",10,75,15,1,7,0,108,270
35040,"Huron--Bruce/Huron--Bruce"," 216","South Huron",24,47,16,1,11,0,99,246
35040,"Huron--Bruce/Huron--Bruce"," 217","South Huron",32,76,20,1,8,0,137,317
35040,"Huron--Bruce/Huron--Bruce"," 218","South Huron",27,134,27,1,17,1,207,352
35040,"Huron--Bruce/Huron--Bruce"," 219","South Huron",25,154,34,2,15,0,230,373
35040,"Huron--Bruce/Huron--Bruce"," 220","South Huron",39,90,63,4,7,4,207,371
35040,"Huron--Bruce/Huron--Bruce"," 221","South Huron",23,61,44,2,10,0,140,316
35040,"Huron--Bruce/Huron--Bruce"," 222","South Huron",27,145,56,3,24,1,256,520
35040,"Huron--Bruce/Huron--Bruce"," 500","Mobile poll/Bureau itinérant",2,9,7,1,1,1,21,29
35040,"Huron--Bruce/Huron--Bruce"," 501","Mobile poll/Bureau itinérant",4,25,23,1,0,3,56,88
35040,"Huron--Bruce/Huron--Bruce"," 502","Mobile poll/Bureau itinérant",3,13,10,0,0,0,26,50
35040,"Huron--Bruce/Huron--Bruce"," 503","Mobile poll/Bureau itinérant",8,21,23,1,0,3,56,104
35040,"Huron--Bruce/Huron--Bruce"," 504","Mobile poll/Bureau itinérant",1,15,9,0,0,2,27,34
35040,"Huron--Bruce/Huron--Bruce"," 505","Mobile poll/Bureau itinérant",1,12,17,2,0,1,33,54
35040,"Huron--Bruce/Huron--Bruce"," 506","Mobile poll/Bureau itinérant",2,20,10,0,0,1,33,48
35040,"Huron--Bruce/Huron--Bruce"," 507","Mobile poll/Bureau itinérant",1,13,2,0,0,0,16,18
35040,"Huron--Bruce/Huron--Bruce"," 508","Mobile poll/Bureau itinérant",3,8,7,0,2,1,21,50
35040,"Huron--Bruce/Huron--Bruce"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°100,,,,,,,42
35040,"Huron--Bruce/Huron--Bruce"," 510","Mobile poll/Bureau itinérant",2,5,3,0,0,0,10,15
35040,"Huron--Bruce/Huron--Bruce"," 511","Mobile poll/Bureau itinérant",1,7,4,0,0,0,12,23
35040,"Huron--Bruce/Huron--Bruce"," 512","Mobile poll/Bureau itinérant",4,19,10,0,4,2,39,73
35040,"Huron--Bruce/Huron--Bruce"," 513","Mobile poll/Bureau itinérant",2,12,7,0,0,0,21,77
35040,"Huron--Bruce/Huron--Bruce"," 514","Mobile poll/Bureau itinérant",3,33,23,0,3,1,63,112
