Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Michael DeVita,Mario Greco,Muhammad Hassan Khan,Luca Mele,Angela Panacci,Francesco Sorbara,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 122","Vaughan",11,6,1,1,86,80,4,189,467
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 123","Vaughan",7,2,2,0,37,66,2,116,344
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 124","Vaughan",14,7,1,2,42,62,4,132,363
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 125","Vaughan",12,5,4,1,75,58,0,155,417
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 126","Vaughan",6,12,4,0,96,63,2,183,427
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 127","Vaughan",12,5,0,2,76,41,2,138,363
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 128","Vaughan",9,6,4,0,70,78,1,168,485
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 129","Vaughan",16,6,4,0,84,65,2,177,445
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 130","Vaughan",9,8,0,0,62,84,0,163,377
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 131","Vaughan",14,12,2,0,81,77,1,187,521
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 132","Vaughan",12,8,1,0,65,86,1,173,487
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 133","Vaughan",11,7,4,0,41,75,0,138,443
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 134","Vaughan",12,3,0,2,77,77,0,171,474
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 135","Vaughan",8,4,5,0,34,59,0,110,406
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 136","Vaughan",14,3,0,1,47,44,0,109,340
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 137","Vaughan",10,12,0,2,74,110,2,210,549
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 138","Vaughan",13,5,1,0,68,70,2,159,409
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 139","Vaughan",7,4,0,0,41,48,0,100,348
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 140","Vaughan",8,4,2,0,38,63,1,116,337
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 141","Vaughan",15,3,1,1,44,59,0,123,371
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 142","Vaughan",8,14,1,0,52,78,1,154,464
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 143","Vaughan",3,9,1,2,65,30,0,110,365
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 144","Vaughan",11,12,2,1,75,56,2,159,602
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 145","Vaughan",11,11,3,1,69,116,4,215,621
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 146","Vaughan",13,13,2,1,102,126,1,258,662
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 147","Vaughan",3,13,0,1,42,72,3,134,360
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 148A","Vaughan",23,14,3,1,61,85,0,187,634
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 148B","Vaughan",11,7,1,1,40,60,0,120,442
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 149","Vaughan",16,10,3,1,51,74,1,156,455
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 150","Vaughan",25,11,5,1,68,108,0,218,497
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 151","Vaughan",16,2,0,0,53,58,0,129,398
