Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Omar Alghabra,Elie Diab,Craig Laferriere,Teneshia Samuel,Kathy-Ying Zhao,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35058,"Mississauga Centre/Mississauga-Centre"," 115","Mississauga",74,10,2,20,63,3,172,413
35058,"Mississauga Centre/Mississauga-Centre"," 116","Mississauga",99,14,3,16,41,4,177,502
35058,"Mississauga Centre/Mississauga-Centre"," 117","Mississauga",89,5,0,19,23,4,140,402
35058,"Mississauga Centre/Mississauga-Centre"," 118","Mississauga",106,14,5,22,66,2,215,549
35058,"Mississauga Centre/Mississauga-Centre"," 119","Mississauga",80,15,3,21,45,4,168,518
35058,"Mississauga Centre/Mississauga-Centre"," 120","Mississauga",68,8,8,29,42,0,155,522
35058,"Mississauga Centre/Mississauga-Centre"," 121","Mississauga",93,15,4,41,46,0,199,481
35058,"Mississauga Centre/Mississauga-Centre"," 122","Mississauga",96,15,6,17,45,2,181,362
35058,"Mississauga Centre/Mississauga-Centre"," 123","Mississauga",68,1,3,13,46,1,132,479
35058,"Mississauga Centre/Mississauga-Centre"," 124","Mississauga",Merged with No./Fusionné avec le n°122,,,,,,,270
35058,"Mississauga Centre/Mississauga-Centre"," 125","Mississauga",42,12,3,21,36,1,115,381
35058,"Mississauga Centre/Mississauga-Centre"," 126","Mississauga",69,12,4,16,46,0,147,429
35058,"Mississauga Centre/Mississauga-Centre"," 127","Mississauga",77,13,3,17,34,0,144,462
35058,"Mississauga Centre/Mississauga-Centre"," 128","Mississauga",53,22,4,13,48,0,140,399
35058,"Mississauga Centre/Mississauga-Centre"," 129","Mississauga",54,11,2,16,25,0,108,416
35058,"Mississauga Centre/Mississauga-Centre"," 130","Mississauga",57,9,4,10,28,0,108,413
35058,"Mississauga Centre/Mississauga-Centre"," 131","Mississauga",46,10,2,12,16,0,86,374
35058,"Mississauga Centre/Mississauga-Centre"," 132","Mississauga",44,7,4,10,41,0,106,385
35058,"Mississauga Centre/Mississauga-Centre"," 400","Mississauga",76,10,2,20,42,1,151,296
35058,"Mississauga Centre/Mississauga-Centre"," 401","Mississauga",158,8,3,24,54,5,252,545
35058,"Mississauga Centre/Mississauga-Centre"," 402","Mississauga",179,17,3,25,75,8,307,606
35058,"Mississauga Centre/Mississauga-Centre"," 403","Mississauga",193,11,6,25,102,2,339,549
35058,"Mississauga Centre/Mississauga-Centre"," 404","Mississauga",222,10,3,17,100,0,352,570
35058,"Mississauga Centre/Mississauga-Centre"," 405","Mississauga",127,5,6,20,67,0,225,397
35058,"Mississauga Centre/Mississauga-Centre"," 406","Mississauga",133,11,5,33,44,0,226,415
35058,"Mississauga Centre/Mississauga-Centre"," 407","Mississauga",113,12,3,10,45,1,184,314
