Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric-Abel Baland,Richard Evanko,Marie-Hélène Gaudreau,Kathy Laframboise,Michel Le Comte,Michel Leclerc,Antoine Menassa,Jean-Noël Sorel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laurentides--Labelle/Laurentides--Labelle"," 130","Mont-Tremblant",22,11,78,20,3,4,48,0,8,194,674
24038,"Laurentides--Labelle/Laurentides--Labelle"," 131","Mont-Tremblant",19,10,109,14,12,4,58,1,5,232,631
24038,"Laurentides--Labelle/Laurentides--Labelle"," 132","Mont-Tremblant",19,13,75,20,6,0,38,2,5,178,484
24038,"Laurentides--Labelle/Laurentides--Labelle"," 133","Mont-Tremblant",4,5,60,10,8,5,24,0,4,120,442
24038,"Laurentides--Labelle/Laurentides--Labelle"," 134","Mont-Tremblant",10,2,64,18,3,2,41,0,4,144,466
24038,"Laurentides--Labelle/Laurentides--Labelle"," 135","Mont-Tremblant",8,4,79,20,8,2,46,0,3,170,469
24038,"Laurentides--Labelle/Laurentides--Labelle"," 136","Val-David",21,15,63,7,17,4,37,0,4,168,461
24038,"Laurentides--Labelle/Laurentides--Labelle"," 137","Val-David",22,14,81,6,11,5,28,0,6,173,457
24038,"Laurentides--Labelle/Laurentides--Labelle"," 138","Val-David",25,5,63,11,9,0,30,1,0,144,404
24038,"Laurentides--Labelle/Laurentides--Labelle"," 139","Val-David",19,9,81,7,8,7,31,1,1,164,410
24038,"Laurentides--Labelle/Laurentides--Labelle"," 140","Val-David",33,8,62,10,11,3,20,0,6,153,435
24038,"Laurentides--Labelle/Laurentides--Labelle"," 141","Val-David",20,8,65,6,8,5,24,0,2,138,410
24038,"Laurentides--Labelle/Laurentides--Labelle"," 142","Val-David",14,1,70,5,6,2,30,1,3,132,420
24038,"Laurentides--Labelle/Laurentides--Labelle"," 143","Val-David",13,8,61,8,9,6,24,0,1,130,345
24038,"Laurentides--Labelle/Laurentides--Labelle"," 144","Val-David",10,14,52,11,5,5,27,0,2,126,360
24038,"Laurentides--Labelle/Laurentides--Labelle"," 145","Saint-Faustin",14,14,83,7,6,2,25,0,6,157,497
24038,"Laurentides--Labelle/Laurentides--Labelle"," 146","Saint-Faustin--Lac-Carré",7,8,76,10,7,6,40,1,5,160,452
24038,"Laurentides--Labelle/Laurentides--Labelle"," 147","Saint-Faustin",5,14,77,12,5,5,37,0,5,160,468
24038,"Laurentides--Labelle/Laurentides--Labelle"," 148","Saint-Faustin--Lac-Carré",9,5,85,19,7,2,30,0,4,161,421
24038,"Laurentides--Labelle/Laurentides--Labelle"," 149","Sainte-Agathe-des-Monts",8,10,61,19,0,2,27,0,0,127,508
24038,"Laurentides--Labelle/Laurentides--Labelle"," 150","Sainte-Agathe-des-Monts",7,6,60,11,4,6,32,0,2,128,482
24038,"Laurentides--Labelle/Laurentides--Labelle"," 151","Sainte-Agathe-des-Monts",3,6,86,22,5,2,49,1,2,176,505
24038,"Laurentides--Labelle/Laurentides--Labelle"," 152","Val-Morin",15,4,70,9,4,3,42,1,0,148,444
24038,"Laurentides--Labelle/Laurentides--Labelle"," 153","Val-Morin",15,2,71,12,9,1,23,0,0,133,377
24038,"Laurentides--Labelle/Laurentides--Labelle"," 154","Val-David",21,4,52,5,11,8,24,0,0,125,449
24038,"Laurentides--Labelle/Laurentides--Labelle"," 155","Val-David",15,11,49,6,5,5,36,0,8,135,421
24038,"Laurentides--Labelle/Laurentides--Labelle"," 156","Val-Morin",11,13,57,10,12,4,22,0,0,129,394
24038,"Laurentides--Labelle/Laurentides--Labelle"," 157","Val-Morin",15,14,66,12,12,3,32,0,3,157,453
24038,"Laurentides--Labelle/Laurentides--Labelle"," 158","Val-Morin",11,3,78,21,12,2,16,0,5,148,413
24038,"Laurentides--Labelle/Laurentides--Labelle"," 159","Val-Morin",15,14,90,16,5,8,30,0,5,183,449
24038,"Laurentides--Labelle/Laurentides--Labelle"," 160","Sainte-Adèle",16,6,86,14,7,3,27,0,5,164,400
24038,"Laurentides--Labelle/Laurentides--Labelle"," 161","Sainte-Adèle",14,3,63,17,6,1,41,0,1,146,397
24038,"Laurentides--Labelle/Laurentides--Labelle"," 162","Sainte-Adèle",14,10,79,23,7,5,52,0,2,192,512
24038,"Laurentides--Labelle/Laurentides--Labelle"," 163A","Sainte-Adèle",8,14,77,12,7,2,36,0,0,156,403
24038,"Laurentides--Labelle/Laurentides--Labelle"," 163B","Sainte-Adèle",14,3,64,11,4,2,37,0,5,140,391
24038,"Laurentides--Labelle/Laurentides--Labelle"," 164A","Sainte-Adèle",12,6,59,8,5,2,39,1,1,133,371
24038,"Laurentides--Labelle/Laurentides--Labelle"," 164B","Sainte-Adèle",19,8,49,10,5,4,36,0,1,132,358
24038,"Laurentides--Labelle/Laurentides--Labelle"," 165","Sainte-Adèle",15,2,79,10,5,2,58,0,3,174,375
24038,"Laurentides--Labelle/Laurentides--Labelle"," 166","Sainte-Adèle",14,8,91,15,4,1,30,0,4,167,395
24038,"Laurentides--Labelle/Laurentides--Labelle"," 167","Sainte-Adèle",14,10,67,15,5,2,41,0,5,159,542
24038,"Laurentides--Labelle/Laurentides--Labelle"," 168","Notre-Dame-de-Pontmain",4,7,95,18,0,5,35,2,3,169,366
24038,"Laurentides--Labelle/Laurentides--Labelle"," 169","Notre-Dame-de-Pontmain",2,3,62,11,2,7,42,0,6,135,337
24038,"Laurentides--Labelle/Laurentides--Labelle"," 170","Brébeuf",14,12,138,21,10,3,43,0,6,247,431
24038,"Laurentides--Labelle/Laurentides--Labelle"," 171","Brébeuf",20,7,120,16,11,3,52,0,6,235,437
24038,"Laurentides--Labelle/Laurentides--Labelle"," 172","Sainte-Adèle",22,12,73,27,6,1,53,0,4,198,553
24038,"Laurentides--Labelle/Laurentides--Labelle"," 173","Sainte-Adèle",30,8,58,18,6,4,59,0,3,186,525
24038,"Laurentides--Labelle/Laurentides--Labelle"," 174","Sainte-Adèle",10,10,59,15,8,3,50,0,4,159,557
24038,"Laurentides--Labelle/Laurentides--Labelle"," 175","Sainte-Adèle",5,3,67,16,6,2,31,0,0,130,476
24038,"Laurentides--Labelle/Laurentides--Labelle"," 176","Sainte-Adèle",17,12,66,18,7,4,33,0,3,160,525
24038,"Laurentides--Labelle/Laurentides--Labelle"," 177","Sainte-Adèle",22,25,105,23,11,5,64,1,3,259,650
