Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arjun Balasingham,Mark Johnson,Larisa Julius,Eric Muraven,Jean Yip,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 28","Toronto",7,65,52,3,162,1,290,418
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 29","Toronto",Merged with No./Fusionné avec le n°28,,,,,,,354
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 30","Toronto",Merged with No./Fusionné avec le n°26,,,,,,,377
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 31","Toronto",2,58,12,4,98,3,177,603
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 32","Toronto",2,59,21,5,109,0,196,436
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 33","Toronto",7,100,30,3,137,0,277,360
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 34","Toronto",Merged with No./Fusionné avec le n°33,,,,,,,336
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 35","Toronto",Merged with No./Fusionné avec le n°38,,,,,,,317
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 36","Toronto",Merged with No./Fusionné avec le n°37,,,,,,,360
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 37","Toronto",8,74,44,5,165,8,304,440
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 38","Toronto",5,59,25,6,127,3,225,318
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 39","Toronto",7,35,22,3,129,8,204,554
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 40","Toronto",1,64,28,3,102,1,199,425
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 41","Toronto",Merged with No./Fusionné avec le n°417,,,,,,,321
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 42","Toronto",4,45,21,7,92,5,174,541
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 43","Toronto",4,39,24,4,57,2,130,479
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 44","Toronto",Merged with No./Fusionné avec le n°47,,,,,,,388
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 45","Toronto",4,73,12,0,121,0,210,389
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 46","Toronto",2,38,13,2,59,3,117,440
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 47","Toronto",8,109,32,4,152,5,310,423
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 48","Toronto",Merged with No./Fusionné avec le n°45,,,,,,,331
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 49","Toronto",2,28,7,4,67,1,109,435
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 50","Toronto",2,68,7,7,133,5,222,363
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 51","Toronto",4,89,16,14,121,3,247,363
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 52","Toronto",2,49,19,5,67,1,143,406
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 53","Toronto",Merged with No./Fusionné avec le n°50,,,,,,,362
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 54","Toronto",Merged with No./Fusionné avec le n°51,,,,,,,353
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 55","Toronto",6,44,23,12,102,0,187,495
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 56","Toronto",3,60,20,6,135,1,225,557
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 57","Toronto",7,74,44,5,207,4,341,446
