Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lisa Marie Barron,Michelle Corfield,Tamara Kronis,Paul Manly,Stephen Welton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 118","Nanaimo",43,17,36,53,10,0,159,461
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 119","Nanaimo",49,26,46,78,7,2,208,518
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 120","Nanaimo",61,26,38,40,14,0,179,511
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 121","Nanaimo",66,16,33,53,6,0,174,458
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 122","Nanaimo",58,29,50,58,14,1,210,469
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 123","Nanaimo",71,25,40,47,6,0,189,557
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 124","Nanaimo",34,21,26,44,6,0,131,417
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 125","Nanaimo",49,17,25,27,0,0,118,500
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 126","Nanaimo",Merged with No./Fusionné avec le n°159,,,,,,,390
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 127A","Nanaimo",57,26,32,18,6,0,139,403
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 127B","Nanaimo",68,23,31,30,2,0,154,413
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 128","Nanaimo",76,21,35,36,16,0,184,597
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 129","Nanaimo",96,26,38,47,12,0,219,604
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 130","Nanaimo",54,19,39,29,10,1,152,486
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 131","Nanaimo",60,12,13,51,2,0,138,500
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 132","Nanaimo",85,19,51,62,19,0,236,574
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 133","Nanaimo",73,29,43,36,10,0,191,478
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 134","Nanaimo",67,17,44,56,6,0,190,435
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 135","Nanaimo",50,26,25,53,11,0,165,471
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 136","Nanaimo",68,20,31,33,4,0,156,435
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 137","Nanaimo",69,18,24,112,6,0,229,369
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 138","Nanaimo",84,16,31,43,10,0,184,503
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 139","Nanaimo",56,13,56,22,4,1,152,514
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 140","Nanaimo",79,18,26,73,9,0,205,546
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 141","Nanaimo",49,22,27,56,6,0,160,507
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 142","Nanaimo",67,11,19,53,11,0,161,647
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 143","Nanaimo",56,12,24,51,10,0,153,472
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 144","Nanaimo",54,18,33,38,9,0,152,486
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 145","Nanaimo",30,18,43,18,8,0,117,504
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 146","Nanaimo",45,20,12,48,4,0,129,458
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 147","Nanaimo",68,20,17,43,7,1,156,588
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 148","Nanaimo",48,18,37,31,9,1,144,427
