Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Des Bissonnette,Kira Brunner,Ann McCormack,Fred Sirett,Shannon Stubbs,John Turvey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Lakeland/Lakeland"," 38","Smoky Lake",5,1,8,3,36,6,1,60,179
48025,"Lakeland/Lakeland"," 39","Victoria Settlement",14,1,16,3,84,4,1,123,306
48025,"Lakeland/Lakeland"," 40","St. Lina",17,2,26,5,187,10,1,248,447
48025,"Lakeland/Lakeland"," 41","Egremont",3,0,6,1,65,3,0,78,275
48025,"Lakeland/Lakeland"," 42","Radway",39,2,43,4,127,4,0,219,393
48025,"Lakeland/Lakeland"," 43","Bellis",20,1,16,1,107,2,2,149,283
48025,"Lakeland/Lakeland"," 44","Vilna",23,0,22,3,85,9,2,144,515
48025,"Lakeland/Lakeland"," 45","Stry",16,1,4,4,62,6,0,93,192
48025,"Lakeland/Lakeland"," 46","Spedden",8,0,13,6,120,10,0,157,309
48025,"Lakeland/Lakeland"," 47","Glendon",20,0,38,3,205,10,2,278,429
48025,"Lakeland/Lakeland"," 48","Beacon Corner",4,1,21,2,74,0,1,103,176
48025,"Lakeland/Lakeland"," 49","Mallaig",31,2,31,1,188,10,0,263,370
48025,"Lakeland/Lakeland"," 50","Skaro",11,0,14,5,96,4,1,131,294
48025,"Lakeland/Lakeland"," 51","Bruderheim",30,2,36,5,171,11,2,257,462
48025,"Lakeland/Lakeland"," 52","Bruderheim",61,5,30,8,162,9,2,277,574
48025,"Lakeland/Lakeland"," 53","Beaverhill",10,0,27,1,103,2,1,144,269
48025,"Lakeland/Lakeland"," 54","St. Vincent",18,3,21,0,157,17,0,216,420
48025,"Lakeland/Lakeland"," 55","Ashmont",30,2,20,4,181,19,0,256,581
48025,"Lakeland/Lakeland"," 56","Hoselaw",16,0,5,3,159,7,2,192,334
48025,"Lakeland/Lakeland"," 57","Andrew",13,0,7,6,72,5,0,103,178
48025,"Lakeland/Lakeland"," 58","Andrew",8,0,10,3,63,1,0,85,141
48025,"Lakeland/Lakeland"," 59","Andrew",29,3,21,8,114,9,1,185,330
48025,"Lakeland/Lakeland"," 60","Wostok",14,2,15,0,60,2,0,93,180
48025,"Lakeland/Lakeland"," 61","Moose Lake",3,0,7,2,75,6,0,93,243
48025,"Lakeland/Lakeland"," 62","Pelican Narrows",10,0,22,4,222,7,0,265,672
48025,"Lakeland/Lakeland"," 63","Bonnyville",14,0,29,3,129,7,3,185,604
48025,"Lakeland/Lakeland"," 64","Bonnyville",24,3,28,1,131,12,2,201,599
48025,"Lakeland/Lakeland"," 65","Bonnyville",10,1,11,4,65,13,0,104,334
48025,"Lakeland/Lakeland"," 66","Bonnyville",13,3,24,1,96,9,0,146,480
48025,"Lakeland/Lakeland"," 67","Bonnyville",14,0,18,2,61,6,2,103,382
48025,"Lakeland/Lakeland"," 68","Bonnyville",12,2,17,3,95,13,2,144,413
48025,"Lakeland/Lakeland"," 69","Bonnyville",23,0,22,3,143,4,1,196,501
48025,"Lakeland/Lakeland"," 70","Bonnyville",5,1,22,5,92,10,3,138,430
48025,"Lakeland/Lakeland"," 71","Bonnyville",16,0,20,2,126,7,0,171,400
48025,"Lakeland/Lakeland"," 72","Bonnyville",6,1,11,3,117,2,1,141,517
48025,"Lakeland/Lakeland"," 73","Bonnyville Beach",9,1,21,1,75,4,0,111,216
48025,"Lakeland/Lakeland"," 74","Bonnyville",14,2,21,1,119,4,0,161,514
48025,"Lakeland/Lakeland"," 75","Muriel Lake",9,2,37,3,170,6,0,227,586
48025,"Lakeland/Lakeland"," 76","St. Michael",18,0,9,4,69,1,1,102,208
48025,"Lakeland/Lakeland"," 77","Lamont",33,3,15,3,135,8,0,197,463
48025,"Lakeland/Lakeland"," 78A","Lamont",20,1,14,3,63,8,1,110,384
48025,"Lakeland/Lakeland"," 78B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°78A,,,,,,,,0
48025,"Lakeland/Lakeland"," 79","Lamont",19,3,22,4,128,6,0,182,416
48025,"Lakeland/Lakeland"," 80","Lamont",11,0,4,1,79,1,0,96,223
48025,"Lakeland/Lakeland"," 81","Saddle Lake 125",125,8,8,1,22,15,0,179,1529
48025,"Lakeland/Lakeland"," 82","Kehewin 123",72,0,7,2,27,24,2,134,498
48025,"Lakeland/Lakeland"," 83","St. Paul",Merged with No./Fusionné avec le n°86,,,,,,,,286
48025,"Lakeland/Lakeland"," 84","Blue Quills First Nation",18,2,13,4,136,6,0,179,409
48025,"Lakeland/Lakeland"," 85","St. Paul",34,2,10,1,134,15,1,197,432
48025,"Lakeland/Lakeland"," 86","St. Paul",29,3,30,3,120,23,2,210,294
48025,"Lakeland/Lakeland"," 87","St. Paul",35,0,20,3,114,15,0,187,522
48025,"Lakeland/Lakeland"," 88","St. Paul",17,2,23,3,122,11,1,179,508
48025,"Lakeland/Lakeland"," 89","St. Paul",35,2,11,1,94,9,0,152,438
48025,"Lakeland/Lakeland"," 90","St. Paul",16,1,9,1,80,7,2,116,346
48025,"Lakeland/Lakeland"," 91","St. Paul",32,4,12,1,106,9,0,164,398
48025,"Lakeland/Lakeland"," 92","St. Paul",18,0,7,0,89,9,0,123,397
48025,"Lakeland/Lakeland"," 93","St. Edouard",18,3,12,2,151,6,0,192,467
48025,"Lakeland/Lakeland"," 94","St. Paul",7,0,14,2,135,6,1,165,329
48025,"Lakeland/Lakeland"," 95","Beaverdam",45,1,23,2,79,13,1,164,356
48025,"Lakeland/Lakeland"," 96","Willingdon",24,0,29,1,154,6,0,214,478
48025,"Lakeland/Lakeland"," 97","Hairy Hill",11,0,20,2,102,7,0,142,370
48025,"Lakeland/Lakeland"," 98","Brosseau",8,1,12,2,82,8,0,113,229
48025,"Lakeland/Lakeland"," 99","Chipman",36,2,30,21,144,18,3,254,497
48025,"Lakeland/Lakeland"," 100","Hilliard",25,2,17,9,152,12,2,219,312
48025,"Lakeland/Lakeland"," 101","Two Hills",15,0,22,2,97,3,0,139,382
48025,"Lakeland/Lakeland"," 102","Elk Point",20,1,25,7,149,5,0,207,520
48025,"Lakeland/Lakeland"," 103","Lindbergh",10,2,14,3,89,8,0,126,255
48025,"Lakeland/Lakeland"," 104","Elk Point",15,5,26,1,140,6,0,193,561
48025,"Lakeland/Lakeland"," 105","Elk Point",16,4,31,3,102,9,0,165,392
48025,"Lakeland/Lakeland"," 106","Lafond",8,0,16,0,44,3,1,72,207
48025,"Lakeland/Lakeland"," 107","Lake Eliza",19,3,15,1,123,6,0,167,259
48025,"Lakeland/Lakeland"," 108","Mundare",16,1,24,9,146,7,1,204,418
