Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sophie Chatel,Gabrielle Desjardins,Michel Gauthier,Denise Giroux,David Bruce Gottfred,Geneviève Labonté-Chartrand,Shaughn McArthur,James McNair,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac/Pontiac"," 164","Bryson",Merged with No./Fusionné avec le n°165,,,,,,,,,,248
24057,"Pontiac/Pontiac"," 165","Bryson",78,10,133,32,26,1,4,0,2,286,284
24057,"Pontiac/Pontiac"," 166","Quyon",32,3,37,15,13,0,4,0,1,105,318
24057,"Pontiac/Pontiac"," 167","Quyon",36,3,50,9,13,0,3,0,2,116,341
24057,"Pontiac/Pontiac"," 168","Quyon",46,3,60,5,27,3,2,0,2,148,355
24057,"Pontiac/Pontiac"," 169","Quyon",33,10,30,12,23,3,5,1,0,117,363
24057,"Pontiac/Pontiac"," 170","Gatineau",72,34,19,23,5,0,3,0,3,159,366
24057,"Pontiac/Pontiac"," 171","Gatineau",57,48,10,22,3,2,2,0,1,145,478
24057,"Pontiac/Pontiac"," 172","Gatineau",97,31,29,19,2,0,3,0,3,184,388
24057,"Pontiac/Pontiac"," 173","Gatineau",83,49,13,15,3,1,4,0,0,168,448
24057,"Pontiac/Pontiac"," 174","Gatineau",113,39,46,20,19,2,3,0,2,244,514
24057,"Pontiac/Pontiac"," 175","Gatineau",57,27,13,19,6,1,6,0,2,131,333
24057,"Pontiac/Pontiac"," 176","Gatineau",73,17,19,10,9,0,5,0,4,137,392
24057,"Pontiac/Pontiac"," 177","Gatineau",66,36,7,10,2,1,1,0,0,123,437
24057,"Pontiac/Pontiac"," 178","Gatineau",61,22,9,12,1,1,0,0,1,107,331
24057,"Pontiac/Pontiac"," 179","Gatineau",49,31,12,10,1,0,1,0,0,104,353
24057,"Pontiac/Pontiac"," 180","Chelsea",Merged with No./Fusionné avec le n°181,,,,,,,,,,277
24057,"Pontiac/Pontiac"," 181","Chelsea",111,22,24,66,7,0,22,0,0,252,338
24057,"Pontiac/Pontiac"," 182","Chelsea",Void/Supprimé,,,,,,,,,,
24057,"Pontiac/Pontiac"," 183","Chelsea",67,6,14,35,5,0,9,0,1,137,345
24057,"Pontiac/Pontiac"," 184","Chelsea",114,23,40,34,8,0,16,0,0,235,526
24057,"Pontiac/Pontiac"," 185","Chelsea",85,16,33,45,6,3,18,0,1,207,573
24057,"Pontiac/Pontiac"," 186","Chelsea",45,5,16,19,4,0,9,0,0,98,219
24057,"Pontiac/Pontiac"," 187","Chelsea",139,36,39,45,13,2,15,0,3,292,678
24057,"Pontiac/Pontiac"," 188","Chelsea",152,32,33,56,5,2,15,0,3,298,677
24057,"Pontiac/Pontiac"," 189","Les Prés-de-Chelsea",92,25,35,29,5,1,4,0,0,191,498
24057,"Pontiac/Pontiac"," 190","Luskville",81,22,52,17,20,0,17,0,3,212,557
24057,"Pontiac/Pontiac"," 191","Luskville",Void/Supprimé,,,,,,,,,,
24057,"Pontiac/Pontiac"," 192","Pontiac",Void/Supprimé,,,,,,,,,,
24057,"Pontiac/Pontiac"," 193","Luskville",68,24,36,21,21,1,7,0,2,180,520
24057,"Pontiac/Pontiac"," 194","Luskville",43,19,33,17,11,0,3,2,0,128,351
24057,"Pontiac/Pontiac"," 195","Luskville",58,16,35,18,10,0,10,1,1,149,383
24057,"Pontiac/Pontiac"," 196","Luskville",Void/Supprimé,,,,,,,,,,
24057,"Pontiac/Pontiac"," 197","Luskville",58,23,53,27,14,2,2,0,2,181,437
24057,"Pontiac/Pontiac"," 198","Luskville",104,40,43,23,14,3,8,0,0,235,597
