Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suresh Arangath,Elaine Baetz,Melissa Baumgaertner,Valerie Bradford,Tyler Calver,Stephen Davis,C.A. Morrison,Gabe Rose,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 166","Kitchener",29,0,14,57,50,0,0,10,0,160,420
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 167","Kitchener",16,0,6,70,86,0,1,4,1,184,414
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 168","Kitchener",25,1,10,53,80,0,0,6,0,175,456
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 169","Kitchener",20,1,4,67,108,2,2,5,0,209,407
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 170","Kitchener",26,0,6,86,77,0,0,5,2,202,442
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 171","Kitchener",24,0,19,54,50,0,0,6,1,154,374
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 172","Kitchener",14,0,6,54,61,0,0,8,0,143,320
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 173","Kitchener",23,0,7,68,74,0,0,5,1,178,603
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 174","Kitchener",46,1,7,108,86,2,2,20,2,274,548
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 175","Kitchener",20,1,12,77,66,0,0,9,1,186,443
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 176","Kitchener",35,0,7,125,113,0,1,4,1,286,819
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 177A","Kitchener",42,0,18,107,72,0,0,5,1,245,614
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 177B","Kitchener",50,0,14,105,74,1,0,6,1,251,613
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 178","Kitchener",38,0,15,126,95,0,1,8,3,286,778
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 400","Kitchener",26,1,12,57,36,1,0,8,1,142,302
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 401","Kitchener",30,1,22,60,42,2,1,7,5,170,328
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 402","Kitchener",19,1,8,56,38,0,0,8,4,134,273
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 403","Kitchener",20,0,13,51,57,0,1,6,0,148,249
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 503","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 505","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 506","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 600","Cambridge",193,0,74,443,511,2,0,30,12,1265,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 601","Cambridge",162,0,70,454,546,3,1,18,7,1261,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 602","Cambridge",155,0,85,384,439,1,1,27,12,1104,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 603","Cambridge",159,1,101,501,518,2,3,46,20,1351,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 604","Kitchener",77,3,61,366,305,0,1,23,5,841,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 605","Kitchener",107,0,65,282,236,0,3,19,6,718,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 606","Kitchener",151,1,94,273,317,1,5,45,7,894,
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 607","Kitchener",131,0,75,367,320,4,2,24,12,935,
