Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Bowman,Tristan Dineen,Aisha Jahangir,Joshua Leier,Karen Levenson,Lloyd Longfield,Ashish Sachan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Guelph/Guelph"," 140","Guelph",9,2,31,6,1,56,41,0,146,479
35032,"Guelph/Guelph"," 141","Guelph",8,0,12,6,1,97,45,1,170,406
35032,"Guelph/Guelph"," 142","Guelph",21,0,33,1,0,82,50,1,188,541
35032,"Guelph/Guelph"," 143","Guelph",10,0,44,7,0,81,39,2,183,517
35032,"Guelph/Guelph"," 144","Guelph",17,0,50,11,1,59,22,0,160,498
35032,"Guelph/Guelph"," 145","Guelph",18,0,31,7,1,46,45,1,149,400
35032,"Guelph/Guelph"," 146","Guelph",10,1,30,6,0,56,25,2,130,422
35032,"Guelph/Guelph"," 147","Guelph",9,0,24,5,2,62,51,2,155,509
35032,"Guelph/Guelph"," 148","Guelph",8,0,34,4,1,79,40,0,166,453
35032,"Guelph/Guelph"," 149","Guelph",11,1,34,11,0,72,66,4,199,551
35032,"Guelph/Guelph"," 150","Guelph",2,0,20,1,0,44,23,0,90,330
35032,"Guelph/Guelph"," 151","Guelph",13,0,72,19,1,141,91,7,344,930
35032,"Guelph/Guelph"," 152","Guelph",13,0,64,10,1,55,46,2,191,476
35032,"Guelph/Guelph"," 153","Guelph",20,1,116,16,1,71,48,1,274,579
35032,"Guelph/Guelph"," 154","Guelph",11,0,65,9,0,72,43,0,200,557
35032,"Guelph/Guelph"," 155","Guelph",19,0,65,13,2,67,36,1,203,561
35032,"Guelph/Guelph"," 156","Guelph",31,1,126,5,0,108,70,3,344,887
35032,"Guelph/Guelph"," 157","Guelph",26,0,77,14,0,88,44,1,250,588
35032,"Guelph/Guelph"," 158","Guelph",24,0,65,6,0,51,71,2,219,596
35032,"Guelph/Guelph"," 159","Guelph",8,0,55,7,0,70,55,1,196,574
35032,"Guelph/Guelph"," 160","Guelph",11,1,48,11,2,100,44,6,223,621
35032,"Guelph/Guelph"," 161A","Guelph",12,0,26,5,1,68,46,0,158,466
35032,"Guelph/Guelph"," 161B","Guelph",Merged with No./Fusionné avec le n°418,,,,,,,,,162
35032,"Guelph/Guelph"," 161C","Guelph",Merged with No./Fusionné avec le n°418,,,,,,,,,150
35032,"Guelph/Guelph"," 161D","Guelph",Merged with No./Fusionné avec le n°418,,,,,,,,,76
35032,"Guelph/Guelph"," 162","Guelph",11,0,46,3,0,75,39,2,176,499
35032,"Guelph/Guelph"," 163","Guelph",15,0,36,13,1,82,59,1,207,515
35032,"Guelph/Guelph"," 164","Guelph",8,0,29,4,0,118,73,3,235,518
35032,"Guelph/Guelph"," 165","Guelph",13,1,43,10,0,88,54,0,209,607
35032,"Guelph/Guelph"," 166","Guelph",14,0,27,4,1,87,39,2,174,415
35032,"Guelph/Guelph"," 167","Guelph",9,0,44,9,0,82,46,0,190,501
35032,"Guelph/Guelph"," 168","Guelph",15,0,50,4,0,82,40,0,191,561
35032,"Guelph/Guelph"," 169","Guelph",42,1,87,14,1,77,54,1,277,652
35032,"Guelph/Guelph"," 170","Guelph",22,1,92,9,0,94,47,0,265,606
35032,"Guelph/Guelph"," 171","Guelph",13,3,54,9,1,65,53,1,199,573
35032,"Guelph/Guelph"," 172","Guelph",28,0,95,13,2,73,58,3,272,637
35032,"Guelph/Guelph"," 173","Guelph",7,0,46,2,3,64,34,0,156,518
35032,"Guelph/Guelph"," 174","Guelph",17,1,43,5,0,71,45,0,182,543
35032,"Guelph/Guelph"," 175","Guelph",16,3,40,6,1,85,46,2,199,518
