Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Gladstone,Samuel Greenfield,Melissa Lantsman,Daniella Mikanovsky,Raz Razvi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"Thornhill/Thornhill"," 120","Vaughan",107,14,110,3,23,1,258,438
35104,"Thornhill/Thornhill"," 121","Vaughan",Merged with No./Fusionné avec le n°122,,,,,,,359
35104,"Thornhill/Thornhill"," 122","Vaughan",81,12,145,2,27,1,268,453
35104,"Thornhill/Thornhill"," 123","Vaughan",Merged with No./Fusionné avec le n°124,,,,,,,371
35104,"Thornhill/Thornhill"," 124","Vaughan",55,10,107,2,20,0,194,481
35104,"Thornhill/Thornhill"," 125","Vaughan",58,11,57,5,8,0,139,454
35104,"Thornhill/Thornhill"," 126","Vaughan",60,3,59,2,7,0,131,456
35104,"Thornhill/Thornhill"," 127","Vaughan",76,6,62,0,17,4,165,409
35104,"Thornhill/Thornhill"," 128","Vaughan",72,9,64,3,13,2,163,494
35104,"Thornhill/Thornhill"," 129","Vaughan",69,7,53,1,12,0,142,509
35104,"Thornhill/Thornhill"," 130","Vaughan",Merged with No./Fusionné avec le n°131,,,,,,,412
35104,"Thornhill/Thornhill"," 131","Vaughan",39,12,73,5,10,0,139,470
35104,"Thornhill/Thornhill"," 132","Vaughan",21,2,42,1,2,0,68,451
35104,"Thornhill/Thornhill"," 133","Vaughan",25,4,44,0,3,1,77,495
35104,"Thornhill/Thornhill"," 134","Vaughan",24,5,49,0,15,0,93,375
35104,"Thornhill/Thornhill"," 135","Vaughan",68,7,70,0,17,3,165,607
35104,"Thornhill/Thornhill"," 136","Vaughan",58,12,96,5,14,4,189,441
35104,"Thornhill/Thornhill"," 137","Vaughan",Merged with No./Fusionné avec le n°136,,,,,,,329
35104,"Thornhill/Thornhill"," 138","Vaughan",67,13,106,4,16,1,207,464
35104,"Thornhill/Thornhill"," 139","Vaughan",Merged with No./Fusionné avec le n°138,,,,,,,394
35104,"Thornhill/Thornhill"," 140","Vaughan",56,6,72,7,14,0,155,521
35104,"Thornhill/Thornhill"," 141","Vaughan",45,5,65,3,3,0,121,509
35104,"Thornhill/Thornhill"," 142","Vaughan",200,17,180,10,67,1,475,1837
35104,"Thornhill/Thornhill"," 143","Vaughan",64,15,41,3,15,0,138,497
35104,"Thornhill/Thornhill"," 144","Vaughan",101,13,88,9,17,1,229,448
35104,"Thornhill/Thornhill"," 145","Vaughan",Merged with No./Fusionné avec le n°144,,,,,,,425
35104,"Thornhill/Thornhill"," 146","Vaughan",63,12,63,2,12,2,154,466
35104,"Thornhill/Thornhill"," 147","Vaughan",50,4,55,0,13,4,126,431
35104,"Thornhill/Thornhill"," 148","Vaughan",55,13,55,4,13,0,140,491
