Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Sidney Coles,Phil De Luna,Stephanie Osadchuk,Peter Remedios,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 401","Toronto",Merged with No./Fusionné avec le n°8,,,,,,,332
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 402","Toronto",51,21,5,17,8,0,102,154
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 403","Toronto",83,14,3,29,6,5,140,258
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 404","Toronto",130,74,11,42,6,2,265,470
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 405","Toronto",74,17,6,42,2,0,141,596
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 406","Toronto",102,40,18,34,13,0,207,390
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 407","Toronto",130,44,9,40,6,1,230,428
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 408","Toronto",Merged with No./Fusionné avec le n°2,,,,,,,217
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 409","Toronto",Merged with No./Fusionné avec le n°26,,,,,,,220
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 410","Toronto",115,41,22,56,3,3,240,348
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 411","Toronto",100,30,14,22,6,7,179,300
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 412","Toronto",117,14,11,40,2,0,184,294
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 413","Toronto",87,25,16,21,8,2,159,264
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 414","Toronto",62,6,9,39,2,1,119,104
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 415","Toronto",87,7,10,53,1,0,158,272
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 416","Toronto",160,28,14,31,10,5,248,403
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 417","Toronto",84,14,5,38,8,1,150,320
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 418","Toronto",68,27,14,35,8,2,154,298
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 419","Toronto",68,3,3,32,0,1,107,180
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 420","Toronto",60,15,5,28,3,1,112,250
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 421","Toronto",184,27,17,90,16,4,338,674
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 422","Toronto",Merged with No./Fusionné avec le n°160,,,,,,,281
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°114,,,,,,,42
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°161,,,,,,,63
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°160,,,,,,,55
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°123,,,,,,,31
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°160,,,,,,,242
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°89,,,,,,,22
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°15,,,,,,,105
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 600","Toronto",579,215,36,236,49,2,1117,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 601","Toronto",616,211,45,339,29,6,1246,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 602","Toronto",471,184,47,229,35,5,971,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 603","Toronto",438,135,38,172,21,6,810,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 604","Toronto",438,120,38,348,19,3,966,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 605","Toronto",518,129,36,673,17,5,1378,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 606","Toronto",704,169,64,728,27,9,1701,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 607","Toronto",711,189,52,474,32,7,1465,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 608","Toronto",661,164,61,620,28,34,1568,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 609","Toronto",457,184,56,382,17,7,1103,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 610","Toronto",615,253,47,209,50,8,1182,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 611","Toronto",381,215,28,119,40,13,796,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 612","Toronto",449,313,44,122,20,2,950,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 613","Toronto",575,320,81,240,26,2,1244,
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 614","Toronto",431,315,39,95,22,2,904,
35090,"Toronto--St. Paul's/Toronto--St. Paul's",,Group 1/Groupe 1, 569,272,82,292,14,36,1265,726
35090,"Toronto--St. Paul's/Toronto--St. Paul's",,Group 2/Groupe 2, 3590,1278,348,1424,92,202,6934,
