Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Androvic,Brian Dias,Johannes Kotilainen,Maleeha Shahid,Ryan Turnbull,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Whitby/Whitby"," 192","Whitby",Merged with No./Fusionné avec le n°60,,,,,,,333
35114,"Whitby/Whitby"," 193","Whitby",29,56,10,63,131,1,290,421
35114,"Whitby/Whitby"," 194","Whitby",Merged with No./Fusionné avec le n°193,,,,,,,401
35114,"Whitby/Whitby"," 195","Whitby",9,41,0,53,140,1,244,471
35114,"Whitby/Whitby"," 196","Whitby",8,38,6,28,135,0,215,482
35114,"Whitby/Whitby"," 197","Whitby",13,37,6,47,52,0,155,390
35114,"Whitby/Whitby"," 198","Whitby",Merged with No./Fusionné avec le n°199,,,,,,,392
35114,"Whitby/Whitby"," 199","Whitby",19,50,4,85,127,1,286,427
35114,"Whitby/Whitby"," 200","Whitby",Merged with No./Fusionné avec le n°201,,,,,,,342
35114,"Whitby/Whitby"," 201","Whitby",24,61,7,105,151,1,349,577
35114,"Whitby/Whitby"," 202","Whitby",5,29,2,52,50,0,138,385
35114,"Whitby/Whitby"," 203","Whitby",Merged with No./Fusionné avec le n°206,,,,,,,336
35114,"Whitby/Whitby"," 204","Whitby",Merged with No./Fusionné avec le n°205,,,,,,,335
35114,"Whitby/Whitby"," 205","Whitby",13,49,8,65,101,2,238,433
35114,"Whitby/Whitby"," 206","Whitby",17,53,13,79,150,1,313,583
35114,"Whitby/Whitby"," 207","Whitby",Merged with No./Fusionné avec le n°209,,,,,,,376
35114,"Whitby/Whitby"," 208","Whitby",5,32,1,57,105,2,202,367
35114,"Whitby/Whitby"," 209","Whitby",9,40,10,112,154,1,326,442
35114,"Whitby/Whitby"," 210","Whitby",13,48,8,98,172,0,339,498
35114,"Whitby/Whitby"," 211","Whitby",Merged with No./Fusionné avec le n°210,,,,,,,461
35114,"Whitby/Whitby"," 212","Whitby",Merged with No./Fusionné avec le n°95,,,,,,,511
35114,"Whitby/Whitby"," 400","Whitby",3,18,2,88,111,6,228,298
35114,"Whitby/Whitby"," 401","Whitby",1,14,3,43,40,0,101,176
35114,"Whitby/Whitby"," 402","Whitby",6,18,2,42,89,1,158,218
35114,"Whitby/Whitby"," 403","Whitby",2,15,2,32,37,1,89,132
35114,"Whitby/Whitby"," 404","Whitby",Merged with No./Fusionné avec le n°403,,,,,,,125
35114,"Whitby/Whitby"," 405","Whitby",5,15,1,25,59,3,108,163
35114,"Whitby/Whitby"," 406","Whitby",Merged with No./Fusionné avec le n°176,,,,,,,157
35114,"Whitby/Whitby"," 407","Whitby",4,8,1,29,56,1,99,166
35114,"Whitby/Whitby"," 408","Whitby",3,14,1,43,77,0,138,209
35114,"Whitby/Whitby"," 409","Whitby",6,10,1,30,67,1,115,261
35114,"Whitby/Whitby"," 500","Mobile poll/Bureau itinérant",1,7,1,25,52,0,86,113
35114,"Whitby/Whitby"," 501","Mobile poll/Bureau itinérant",4,4,0,29,31,5,73,119
35114,"Whitby/Whitby"," 502","Mobile poll/Bureau itinérant",1,3,0,4,6,0,14,65
35114,"Whitby/Whitby"," 503","Mobile poll/Bureau itinérant",0,1,2,20,40,1,64,104
35114,"Whitby/Whitby"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°143,,,,,,,77
35114,"Whitby/Whitby"," 505","Mobile poll/Bureau itinérant",0,5,0,7,18,0,30,44
35114,"Whitby/Whitby"," 506","Mobile poll/Bureau itinérant",1,8,1,7,28,0,45,107
35114,"Whitby/Whitby"," 507","Mobile poll/Bureau itinérant",1,3,1,15,16,0,36,94
35114,"Whitby/Whitby"," 508","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,15
35114,"Whitby/Whitby"," 509","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,146
35114,"Whitby/Whitby"," 510","Mobile poll/Bureau itinérant",3,11,0,26,34,0,74,89
35114,"Whitby/Whitby"," 600","Whitby",64,118,18,601,401,4,1206,
35114,"Whitby/Whitby"," 601","Whitby",29,103,11,468,455,2,1068,
35114,"Whitby/Whitby"," 602","Whitby",53,147,11,635,585,3,1434,
35114,"Whitby/Whitby"," 603","Whitby",64,141,9,417,651,12,1294,
35114,"Whitby/Whitby"," 604","Whitby",57,128,12,412,631,4,1244,
35114,"Whitby/Whitby"," 605","Whitby",39,152,20,594,698,1,1504,
35114,"Whitby/Whitby"," 606","Whitby",43,120,19,460,526,3,1171,
35114,"Whitby/Whitby"," 607","Whitby",30,141,18,565,659,4,1417,
35114,"Whitby/Whitby"," 608","Whitby",77,147,14,410,550,11,1209,
35114,"Whitby/Whitby"," 609","Whitby",53,120,12,525,480,7,1197,
35114,"Whitby/Whitby"," 610","Whitby",38,106,10,420,485,3,1062,
35114,"Whitby/Whitby"," 611","Whitby",35,109,7,366,443,1,961,
35114,"Whitby/Whitby"," 612","Whitby",63,164,16,433,555,2,1233,
35114,"Whitby/Whitby"," 613","Whitby",54,109,16,451,486,4,1120,
35114,"Whitby/Whitby"," 614","Whitby",56,117,14,404,452,0,1043,
35114,"Whitby/Whitby"," 615","Whitby",51,154,18,416,428,7,1074,
35114,"Whitby/Whitby"," 616","Whitby",52,119,12,341,376,2,902,
35114,"Whitby/Whitby"," 617","Whitby",44,112,21,345,427,2,951,
35114,"Whitby/Whitby"," 618","Whitby",55,139,13,421,676,2,1306,
35114,"Whitby/Whitby",,Group 1/Groupe 1, 14,123,10,126,209,20,502,199
35114,"Whitby/Whitby",,Group 2/Groupe 2, 92,489,40,1124,1738,78,3561,
