Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles-Eugène Bergeron,Carl Brochu,Ghislain Daigle,Guylaine Dumont,Jacques Gourde,Samuel Lamarche,Mariève Lemay,Benoit Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 150","Saint-Lambert-de-Lauzon",0,2,17,20,81,37,2,15,2,176,296
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 151","Saint-Lambert-de-Lauzon",1,0,15,8,70,15,0,12,1,122,282
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 152","Saint-Lambert-de-Lauzon",1,0,18,6,114,38,2,10,5,194,333
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 153","Saint-Lambert-de-Lauzon",3,0,18,26,171,44,3,16,4,285,475
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 154","Saint-Lambert-de-Lauzon",0,0,22,9,118,37,0,4,0,190,323
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 155A","Saint-Apollinaire",3,0,14,9,79,19,5,7,7,143,334
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 155B","Saint-Apollinaire",4,0,22,15,60,14,1,6,3,125,280
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 156","Saint-Apollinaire",4,3,34,11,45,29,0,6,2,134,262
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 157","Saint-Apollinaire",5,1,19,9,42,17,1,2,4,100,290
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 158","Saint-Apollinaire",6,0,25,16,111,28,2,6,1,195,461
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 159","Saint-Apollinaire",3,0,19,7,73,23,1,5,2,133,337
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 160","Saint-Apollinaire",1,0,15,13,90,30,2,3,4,158,397
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 161","Saint-Apollinaire",2,0,31,19,122,27,6,5,5,217,553
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 162","Saint-Apollinaire",1,0,24,7,114,31,3,6,6,192,381
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 163","Saint-Apollinaire",0,1,20,9,112,24,2,3,3,174,335
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 164","Saint-Apollinaire",3,0,37,22,171,60,2,7,5,307,590
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 165","Saint-Apollinaire",2,0,20,5,75,27,2,5,2,138,340
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 166","Saint-Apollinaire",3,0,31,19,151,61,1,9,7,282,600
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 167","Saint-Apollinaire",3,0,13,9,120,37,1,7,7,197,498
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 168","Saint-Apollinaire",4,0,11,8,57,22,2,7,4,115,353
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 169","Saint-Agapit",1,0,10,6,73,16,3,3,2,114,243
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 170","Saint-Agapit",5,0,14,13,97,32,3,4,4,172,387
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 171","Saint-Agapit",5,0,17,19,116,41,0,6,2,206,493
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 172","Saint-Agapit",0,0,11,6,79,10,1,6,0,113,269
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 173","Saint-Agapit",3,0,18,14,121,24,4,7,2,193,416
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 174","Saint-Agapit",0,0,16,16,59,22,0,5,4,122,346
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 175","Saint-Agapit",3,0,16,10,70,13,0,3,2,117,283
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 176","Saint-Agapit",6,1,28,21,116,32,4,4,4,216,496
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 177","Saint-Agapit",7,0,15,3,111,31,1,8,3,179,402
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 178","Sainte-Croix",0,0,13,19,57,29,0,11,3,132,298
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 179","Sainte-Croix",2,1,17,2,81,29,1,5,6,144,276
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 180","Sainte-Croix",0,1,17,13,70,22,1,5,4,133,317
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 181","Sainte-Croix",2,0,6,4,41,13,1,5,0,72,231
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 182","Sainte-Croix",1,0,6,10,88,20,3,3,2,133,306
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 183","Sainte-Croix",6,1,12,2,55,15,1,3,2,97,250
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 184","Sainte-Croix",0,0,26,5,69,17,0,3,3,123,248
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 185","Saint-Narcisse",1,0,7,5,202,16,0,8,1,240,354
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 186","Saint-Narcisse",2,0,7,10,133,11,0,11,2,176,268
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 187","Saint-Narcisse",3,0,5,2,150,14,1,6,3,184,232
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 188","Notre-Dame-du-Sacré-Coeur-d'Issoudun",0,0,17,15,91,14,1,4,2,144,264
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 189","Notre-Dame-du-Sacré-Coeur-d'Issoudun",1,1,10,10,129,29,2,8,5,195,356
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 190","Saint-Gilles",2,0,8,6,76,14,3,4,2,115,282
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 191","Saint-Gilles",2,0,14,8,134,35,0,14,4,211,344
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 192","Saint-Gilles",2,0,19,10,142,23,2,11,3,212,367
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 193","Saint-Gilles",0,0,19,7,99,18,3,3,6,155,258
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 194","Saint-Gilles",1,0,11,18,194,29,0,11,1,265,440
