Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Orrin Bliss,Jonathan Bridges,Tom Lipp,Michael MacLean,Getu Shawile,Martin Shields,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48003,"Bow River/Bow River"," 157","Carmangay",4,16,0,6,15,138,3,182,408
48003,"Bow River/Bow River"," 158","Enchant",15,39,6,4,6,146,1,217,442
48003,"Bow River/Bow River"," 159","Rolling Hills",6,18,1,10,5,144,0,184,354
48003,"Bow River/Bow River"," 160","Vauxhall",8,31,7,7,2,166,1,222,353
48003,"Bow River/Bow River"," 161","Vauxhall",3,45,1,16,6,162,0,233,539
48003,"Bow River/Bow River"," 162","Vauxhall",4,25,0,9,7,73,0,118,272
48003,"Bow River/Bow River"," 163","Retlaw",0,4,1,4,4,50,2,65,274
48003,"Bow River/Bow River"," 164","Taber--Purple Springs",4,39,2,7,2,124,2,180,441
48003,"Bow River/Bow River"," 165","Taber",2,18,1,19,6,203,0,249,611
48003,"Bow River/Bow River"," 166","Taber",2,30,1,22,7,120,1,183,462
48003,"Bow River/Bow River"," 167","Taber",3,30,2,19,9,88,2,153,485
48003,"Bow River/Bow River"," 168","Taber",4,31,0,21,6,115,1,178,525
48003,"Bow River/Bow River"," 169","Taber",2,15,0,14,5,107,0,143,432
48003,"Bow River/Bow River"," 170","Taber",1,21,1,22,6,77,2,130,440
48003,"Bow River/Bow River"," 171","Taber",4,26,3,20,12,161,1,227,584
48003,"Bow River/Bow River"," 172","Taber",5,12,2,22,11,91,1,144,507
48003,"Bow River/Bow River"," 173","Taber",1,16,4,15,2,101,0,139,430
48003,"Bow River/Bow River"," 174","Taber",3,9,0,8,10,77,1,108,397
48003,"Bow River/Bow River"," 175","Taber",4,18,1,12,6,99,5,145,396
48003,"Bow River/Bow River"," 176","Taber",4,25,2,17,7,95,1,151,485
48003,"Bow River/Bow River"," 177","Taber",5,23,0,14,2,86,1,131,438
48003,"Bow River/Bow River"," 178","Hays",1,20,3,9,2,149,0,184,330
48003,"Bow River/Bow River"," 179","Barnwell",3,25,7,14,8,135,0,192,435
48003,"Bow River/Bow River"," 180","Cranford",1,20,4,3,1,59,0,88,252
48003,"Bow River/Bow River"," 181","Barnwell",2,51,1,22,5,161,1,243,471
48003,"Bow River/Bow River"," 182","Barnwell",5,22,1,6,2,81,0,117,315
48003,"Bow River/Bow River"," 183","Taber",2,27,0,4,2,126,2,163,483
48003,"Bow River/Bow River"," 184","Purple Springs",1,42,0,7,2,85,1,138,487
48003,"Bow River/Bow River"," 185","Purple Springs",2,25,0,4,4,50,1,86,343
48003,"Bow River/Bow River"," 500","Mobile poll/Bureau itinérant",A poll could not be held due to pandemic or emergency situation./Le scrutin n'a pas pu avoir lieu en raison de la pandémie ou d'une situation d'urgence.,,,,,,,,17
48003,"Bow River/Bow River"," 501","Mobile poll/Bureau itinérant",0,1,1,0,1,26,1,30,43
48003,"Bow River/Bow River"," 502","Mobile poll/Bureau itinérant",A poll could not be held due to pandemic or emergency situation./Le scrutin n'a pas pu avoir lieu en raison de la pandémie ou d'une situation d'urgence.,,,,,,,,3
48003,"Bow River/Bow River"," 503","Mobile poll/Bureau itinérant",A poll could not be held due to pandemic or emergency situation./Le scrutin n'a pas pu avoir lieu en raison de la pandémie ou d'une situation d'urgence.,,,,,,,,88
48003,"Bow River/Bow River"," 504","Mobile poll/Bureau itinérant",0,2,1,5,4,48,2,62,94
48003,"Bow River/Bow River"," 505","Mobile poll/Bureau itinérant",0,4,1,0,1,17,0,23,23
48003,"Bow River/Bow River"," 506","Mobile poll/Bureau itinérant",0,0,1,0,1,6,0,8,9
48003,"Bow River/Bow River"," 507","Mobile poll/Bureau itinérant",0,1,0,1,0,5,0,7,9
48003,"Bow River/Bow River"," 508","Mobile poll/Bureau itinérant",1,2,0,2,2,12,2,21,28
48003,"Bow River/Bow River"," 509","Mobile poll/Bureau itinérant",1,1,2,0,3,23,1,31,33
48003,"Bow River/Bow River"," 510","Mobile poll/Bureau itinérant",0,1,1,9,4,36,2,53,54
48003,"Bow River/Bow River"," 511","Mobile poll/Bureau itinérant",A poll could not be held due to pandemic or emergency situation./Le scrutin n'a pas pu avoir lieu en raison de la pandémie ou d'une situation d'urgence.,,,,,,,,123
48003,"Bow River/Bow River"," 512","Mobile poll/Bureau itinérant",0,0,0,1,1,7,1,10,16
48003,"Bow River/Bow River"," 513","Mobile poll/Bureau itinérant",A poll could not be held due to pandemic or emergency situation./Le scrutin n'a pas pu avoir lieu en raison de la pandémie ou d'une situation d'urgence.,,,,,,,,57
48003,"Bow River/Bow River"," 514","Mobile poll/Bureau itinérant",1,0,0,3,0,29,1,34,43
48003,"Bow River/Bow River"," 515","Mobile poll/Bureau itinérant",4,1,1,1,2,10,2,21,22
48003,"Bow River/Bow River"," 600","Kneehill County",27,90,4,32,14,445,1,613,
48003,"Bow River/Bow River"," 601","Rocky View County--Irricana",20,94,1,69,124,735,0,1043,
48003,"Bow River/Bow River"," 602","Chestermere",14,39,1,97,172,740,3,1066,
48003,"Bow River/Bow River"," 603","Chestermere",26,83,2,130,140,941,3,1325,
48003,"Bow River/Bow River"," 604","Chestermere--Rocky View County",33,90,2,142,160,1140,2,1569,
48003,"Bow River/Bow River"," 605","Langdon",23,53,6,45,22,452,1,602,
48003,"Bow River/Bow River"," 606","Rocky View County--Wheatland County",25,48,6,26,18,418,0,541,
48003,"Bow River/Bow River"," 607","Strathmore",34,73,9,148,74,889,5,1232,
48003,"Bow River/Bow River"," 608","Strathmore",45,102,6,169,119,1240,4,1685,
48003,"Bow River/Bow River"," 609","Standard--Wheatland County",13,40,1,20,11,295,2,382,
48003,"Bow River/Bow River"," 610","Bassano--Newell County",21,37,1,24,8,368,0,459,
48003,"Bow River/Bow River"," 611","Arrowwood",4,28,0,35,26,145,0,238,
48003,"Bow River/Bow River"," 612","Vulcan",65,65,10,62,31,723,1,957,
48003,"Bow River/Bow River"," 613","Newell County--Duchess",20,65,3,20,4,381,1,494,
48003,"Bow River/Bow River"," 614","Brooks",38,71,2,91,46,1108,11,1367,
48003,"Bow River/Bow River"," 615","Newell County--Brooks",40,65,8,42,45,713,10,923,
48003,"Bow River/Bow River"," 616","Taber--Vauxhall",14,229,12,21,9,512,0,797,
48003,"Bow River/Bow River"," 617","Taber",21,296,24,77,55,1212,11,1696,
48003,"Bow River/Bow River",,Group 1/Groupe 1, 9,38,3,65,27,362,28,532,101
48003,"Bow River/Bow River",,Group 2/Groupe 2, 66,70,17,158,130,1106,40,1587,
