Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Dunham,Dane Lloyd,Murray MacKinnon,Kendra Mills,Irene Walker,Jeffrey Willerton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 130","Spruce Grove",7,140,21,69,18,0,1,256,588
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 131A","Spruce Grove",Merged with No./Fusionné avec le n°133A,,,,,,,,114
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 131B","Spruce Grove",Merged with No./Fusionné avec le n°133B,,,,,,,,106
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 132","Spruce Grove",2,72,23,69,16,0,0,182,458
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 133A","Spruce Grove",0,99,26,53,5,0,0,183,277
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 133B","Spruce Grove",0,116,14,53,6,0,0,189,299
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 134","Spruce Grove",6,111,20,67,14,2,1,221,484
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 135","Spruce Grove",4,108,23,30,11,3,2,181,433
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 136","Spruce Grove",2,109,19,64,24,0,2,220,479
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 137A","Stony Plain",5,89,15,29,8,1,0,147,302
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 137B","Stony Plain",4,104,24,39,14,0,1,186,334
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 137C","Mobile poll/Bureau itinérant",2,17,0,2,1,0,1,23,42
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 138","Stony Plain",2,63,30,35,6,3,1,140,520
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 139","Stony Plain",4,86,24,42,9,0,2,167,438
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 140","Stony Plain",7,103,18,28,15,1,1,173,411
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 141","Stony Plain",1,65,17,23,10,1,2,119,342
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 142","Stony Plain",1,103,27,41,10,2,0,184,458
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 143","Stony Plain",5,85,20,34,3,1,2,150,493
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 144A","Stony Plain",Merged with No./Fusionné avec le n°137A,,,,,,,,160
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 144B","Stony Plain",Merged with No./Fusionné avec le n°137B,,,,,,,,157
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 145","Stony Plain",3,98,20,30,13,0,0,164,541
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 146","Stony Plain",5,82,15,28,13,2,0,145,551
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 147","Stony Plain",2,127,23,48,5,0,0,205,565
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 148","Stony Plain",5,90,12,23,6,1,0,137,387
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 149","Stony Plain",4,67,11,38,10,1,0,131,355
