Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathalie Boisclair,Nancy Cardin,Pierre Chénier,Kalden Dhatsenpa,Isabelle Lalonde,Tiny Olinga,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 103","Longueuil",54,3,0,18,14,3,51,3,146,426
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 104","Longueuil",57,0,0,17,11,4,81,6,176,591
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 105","Longueuil",46,1,1,17,5,4,50,3,127,361
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 106","Longueuil",56,2,0,18,21,2,43,7,149,435
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 107","Longueuil",18,10,0,9,11,3,28,2,81,359
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 108","Longueuil",27,3,0,21,6,8,24,2,91,349
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 109","Longueuil",38,4,0,15,18,7,67,5,154,454
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 110","Longueuil",68,0,0,18,14,8,49,4,161,516
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 111","Longueuil",53,7,0,23,8,2,30,4,127,409
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 112","Longueuil",44,8,0,18,17,13,83,2,185,481
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 113","Longueuil",48,3,0,18,10,12,79,5,175,383
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 114","Longueuil",39,3,0,15,10,6,36,2,111,348
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 115","Longueuil",76,3,0,13,14,2,56,2,166,404
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 116","Longueuil",54,5,2,19,23,2,67,2,174,433
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 117","Longueuil",49,5,0,32,11,7,48,4,156,385
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 118","Longueuil",64,6,1,19,11,0,57,2,160,349
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 119","Longueuil",52,2,0,8,14,5,60,2,143,357
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 120","Longueuil",48,3,1,18,12,7,68,7,164,442
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 121","Longueuil",75,7,0,16,6,11,67,4,186,470
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 122","Longueuil",45,2,1,9,7,11,39,1,115,414
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 123","Longueuil",44,3,1,21,22,7,61,0,159,413
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 124","Longueuil",62,4,0,12,11,8,69,6,172,475
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 125","Longueuil",33,6,0,22,21,4,110,2,198,361
