Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Albas,Sarah Eves,Kathryn Mcdonald,Joan Phillip,Brennan Wauters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 133","Kelowna",58,40,5,38,6,0,147,439
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 134A","Kelowna",Merged with No./Fusionné avec le n°135B,,,,,,,171
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 134B","Kelowna",79,67,9,50,6,1,212,625
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 135A","Kelowna",65,48,17,59,7,1,197,458
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 135B","Kelowna",70,37,13,68,5,0,193,453
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 136","Tsinstikeptum 9",55,35,21,47,17,3,178,641
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 137","West Kelowna",118,38,8,28,2,0,194,608
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 138","West Kelowna",81,21,9,23,5,0,139,490
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 139","Tsinstikeptum 9",59,31,8,39,4,0,141,443
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 140","West Kelowna",51,26,8,7,3,0,95,308
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 141","West Kelowna",76,52,9,27,2,0,166,491
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 142","Tsinstikeptum 9",63,22,13,29,3,1,131,521
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 143","West Kelowna",99,27,20,24,2,0,172,534
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 144","West Kelowna",56,33,15,27,3,0,134,519
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 145","West Kelowna",81,35,18,60,8,0,202,644
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 146","West Kelowna",40,23,7,26,5,0,101,427
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 147","Tsinstikeptum 9",49,28,4,22,3,0,106,380
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 148","West Kelowna",35,13,3,9,2,0,62,325
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 149","West Kelowna",50,20,6,15,2,0,93,365
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 150","Tsinstikeptum 9",68,42,18,36,4,1,169,576
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 151","West Kelowna",58,24,7,14,1,0,104,440
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 152","Kelowna",103,60,10,56,7,0,236,711
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 153","Kelowna",51,36,10,22,3,0,122,483
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 154","Kelowna",96,46,9,44,5,0,200,533
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 155","Kelowna",69,38,6,36,8,0,157,398
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 156","Kelowna",42,32,7,22,3,0,106,391
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 157","Osprey Lake",86,19,8,30,6,2,151,530
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 158","Princeton",65,15,5,30,1,0,116,539
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 159","Princeton",60,21,9,31,6,0,127,443
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 160","Princeton",25,10,6,19,3,0,63,321
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 161A","Princeton",Merged with No./Fusionné avec le n°163,,,,,,,72
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 161B","Princeton",82,29,7,45,4,0,167,610
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 162","Princeton",69,16,10,32,5,0,132,498
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 163","Princeton",99,27,16,50,3,0,195,539
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 164A","Summerland",Merged with No./Fusionné avec le n°166,,,,,,,80
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 164B","Summerland",95,46,15,58,11,0,225,556
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 165","Summerland",69,35,15,53,7,0,179,527
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 166","Summerland",73,35,5,31,5,0,149,458
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 167","Summerland",64,23,12,43,5,0,147,487
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 168","Summerland",58,28,9,37,5,0,137,441
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 169","Summerland",65,35,13,42,10,1,166,572
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 170","Summerland",68,50,16,39,8,0,181,494
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 171","Summerland",50,35,20,39,4,0,148,439
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 172","Summerland",64,42,6,30,3,0,145,476
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 173","Summerland",61,35,11,34,13,0,154,448
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 174","Summerland",69,43,10,43,8,0,173,530
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 175","Summerland",61,48,7,22,2,1,141,458
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 176","Summerland",68,41,4,48,3,0,164,469
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 177","Summerland",48,20,8,25,4,0,105,447
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 178","Summerland",70,42,11,49,3,2,177,498
