Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Keira Gunn,Jasraj Singh Hallan,Dwayne Holub,Carey Rutherford,Jordan Stein,Jonathan Trautman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 139","Calgary",23,71,20,1,37,1,4,157,405
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 140","Calgary",30,61,10,3,23,0,3,130,370
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 141","Calgary",25,45,13,3,33,2,1,122,423
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 142","Calgary",36,53,16,3,9,1,1,119,443
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 143","Calgary",18,39,6,3,25,0,1,92,447
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 144","Calgary",21,32,14,8,22,1,0,98,425
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 145","Calgary",22,50,11,3,21,3,2,112,451
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 146","Calgary",21,51,9,4,20,0,4,109,409
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 147","Calgary",34,86,27,4,29,0,0,180,393
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 148","Calgary",16,80,16,6,28,0,3,149,358
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 149","Calgary",25,47,7,4,13,1,0,97,290
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 150","Calgary",34,83,7,3,20,1,2,150,320
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 151","Calgary",24,69,11,1,32,0,2,139,414
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 152","Calgary",28,56,12,6,27,2,2,133,375
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 153","Calgary",28,35,12,1,29,0,0,105,428
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 154","Calgary",24,62,18,5,29,1,2,141,387
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 155","Calgary",30,65,17,2,47,0,4,165,466
