Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rayna Boychuk,Michael Chang,Kaija Farstad,Kim Richter,Tako Van Popta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Langley--Aldergrove/Langley--Aldergrove"," 151B","Langley",Merged with No./Fusionné avec le n°150B,,,,,,,109
59016,"Langley--Aldergrove/Langley--Aldergrove"," 151C","Langley",Merged with No./Fusionné avec le n°150C,,,,,,,132
59016,"Langley--Aldergrove/Langley--Aldergrove"," 151D","Langley",Merged with No./Fusionné avec le n°150D,,,,,,,120
59016,"Langley--Aldergrove/Langley--Aldergrove"," 151E","Langley",Merged with No./Fusionné avec le n°150E,,,,,,,51
59016,"Langley--Aldergrove/Langley--Aldergrove"," 152A","Langley",Merged with No./Fusionné avec le n°150A,,,,,,,103
59016,"Langley--Aldergrove/Langley--Aldergrove"," 152B","Langley",Merged with No./Fusionné avec le n°150B,,,,,,,108
59016,"Langley--Aldergrove/Langley--Aldergrove"," 152C","Langley",Merged with No./Fusionné avec le n°150C,,,,,,,86
59016,"Langley--Aldergrove/Langley--Aldergrove"," 152D","Langley",Merged with No./Fusionné avec le n°150D,,,,,,,73
59016,"Langley--Aldergrove/Langley--Aldergrove"," 152E","Langley",Merged with No./Fusionné avec le n°150E,,,,,,,45
59016,"Langley--Aldergrove/Langley--Aldergrove"," 153A","Langley",Merged with No./Fusionné avec le n°150A,,,,,,,74
59016,"Langley--Aldergrove/Langley--Aldergrove"," 153B","Langley",Merged with No./Fusionné avec le n°150B,,,,,,,85
59016,"Langley--Aldergrove/Langley--Aldergrove"," 153C","Langley",Merged with No./Fusionné avec le n°150C,,,,,,,104
59016,"Langley--Aldergrove/Langley--Aldergrove"," 153D","Langley",Merged with No./Fusionné avec le n°150D,,,,,,,96
59016,"Langley--Aldergrove/Langley--Aldergrove"," 153E","Langley",Merged with No./Fusionné avec le n°150E,,,,,,,54
59016,"Langley--Aldergrove/Langley--Aldergrove"," 154A","Langley",Merged with No./Fusionné avec le n°150A,,,,,,,96
59016,"Langley--Aldergrove/Langley--Aldergrove"," 154B","Langley",Merged with No./Fusionné avec le n°150B,,,,,,,85
59016,"Langley--Aldergrove/Langley--Aldergrove"," 154C","Langley",Merged with No./Fusionné avec le n°150C,,,,,,,71
59016,"Langley--Aldergrove/Langley--Aldergrove"," 154D","Langley",Merged with No./Fusionné avec le n°150D,,,,,,,74
59016,"Langley--Aldergrove/Langley--Aldergrove"," 154E","Langley",Merged with No./Fusionné avec le n°150E,,,,,,,86
59016,"Langley--Aldergrove/Langley--Aldergrove"," 155A","Langley",Merged with No./Fusionné avec le n°150A,,,,,,,100
59016,"Langley--Aldergrove/Langley--Aldergrove"," 155B","Langley",Merged with No./Fusionné avec le n°150B,,,,,,,92
59016,"Langley--Aldergrove/Langley--Aldergrove"," 155C","Langley",Merged with No./Fusionné avec le n°150C,,,,,,,89
59016,"Langley--Aldergrove/Langley--Aldergrove"," 155D","Langley",Merged with No./Fusionné avec le n°150D,,,,,,,101
59016,"Langley--Aldergrove/Langley--Aldergrove"," 155E","Langley",Merged with No./Fusionné avec le n°150E,,,,,,,69
59016,"Langley--Aldergrove/Langley--Aldergrove"," 156A","Langley",Merged with No./Fusionné avec le n°150A,,,,,,,102
59016,"Langley--Aldergrove/Langley--Aldergrove"," 156B","Langley",Merged with No./Fusionné avec le n°150B,,,,,,,111
59016,"Langley--Aldergrove/Langley--Aldergrove"," 156C","Langley",Merged with No./Fusionné avec le n°150C,,,,,,,113
59016,"Langley--Aldergrove/Langley--Aldergrove"," 156D","Langley",Merged with No./Fusionné avec le n°150D,,,,,,,91
59016,"Langley--Aldergrove/Langley--Aldergrove"," 156E","Langley",Merged with No./Fusionné avec le n°150E,,,,,,,45
59016,"Langley--Aldergrove/Langley--Aldergrove"," 157","Langley",13,38,5,27,95,0,178,556
59016,"Langley--Aldergrove/Langley--Aldergrove"," 158","Langley",15,38,3,33,79,0,168,460
59016,"Langley--Aldergrove/Langley--Aldergrove"," 159","Langley",12,41,5,30,46,0,134,443
59016,"Langley--Aldergrove/Langley--Aldergrove"," 160","Langley",10,26,6,29,57,0,128,420
59016,"Langley--Aldergrove/Langley--Aldergrove"," 161","Langley",8,38,4,31,55,0,136,442
59016,"Langley--Aldergrove/Langley--Aldergrove"," 162","Langley",3,38,4,39,49,1,134,502
59016,"Langley--Aldergrove/Langley--Aldergrove"," 163","Langley",8,31,9,31,67,1,147,442
59016,"Langley--Aldergrove/Langley--Aldergrove"," 164","Langley",9,42,5,42,63,0,161,546
59016,"Langley--Aldergrove/Langley--Aldergrove"," 165","Langley",1,64,5,56,101,3,230,583
59016,"Langley--Aldergrove/Langley--Aldergrove"," 166","Langley",9,14,5,42,66,0,136,413
59016,"Langley--Aldergrove/Langley--Aldergrove"," 167","Langley",13,52,7,51,104,0,227,509
59016,"Langley--Aldergrove/Langley--Aldergrove"," 168","Langley",8,34,4,32,62,0,140,411
59016,"Langley--Aldergrove/Langley--Aldergrove"," 169","Langley",13,57,16,62,136,1,285,395
59016,"Langley--Aldergrove/Langley--Aldergrove"," 170","Langley",11,80,6,37,83,0,217,560
59016,"Langley--Aldergrove/Langley--Aldergrove"," 171","Langley",Merged with No./Fusionné avec le n°169,,,,,,,377
59016,"Langley--Aldergrove/Langley--Aldergrove"," 172","Abbotsford",8,59,4,93,82,1,247,654
59016,"Langley--Aldergrove/Langley--Aldergrove"," 173","Abbotsford",12,28,5,50,86,0,181,497
59016,"Langley--Aldergrove/Langley--Aldergrove"," 174","Abbotsford",11,60,1,60,93,0,225,706
59016,"Langley--Aldergrove/Langley--Aldergrove"," 175","Abbotsford",Void/Supprimé,,,,,,,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 176","Abbotsford",6,53,3,53,95,1,211,521
59016,"Langley--Aldergrove/Langley--Aldergrove"," 177","Abbotsford",12,70,3,148,79,1,313,852
59016,"Langley--Aldergrove/Langley--Aldergrove"," 178","Langley",12,36,5,44,82,1,180,558
59016,"Langley--Aldergrove/Langley--Aldergrove"," 179","Langley",2,48,7,24,45,0,126,394
59016,"Langley--Aldergrove/Langley--Aldergrove"," 180","Langley",9,30,9,26,35,0,109,454
59016,"Langley--Aldergrove/Langley--Aldergrove"," 181","Langley",12,47,8,51,56,1,175,478
59016,"Langley--Aldergrove/Langley--Aldergrove"," 182","Langley",18,48,10,46,66,3,191,478
59016,"Langley--Aldergrove/Langley--Aldergrove"," 183","Langley",15,19,8,51,69,0,162,401
59016,"Langley--Aldergrove/Langley--Aldergrove"," 184","Langley",13,52,6,54,98,0,223,588
