Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Falk,Nöel Gautron,Janine G. Gibson,Trevor Kirczenow,Rick Loewen,Serina Pottinger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 134","Grunthal",135,53,2,14,4,9,0,217,398
46008,"Provencher/Provencher"," 135","Grunthal",172,55,4,8,1,13,0,253,502
46008,"Provencher/Provencher"," 136","Grunthal",136,58,9,3,5,16,3,230,415
46008,"Provencher/Provencher"," 137","Grunthal",152,48,0,15,3,15,6,239,375
46008,"Provencher/Provencher"," 138","Barkfield",201,66,3,12,19,15,1,317,511
46008,"Provencher/Provencher"," 139","Sarto",137,52,8,16,7,8,1,229,410
46008,"Provencher/Provencher"," 140","Sarto",94,61,9,15,8,8,2,197,369
46008,"Provencher/Provencher"," 141","Dufrost",39,13,2,12,2,7,1,76,206
46008,"Provencher/Provencher"," 142","St. Malo",112,26,6,73,5,33,4,259,611
46008,"Provencher/Provencher"," 143","St. Malo",108,23,5,16,7,26,1,186,405
46008,"Provencher/Provencher"," 144A","St. Malo",82,29,4,26,4,41,0,186,445
46008,"Provencher/Provencher"," 144B","Mobile poll/Bureau itinérant",18,1,2,14,2,5,0,42,86
46008,"Provencher/Provencher"," 145","Woodridge",110,70,12,60,4,26,3,285,506
46008,"Provencher/Provencher"," 146","St. Jean Baptiste",162,38,5,42,0,22,5,274,453
