Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Henry,Jeremy Hull,Kevin Mitchell,Sudit Ranade,Lianne Rood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 182","Chatham-Kent",25,1,35,15,84,1,161,379
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 183","Chatham-Kent",Merged with No./Fusionné avec le n°184,,,,,,,320
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 184","Chatham-Kent",39,4,35,40,135,1,254,345
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 185","Chatham-Kent",36,7,44,25,48,0,160,400
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 186","Chatham-Kent",31,2,42,33,73,0,181,384
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 187","Chatham-Kent",44,1,44,41,119,4,253,535
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 188","Chatham-Kent",36,4,30,32,42,1,145,319
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 189","Chatham-Kent",27,1,31,30,59,0,148,461
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 190","Chatham-Kent",41,5,39,28,58,2,173,336
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 191","Chatham-Kent",38,2,22,25,47,1,135,381
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 192","Chatham-Kent",25,1,27,16,39,0,108,455
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 193","Chatham-Kent",Merged with No./Fusionné avec le n°190,,,,,,,252
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 194","Chatham-Kent",28,1,34,26,38,0,127,411
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 195","Chatham-Kent",21,2,24,21,43,0,111,352
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 196","Chatham-Kent",36,2,37,26,77,0,178,523
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 197","Chatham-Kent",23,0,12,25,77,1,138,338
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 198","Chatham-Kent",17,0,14,36,53,0,120,307
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 199","Chatham-Kent",17,3,35,24,97,0,176,520
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 200","Chatham-Kent",22,6,17,30,92,0,167,365
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 201","Chatham-Kent",38,4,44,63,159,6,314,330
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 202","Chatham-Kent",20,3,7,44,86,0,160,401
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 203","Walpole Island 46",195,1,9,27,25,1,258,1286
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 204","Chatham Kent ",Void/Supprimé,,,,,,,
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 205","Chatham-Kent",21,0,19,31,70,2,143,361
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 206","Chatham-Kent",28,7,19,27,63,2,146,363
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 207","Chatham-Kent",27,4,20,45,106,0,202,496
