Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Glenn Etchegary,Dana Metcalfe,Mary Shortall,Joanne Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 608","St. John's",117,9,194,412,2,734,
10006,"St. John's East/St. John's-Est"," 609","St. John's",144,3,187,432,4,770,
10006,"St. John's East/St. John's-Est"," 610","St. John's",100,8,139,284,4,535,
10006,"St. John's East/St. John's-Est"," 611","St. John's",78,7,169,237,4,495,
10006,"St. John's East/St. John's-Est"," 612","St. John's",92,6,116,187,1,402,
10006,"St. John's East/St. John's-Est"," 613","St. John's",129,18,123,277,0,547,
10006,"St. John's East/St. John's-Est"," 614","Portugal Cove-St. Philip's",140,12,132,280,7,571,
10006,"St. John's East/St. John's-Est"," 615","Portugal Cove-St. Philip's",77,7,74,119,6,283,
10006,"St. John's East/St. John's-Est"," 616","Wabana",133,17,53,77,10,290,
10006,"St. John's East/St. John's-Est",,Group 1/Groupe 1, 112,6,152,179,17,466,158
10006,"St. John's East/St. John's-Est",,Group 2/Groupe 2, 713,41,1476,2682,73,4985,
