Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kerry-Lynne Findlay,Gordie Hogg,Gary Jensen,June Liu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 52","Surrey",58,64,6,32,0,160,557
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 53","Surrey",72,77,7,40,0,196,549
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 54","Surrey",70,129,5,51,0,255,798
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 55","Surrey",69,68,3,38,1,179,474
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 56","Surrey",63,59,5,58,0,185,580
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 57","Surrey",61,63,10,24,4,162,496
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 58","Surrey",65,60,2,27,1,155,578
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 59","Surrey",66,65,19,53,0,203,672
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 60","Surrey",38,32,1,6,0,77,471
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 61","Surrey",74,76,10,51,1,212,533
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 62","Surrey",66,47,3,21,1,138,463
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 63","Surrey",101,53,8,32,0,194,523
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 64","Surrey",62,36,2,12,0,112,500
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 65","Surrey",88,78,9,25,1,201,566
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 66","Surrey",38,37,4,21,0,100,436
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 67","Surrey",42,60,6,12,0,120,476
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 68","Surrey",33,44,6,22,0,105,514
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 69","Surrey",60,104,9,27,1,201,511
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 70","Surrey",86,110,8,53,5,262,705
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 71","Surrey",39,106,5,32,0,182,519
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 72","Surrey",134,60,4,20,0,218,609
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 73","Surrey",66,83,7,29,1,186,554
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 74","Surrey",101,90,2,26,0,219,648
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 75","Surrey",111,72,11,25,1,220,663
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 76","Surrey",58,34,10,20,1,123,377
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 77","Surrey",70,56,2,27,0,155,511
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 78","Surrey",56,77,13,35,1,182,515
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 79","Surrey",46,59,5,27,0,137,526
