Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Paul Connors,Steve Kent,Alexander Tilley,Judy Vanta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10001,"Avalon/Avalon"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,48
10001,"Avalon/Avalon"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,99
10001,"Avalon/Avalon"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,75
10001,"Avalon/Avalon"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°400,,,,,,15
10001,"Avalon/Avalon"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°85B,,,,,,14
10001,"Avalon/Avalon"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,20
10001,"Avalon/Avalon"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,24
10001,"Avalon/Avalon"," 600","Victoria",181,136,1,10,0,328,
10001,"Avalon/Avalon"," 601","Carbonear",651,263,4,52,19,989,
10001,"Avalon/Avalon"," 602","Harbour Grace--Bristol's Hope",379,186,3,22,4,594,
10001,"Avalon/Avalon"," 603","Upper Island Cove",177,108,1,16,5,307,
10001,"Avalon/Avalon"," 604","Spaniard's Bay",252,144,2,11,6,415,
10001,"Avalon/Avalon"," 605","Bay Roberts",617,304,5,34,7,967,
10001,"Avalon/Avalon"," 606","Clarke's Beach",382,265,2,21,8,678,
10001,"Avalon/Avalon"," 607","Avondale",342,232,6,26,10,616,
10001,"Avalon/Avalon"," 608","Conception Bay South",803,409,3,53,0,1268,
10001,"Avalon/Avalon"," 609","Conception Bay South",627,320,5,38,3,993,
10001,"Avalon/Avalon"," 610","Conception Bay South",644,227,3,40,0,914,
10001,"Avalon/Avalon"," 611","Conception Bay South",1337,318,3,58,18,1734,
10001,"Avalon/Avalon"," 612","St. John's",1133,281,3,28,2,1447,
10001,"Avalon/Avalon"," 613","St. John's",1013,403,9,63,6,1494,
10001,"Avalon/Avalon"," 614","Bay Bulls",338,233,0,21,0,592,
10001,"Avalon/Avalon"," 615","Tors Cove",113,64,2,18,5,202,
10001,"Avalon/Avalon"," 616","Holyrood",417,227,2,29,5,680,
10001,"Avalon/Avalon"," 617","St. Joseph's",141,52,0,10,0,203,
10001,"Avalon/Avalon"," 618","St. Mary's",106,40,1,4,1,152,
10001,"Avalon/Avalon"," 619","Ferryland",145,51,1,7,1,205,
10001,"Avalon/Avalon"," 620","Trepassey",63,42,0,3,6,114,
10001,"Avalon/Avalon",,Group 1/Groupe 1, 478,278,5,31,32,824,87
10001,"Avalon/Avalon",,Group 2/Groupe 2, 1716,1103,8,86,61,2974,
