Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michelle Ferreri,Matthew Grove,Emma Harrison,Chad Jewell,Jami-Leigh McMaster,Jazmine Raine,Heather Ray,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Peterborough/Peterborough"," 208","Peterborough",87,0,110,0,0,2,8,0,207,490
35086,"Peterborough/Peterborough"," 209","Peterborough",98,1,89,0,1,1,3,1,194,484
35086,"Peterborough/Peterborough"," 210","Peterborough",114,1,80,3,0,3,0,1,202,462
35086,"Peterborough/Peterborough"," 211","Peterborough",78,0,85,3,3,1,3,0,173,388
35086,"Peterborough/Peterborough"," 212","Peterborough",72,1,82,1,0,1,9,1,167,470
35086,"Peterborough/Peterborough"," 213","Peterborough",81,1,89,0,1,1,7,0,180,437
35086,"Peterborough/Peterborough"," 214","Peterborough",87,3,74,0,1,1,12,0,178,445
35086,"Peterborough/Peterborough"," 215","Peterborough",88,0,73,1,2,0,6,1,171,410
35086,"Peterborough/Peterborough"," 216","Peterborough",73,0,64,0,1,3,7,0,148,395
35086,"Peterborough/Peterborough"," 217","Peterborough",68,0,68,0,0,1,7,0,144,376
35086,"Peterborough/Peterborough"," 218","Peterborough",59,0,39,2,0,0,8,0,108,371
35086,"Peterborough/Peterborough"," 219","Peterborough",47,0,78,0,0,1,1,0,127,352
35086,"Peterborough/Peterborough"," 220","Peterborough",68,0,76,1,1,2,4,0,152,329
35086,"Peterborough/Peterborough"," 221","Peterborough",59,0,76,1,1,3,0,0,140,356
35086,"Peterborough/Peterborough"," 222","Peterborough",56,0,58,1,0,3,8,0,126,333
35086,"Peterborough/Peterborough"," 223","Peterborough",34,0,66,0,2,0,8,0,110,321
35086,"Peterborough/Peterborough"," 224","Peterborough",90,2,74,0,2,3,2,0,173,471
35086,"Peterborough/Peterborough"," 225","Peterborough",70,2,81,2,1,5,6,0,167,440
35086,"Peterborough/Peterborough"," 226","Peterborough",92,0,87,1,0,0,3,1,184,496
35086,"Peterborough/Peterborough"," 227","Peterborough",87,0,50,1,0,0,9,0,147,428
35086,"Peterborough/Peterborough"," 228","Peterborough",68,0,74,0,2,3,5,0,152,394
35086,"Peterborough/Peterborough"," 229","Peterborough",42,0,55,1,2,2,5,1,108,381
35086,"Peterborough/Peterborough"," 230","Peterborough",42,2,42,1,0,0,5,0,92,316
35086,"Peterborough/Peterborough"," 231","Peterborough",60,2,66,2,0,1,9,1,141,411
35086,"Peterborough/Peterborough"," 232","Peterborough",51,0,94,0,0,1,2,0,148,441
35086,"Peterborough/Peterborough"," 233","Peterborough",89,0,77,0,1,4,6,1,178,390
35086,"Peterborough/Peterborough"," 234","Peterborough",55,0,89,0,0,0,5,4,153,374
35086,"Peterborough/Peterborough"," 235","Peterborough",72,0,76,0,0,4,3,1,156,384
35086,"Peterborough/Peterborough"," 236","Peterborough",72,1,79,0,0,0,13,0,165,409
35086,"Peterborough/Peterborough"," 237","Peterborough",84,0,65,0,1,0,5,0,155,458
35086,"Peterborough/Peterborough"," 238","Keene",76,0,46,0,2,0,2,0,126,341
35086,"Peterborough/Peterborough"," 239","Keene",68,0,51,1,0,2,5,1,128,378
35086,"Peterborough/Peterborough"," 240","Keene",69,3,39,0,0,0,4,0,115,275
35086,"Peterborough/Peterborough"," 241","Otonabee-South Monaghan",80,0,65,1,1,1,7,2,157,344
35086,"Peterborough/Peterborough"," 242","Otonabee-South Monaghan",71,2,54,1,2,1,1,0,132,368
35086,"Peterborough/Peterborough"," 243","Peterborough",60,0,69,0,0,2,2,0,133,467
35086,"Peterborough/Peterborough"," 244","Peterborough",65,0,98,0,0,2,3,1,169,455
35086,"Peterborough/Peterborough"," 245","Peterborough",66,0,78,0,1,2,6,1,154,409
35086,"Peterborough/Peterborough"," 246","Peterborough",82,2,96,0,0,2,9,2,193,470
35086,"Peterborough/Peterborough"," 247","Peterborough",86,0,57,1,0,1,3,1,149,405
35086,"Peterborough/Peterborough"," 248","Otonabee-South Monaghan",91,2,46,0,0,2,0,0,141,291
35086,"Peterborough/Peterborough"," 249","Otonabee-South Monaghan",186,2,129,2,1,2,9,1,332,540
35086,"Peterborough/Peterborough"," 250","Otonabee-South Monaghan",189,0,118,1,1,1,8,0,318,410
35086,"Peterborough/Peterborough"," 251","Otonabee-South Monaghan",101,0,71,1,3,2,4,1,183,382
35086,"Peterborough/Peterborough"," 252","Hatrick Point",13,0,15,0,0,0,2,0,30,61
35086,"Peterborough/Peterborough"," 252-1","Hiawatha First Nation",81,0,134,4,2,2,11,0,234,373
35086,"Peterborough/Peterborough"," 253","Otonabee-South Monaghan",85,1,36,0,1,2,2,1,128,306
35086,"Peterborough/Peterborough"," 254","Otonabee-South Monaghan",86,0,67,0,0,4,5,1,163,312
35086,"Peterborough/Peterborough"," 255","Otonabee-South Monaghan",104,1,73,1,0,2,6,0,187,304
