Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Brassard,Andrew Harrigan,John Olthuis,Mark Sampson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 162","Innisfil",240,13,82,3,2,340,581
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 163","Innisfil",176,10,96,3,0,285,609
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 164","Innisfil",162,4,83,4,1,254,551
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 165","Innisfil",164,6,80,3,0,253,575
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 166","Innisfil",121,5,78,6,2,212,520
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,40
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 501","Mobile poll/Bureau itinérant",39,7,57,8,0,111,123
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,45
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 503","Mobile poll/Bureau itinérant",65,8,105,1,2,181,161
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 504","Mobile poll/Bureau itinérant",21,9,40,5,3,78,110
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 505","Mobile poll/Bureau itinérant",25,2,33,2,4,66,73
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,114
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,81
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 508","Mobile poll/Bureau itinérant",43,10,35,0,0,88,131
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,77
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 600","Innisfil",1233,81,899,21,6,2240,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 601","Innisfil",753,31,585,6,0,1375,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 602","Barrie",657,41,646,9,1,1354,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 603","Barrie",877,28,814,8,9,1736,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 604","Barrie",638,35,500,3,1,1177,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 605","Barrie",928,53,637,9,3,1630,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 606","Barrie",622,34,754,13,6,1429,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 607","Barrie",643,36,660,7,2,1348,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 608","Barrie",691,58,632,10,4,1395,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 609","Barrie",1056,30,740,14,11,1851,
