Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andrew Hill,Gerald Irish,Karen Ludwig,Keith Tays,John Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13009,"Saint John--St. Croix/Saint John--St. Croix"," 173","Castalia",5,6,35,1,53,1,101,385
13009,"Saint John--St. Croix/Saint John--St. Croix"," 174","North Head",8,1,26,0,60,1,96,352
13009,"Saint John--St. Croix/Saint John--St. Croix"," 175","Woodwards Cove",1,6,34,0,81,2,124,403
13009,"Saint John--St. Croix/Saint John--St. Croix"," 176","Ingalls Head",7,2,36,2,65,1,113,399
13009,"Saint John--St. Croix/Saint John--St. Croix"," 177","Seal Cove",3,2,38,3,78,0,124,417
13009,"Saint John--St. Croix/Saint John--St. Croix"," 178","White Head Island",0,0,17,0,52,1,70,115
13009,"Saint John--St. Croix/Saint John--St. Croix"," 400","Saint John",Void/Supprimé,,,,,,,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 500","Mobile poll/Bureau itinérant",3,2,21,2,23,1,52,9
13009,"Saint John--St. Croix/Saint John--St. Croix"," 501","Mobile poll/Bureau itinérant",5,2,8,1,22,3,41,44
13009,"Saint John--St. Croix/Saint John--St. Croix"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,16
13009,"Saint John--St. Croix/Saint John--St. Croix"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,7
13009,"Saint John--St. Croix/Saint John--St. Croix"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,16
13009,"Saint John--St. Croix/Saint John--St. Croix"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,16
13009,"Saint John--St. Croix/Saint John--St. Croix"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,21
13009,"Saint John--St. Croix/Saint John--St. Croix"," 507","Mobile poll/Bureau itinérant",1,5,23,3,30,0,62,7
13009,"Saint John--St. Croix/Saint John--St. Croix"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,22
13009,"Saint John--St. Croix/Saint John--St. Croix"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,40
13009,"Saint John--St. Croix/Saint John--St. Croix"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,6
13009,"Saint John--St. Croix/Saint John--St. Croix"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,12
13009,"Saint John--St. Croix/Saint John--St. Croix"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,1
13009,"Saint John--St. Croix/Saint John--St. Croix"," 513","Mobile poll/Bureau itinérant",7,2,27,1,29,2,68,7
13009,"Saint John--St. Croix/Saint John--St. Croix"," 514","Mobile poll/Bureau itinérant",6,3,32,5,16,2,64,40
13009,"Saint John--St. Croix/Saint John--St. Croix"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,12
13009,"Saint John--St. Croix/Saint John--St. Croix"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,12
13009,"Saint John--St. Croix/Saint John--St. Croix"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,11
13009,"Saint John--St. Croix/Saint John--St. Croix"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,19
13009,"Saint John--St. Croix/Saint John--St. Croix"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,14
13009,"Saint John--St. Croix/Saint John--St. Croix"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,22
13009,"Saint John--St. Croix/Saint John--St. Croix"," 521","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,74
13009,"Saint John--St. Croix/Saint John--St. Croix"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,36
13009,"Saint John--St. Croix/Saint John--St. Croix"," 524","Mobile poll/Bureau itinérant",3,2,14,4,34,4,61,10
13009,"Saint John--St. Croix/Saint John--St. Croix"," 525","Mobile poll/Bureau itinérant",4,1,21,2,36,3,67,15
13009,"Saint John--St. Croix/Saint John--St. Croix"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,6
13009,"Saint John--St. Croix/Saint John--St. Croix"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,30
13009,"Saint John--St. Croix/Saint John--St. Croix"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,26
13009,"Saint John--St. Croix/Saint John--St. Croix"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,51
13009,"Saint John--St. Croix/Saint John--St. Croix"," 530","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,0
13009,"Saint John--St. Croix/Saint John--St. Croix"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,20
13009,"Saint John--St. Croix/Saint John--St. Croix"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,33
13009,"Saint John--St. Croix/Saint John--St. Croix"," 533","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 534","Woodwards Cove",Combined with No./Résultats combinés à ceux du n°175,,,,,,,1
13009,"Saint John--St. Croix/Saint John--St. Croix"," 600","Studholm",37,20,355,4,585,0,1001,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 601","Cambridge--Cambridge-Narrows",27,7,216,0,253,2,505,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 602","Springfield",21,7,187,7,386,4,612,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 603","Hampstead",4,10,194,0,156,2,366,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 604","Oromocto",11,9,255,4,286,4,569,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 605","Burton",16,19,282,6,390,3,716,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 606","Waasis",15,6,261,1,340,1,624,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 607","Nasonworth",33,15,602,5,410,4,1069,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 608","Fredericton Junction--Tracy",18,13,192,2,535,3,763,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 609","Westfield--Greenwich",33,7,358,3,500,6,907,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 610","Grand Bay-Westfield",61,17,1035,5,828,3,1949,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 611","Saint John",25,8,704,6,380,6,1129,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 612","Saint John",51,18,717,9,397,9,1201,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 613","Saint John",45,11,903,9,440,8,1416,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 614","Saint John",15,2,189,0,168,0,374,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 615","Lepreau",8,4,223,1,332,4,572,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 616","Pennfield",11,4,190,5,412,1,623,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 617","Grand Manan",17,11,262,3,379,1,673,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 618","White Head Island",Combined with No./Résultats combinés à ceux du n°617,,,,,,,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 619","Campobello",7,7,71,3,147,0,235,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 620","Deer Island",10,1,86,1,175,2,275,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 621","St. George",26,10,372,4,705,4,1121,
13009,"Saint John--St. Croix/Saint John--St. Croix"," 622","Saint Andrews",15,9,889,2,294,6,1215,
